GO	go_name	go_namespace
GO:0000001	mitochondrion inheritance	BP
GO:0000002	obsolete mitochondrial genome maintenance	BP
GO:0000007	low-affinity zinc ion transmembrane transporter activity	MF
GO:0000009	alpha-1,6-mannosyltransferase activity	MF
GO:0000010	heptaprenyl diphosphate synthase activity	MF
GO:0000011	vacuole inheritance	BP
GO:0000012	single strand break repair	BP
GO:0000014	single-stranded DNA endonuclease activity	MF
GO:0000015	phosphopyruvate hydratase complex	CC
GO:0000018	regulation of DNA recombination	BP
GO:0000019	regulation of mitotic recombination	BP
GO:0000022	mitotic spindle elongation	BP
GO:0000026	alpha-1,2-mannosyltransferase activity	MF
GO:0000027	ribosomal large subunit assembly	BP
GO:0000028	ribosomal small subunit assembly	BP
GO:0000030	mannosyltransferase activity	MF
GO:0000032	cell wall mannoprotein biosynthetic process	BP
GO:0000034	adenine deaminase activity	MF
GO:0000038	very long-chain fatty acid metabolic process	BP
GO:0000042		
GO:0000045	autophagosome assembly	BP
GO:0000049	tRNA binding	MF
GO:0000054	ribosomal subunit export from nucleus	BP
GO:0000055	ribosomal large subunit export from nucleus	BP
GO:0000056	ribosomal small subunit export from nucleus	BP
GO:0000062	fatty-acyl-CoA binding	MF
GO:0000064	L-ornithine transmembrane transporter activity	MF
GO:0000066		
GO:0000070	mitotic sister chromatid segregation	BP
GO:0000073	initial mitotic spindle pole body separation	BP
GO:0000076	DNA replication checkpoint signaling	BP
GO:0000077	DNA damage checkpoint signaling	BP
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0000082	G1/S transition of mitotic cell cycle	BP
GO:0000083	obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle	BP
GO:0000086	G2/M transition of mitotic cell cycle	BP
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity	MF
GO:0000096	sulfur amino acid metabolic process	BP
GO:0000097	sulfur amino acid biosynthetic process	BP
GO:0000103	sulfate assimilation	BP
GO:0000104	succinate dehydrogenase activity	MF
GO:0000105	L-histidine biosynthetic process	BP
GO:0000107	imidazoleglycerol-phosphate synthase activity	MF
GO:0000110	nucleotide-excision repair factor 1 complex	CC
GO:0000111	nucleotide-excision repair factor 2 complex	CC
GO:0000112	nucleotide-excision repair factor 3 complex	CC
GO:0000113	nucleotide-excision repair factor 4 complex	CC
GO:0000117	obsolete regulation of transcription involved in G2/M transition of mitotic cell cycle	BP
GO:0000122	negative regulation of transcription by RNA polymerase II	BP
GO:0000123	histone acetyltransferase complex	CC
GO:0000124	SAGA complex	CC
GO:0000126	transcription factor TFIIIB complex	CC
GO:0000127	transcription factor TFIIIC complex	CC
GO:0000131	incipient cellular bud site	CC
GO:0000132	establishment of mitotic spindle orientation	BP
GO:0000133	polarisome	CC
GO:0000136	mannan polymerase complex	CC
GO:0000137	Golgi cis cisterna	CC
GO:0000138	Golgi trans cisterna	CC
GO:0000139	Golgi membrane	CC
GO:0000140	acylglycerone-phosphate reductase (NADP+) activity	MF
GO:0000142	cellular bud neck contractile ring	CC
GO:0000144	cellular bud neck septin ring	CC
GO:0000145	exocyst	CC
GO:0000146	microfilament motor activity	MF
GO:0000147	actin cortical patch assembly	BP
GO:0000148	1,3-beta-D-glucan synthase complex	CC
GO:0000149	SNARE binding	MF
GO:0000150	DNA strand exchange activity	MF
GO:0000151	ubiquitin ligase complex	CC
GO:0000155	phosphorelay sensor kinase activity	MF
GO:0000156	phosphorelay response regulator activity	MF
GO:0000159	protein phosphatase type 2A complex	CC
GO:0000160	phosphorelay signal transduction system	BP
GO:0000161	obsolete osmosensory signaling MAPK cascade	BP
GO:0000162	L-tryptophan biosynthetic process	BP
GO:0000164	protein phosphatase type 1 complex	CC
GO:0000165	MAPK cascade	BP
GO:0000166	nucleotide binding	MF
GO:0000167		
GO:0000169		
GO:0000170	obsolete sphingosine hydroxylase activity	MF
GO:0000172	ribonuclease MRP complex	CC
GO:0000173		
GO:0000175	3'-5'-RNA exonuclease activity	MF
GO:0000176	nuclear exosome (RNase complex)	CC
GO:0000177	cytoplasmic exosome (RNase complex)	CC
GO:0000178	exosome (RNase complex)	CC
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	MF
GO:0000182	rDNA binding	MF
GO:0000183	rDNA heterochromatin formation	BP
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	BP
GO:0000185	obsolete activation of MAPKKK activity	BP
GO:0000186	obsolete activation of MAPKK activity	BP
GO:0000187	obsolete activation of MAPK activity	BP
GO:0000188	obsolete inactivation of MAPK activity	BP
GO:0000196	cell integrity MAPK cascade	BP
GO:0000200	obsolete inactivation of MAPK activity involved in cell wall organization or biogenesis	BP
