"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGRAM000v1_001557",6863.28913963825,3.95644934348238,0.0790219761360934,50.0677094770258,0,0
"FGRAM000v1_002588",6054.05438199054,-3.66389191291598,0.0863048132845719,-42.4529267079818,0,0
"FGRAM000v1_002813",13709.4723685757,-2.94018655478478,0.0686678455538709,-42.8175156955836,0,0
"FGRAM000v1_003211",1330.28213140266,-3.3123514282482,0.0847732248055055,-39.0730851144061,0,0
"FGRAM000v1_003481",3726.80234941412,3.09163056886676,0.0751525165922705,41.1380843789965,0,0
"FGRAM000v1_003995",737.673650051593,3.89703040277173,0.0919805021879429,42.3680052845217,0,0
"FGRAM000v1_004532",4731.96191166481,-4.86042433280682,0.0773877310231173,-62.8061356567608,0,0
"FGRAM000v1_004702",6158.7620754169,-3.40986081117058,0.0745631423783427,-45.7311843681227,0,0
"FGRAM000v1_006624",1219.99377707527,-2.6420132822211,0.0684582831247805,-38.5930403396976,0,0
"FGRAM000v1_006844",1160.72590218482,-3.15442747685884,0.080554337385179,-39.1590022244937,0,0
"FGRAM000v1_007272",5742.0180532082,-3.05311083240364,0.0651067731858538,-46.8939049350247,0,0
"FGRAM000v1_007287",2395.49720716238,-4.5151978213473,0.113812904769953,-39.6721077497648,0,0
"FGRAM000v1_009111",1397.71980078035,-5.02810241396925,0.119814743940514,-41.9656400256182,0,0
"FGRAM000v1_009988",10980.7315824698,-2.46656893047747,0.0567095424682184,-43.494777476997,0,0
"FGRAM000v1_010552",14994.091913299,-7.16357743861027,0.111920585858646,-64.0058965350465,0,0
"FGRAM000v1_010949",2781.50347341069,-4.0376975204727,0.0816797571645819,-49.433270379794,0,0
"FGRAM000v1_011741",1649.0638960414,6.98291074547544,0.164786592769605,42.3754786606852,0,0
"FGRAM000v1_012454",2242.57360002972,-6.19781548719807,0.132736648580149,-46.6925717463456,0,0
"FGRAM000v1_012818",1937.16838265129,-3.50075020172071,0.0913696991846757,-38.3141263784291,3.5671539629738e-321,1.8198117559529e-318
"FGRAM000v1_002847",1088.12202664156,-3.07920056855254,0.0811779496480354,-37.9314897937566,7.79185143559386e-315,3.77632079825958e-312
"FGRAM000v1_006082",856.650640963315,-4.0412506734101,0.108010069037314,-37.4154994013937,2.18726363111617e-306,1.00957839887662e-303
"FGRAM000v1_006277",1447.69460258662,2.69898244179344,0.0742310035186152,36.3592341994487,1.87787632130817e-289,8.27375235565458e-287
"FGRAM000v1_009960",1207.28447496809,-3.66159723211935,0.10146892135637,-36.0858988464007,3.77440868944161e-285,1.5906671055112e-282
"FGRAM000v1_002709",812.798786536181,-4.75672512535666,0.132109663311661,-36.0058833405322,6.76732084604574e-284,2.73315170669672e-281
"FGRAM000v1_010863",2759.7571386295,-3.13209773931257,0.0871631265518852,-35.9337470237272,9.08161954307421e-283,3.52112552924073e-280
"FGRAM000v1_002119",3033.80192077308,2.20821725862374,0.062497306582096,35.332998802485,1.82927569745329e-273,6.81968051362106e-271
"FGRAM000v1_007355",6396.91249234723,-3.58728206832384,0.102092811772296,-35.137459788303,1.80681830907189e-270,6.48647772956808e-268
"FGRAM000v1_011291",6672.54862969916,-2.8544069009933,0.0814789455089537,-35.0324477466345,7.21608982029424e-269,2.49805566528972e-266
"FGRAM000v1_009196",8704.07398498287,-2.10141874728802,0.0614602050832434,-34.1915349036308,3.23048169911423e-256,1.07976065894877e-253
"FGRAM000v1_011562",1256.66305281149,-3.40146998636072,0.0997038409786096,-34.1157366955449,4.31046635672109e-255,1.39271167985659e-252
"FGRAM000v1_012305",21125.5610878992,-2.0939264789877,0.0614154988964136,-34.0944308295764,8.92010830137683e-255,2.78911644404018e-252
"FGRAM000v1_011187",2920.43011635445,2.42636174734711,0.0713738074677092,33.9951283731759,2.62946381650561e-253,7.96481024168401e-251
"FGRAM000v1_002589",2696.61770106032,-2.32960003795152,0.0690381741544172,-33.7436507625609,1.32477788389408e-249,3.89123394805616e-247
"FGRAM000v1_005168",756.553195811975,3.50473379730193,0.104122504293347,33.6597147858444,2.2477496734136e-248,6.40806987776413e-246
"FGRAM000v1_002528",2652.01715477612,-3.69607407317953,0.11371606720381,-32.5026547616633,9.78059980429356e-232,2.70866725437193e-229
