GO,go_name,namespace,padj,gene_id,role,GOI_category
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_09280,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_10444,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_05368,GOI,Pathogenicity
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_08493,GOI,Effectors
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_04593,GOI,Pathogenicity
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_02824,candidate_seed,
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_01422,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_02271,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_02030,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_03061,GOI,Pigment
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_04596,GOI,Pathogenicity
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_12222,GOI,Pathogenicity
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_13136,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_02272,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_00765,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_04589,GOI,Pathogenicity
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_08601,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_04588,GOI,Pathogenicity
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_04592,GOI,Pathogenicity
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_03992,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_04490,GOI,Effectors
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_02461,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_09456,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_09826,GOI,Effectors
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_06055,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_05610,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_02972,GOI,Photoreceptors
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_04458,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_07075,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_03894,GOI,Effectors
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_00743,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_02554,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_03340,GOI,Toxins
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_03547,GOI,Toxins
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_02823,candidate_seed,
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_10947,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_09834,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_09012,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_04591,GOI,Pathogenicity
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_12223,GOI,Pathogenicity
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_12180,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_00330,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_10347,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_04590,GOI,Pathogenicity
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_08774,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_03546,GOI,Toxins
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_10922,GOI,Pathogenicity
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_08712,GOI,Metabolism
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_03548,GOI,Toxins
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,0.0043,FGSG_03747,GOI,Pathogenicity
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_09280,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_10444,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_05368,GOI,Pathogenicity
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_08493,GOI,Effectors
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_04593,GOI,Pathogenicity
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_02824,candidate_seed,
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_01422,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_02271,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_02030,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_03061,GOI,Pigment
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_04596,GOI,Pathogenicity
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_12222,GOI,Pathogenicity
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_13136,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_02272,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_00765,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_04589,GOI,Pathogenicity
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_08601,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_04588,GOI,Pathogenicity
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_04592,GOI,Pathogenicity
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_03992,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_04490,GOI,Effectors
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_02461,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_09456,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_09826,GOI,Effectors
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_06055,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_05610,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_02972,GOI,Photoreceptors
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_04458,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_07075,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_03894,GOI,Effectors
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_00743,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_02554,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_03340,GOI,Toxins
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_03547,GOI,Toxins
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_02823,candidate_seed,
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_10947,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_09834,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_09012,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_04591,GOI,Pathogenicity
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_12223,GOI,Pathogenicity
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_12180,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_00330,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_10347,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_04590,GOI,Pathogenicity
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_08774,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_03546,GOI,Toxins
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_10922,GOI,Pathogenicity
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_08712,GOI,Metabolism
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_03548,GOI,Toxins
GO:0009395,phospholipid catabolic process,BP,0.0043,FGSG_03747,GOI,Pathogenicity
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_10444,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_08493,GOI,Effectors
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_05368,GOI,Pathogenicity
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_04593,GOI,Pathogenicity
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_01422,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_02271,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_02030,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_03061,GOI,Pigment
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_12222,GOI,Pathogenicity
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_13136,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_02272,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_00765,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_04589,GOI,Pathogenicity
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_08601,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_04588,GOI,Pathogenicity
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_04592,GOI,Pathogenicity
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_03992,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_03026,candidate_seed,
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_02461,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_09456,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_08425,candidate_seed,
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_09826,GOI,Effectors
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_06055,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_05610,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_02972,GOI,Photoreceptors
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_04458,GOI,Metabolism
GO:0051536,iron-sulfur cluster binding,MF,0.0043,FGSG_07075,GOI,Metabolism
