candidate,n_goi_partners,max_TOM,sum_TOM,goi_partners,module,product,GO,gba_weight,n_deg_goi_partners,own_l2fc,own_padj,own_sig,score
FGSG_09697,54,0.5006458524741463,25.121069773849257,FGSG_00043;FGSG_00044;FGSG_00330;FGSG_00743;FGSG_01346;FGSG_01422;FGSG_01947;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_03061;FGSG_03295;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04595;FGSG_04596;FGSG_04763;FGSG_04852;FGSG_05610;FGSG_05843;FGSG_05926;FGSG_06055;FGSG_06257;FGSG_06702;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10922;FGSG_10947;FGSG_12180;FGSG_12223;FGSG_13136,1,uncharacterized protein,GO:0016021;GO:0055085,20.15654689902171,43,-6.25762971307426,0.0,1,0.9972501676727029
FGSG_07721,52,0.4879225227439048,23.59155864717132,FGSG_00043;FGSG_00044;FGSG_00048;FGSG_00330;FGSG_00743;FGSG_01346;FGSG_01422;FGSG_01947;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_03061;FGSG_03295;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04595;FGSG_04596;FGSG_04763;FGSG_04852;FGSG_05610;FGSG_05843;FGSG_05926;FGSG_06055;FGSG_06257;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10947;FGSG_11658;FGSG_12180;FGSG_12223,1,uncharacterized protein,GO:0004065;GO:0018958,18.773419868103705,41,-6.76668500159176,1.09171389291893e-41,1,0.9934942991281019
FGSG_03970,56,0.5020912668499565,25.91618142566074,FGSG_00175;FGSG_00330;FGSG_00743;FGSG_00765;FGSG_01346;FGSG_01422;FGSG_01947;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02782;FGSG_03061;FGSG_03295;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04595;FGSG_04596;FGSG_04763;FGSG_05368;FGSG_05610;FGSG_05843;FGSG_05926;FGSG_06055;FGSG_06257;FGSG_06506;FGSG_06702;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10947;FGSG_11206;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,,20.018983376892976,43,-4.53849179240524,5.50197415115623e-87,1,0.9923541247484909
FGSG_11112,53,0.5004425183568165,24.632602538286708,FGSG_00330;FGSG_00743;FGSG_01346;FGSG_01422;FGSG_01947;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_03061;FGSG_03295;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04595;FGSG_04596;FGSG_04763;FGSG_05368;FGSG_05610;FGSG_05843;FGSG_05926;FGSG_06055;FGSG_06257;FGSG_06702;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10947;FGSG_11206;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,,19.225798183193817,41,-5.15524459742437,5.61132142275653e-191,1,0.9920858484238766
FGSG_06048,53,0.49278070800971063,24.351571067143055,FGSG_00043;FGSG_00044;FGSG_00048;FGSG_00330;FGSG_00743;FGSG_01346;FGSG_01422;FGSG_01947;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_03061;FGSG_03295;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04595;FGSG_04596;FGSG_04763;FGSG_04852;FGSG_05610;FGSG_05843;FGSG_05926;FGSG_06055;FGSG_06257;FGSG_06702;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10947;FGSG_11658;FGSG_12180;FGSG_12223,1,uncharacterized protein,GO:0015986;GO:0015991;GO:0016021;GO:0045263;GO:0046961,19.05617342683655,41,-5.20719851626053,0.0,1,0.9916163648558014
FGSG_03422,52,0.4986504916911885,24.33767930439982,FGSG_00043;FGSG_00330;FGSG_00743;FGSG_01346;FGSG_01422;FGSG_01947;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_03061;FGSG_03295;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04596;FGSG_04763;FGSG_05368;FGSG_05610;FGSG_05843;FGSG_05926;FGSG_06055;FGSG_06257;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10922;FGSG_10947;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,GO:0016831,19.737904523941612,42,-4.32097412642301,6.686961467235039e-42,1,0.9898054996646546
FGSG_03005,52,0.4951646941890259,23.890040664913247,FGSG_00043;FGSG_00330;FGSG_00743;FGSG_01346;FGSG_01422;FGSG_01947;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_03061;FGSG_03295;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04596;FGSG_04763;FGSG_05368;FGSG_05610;FGSG_05843;FGSG_05926;FGSG_06055;FGSG_06257;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10922;FGSG_10947;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,GO:0016021,19.375607257032147,42,-4.42498803626092,7.16213219214666e-15,1,0.9897384305835011
FGSG_07660,55,0.5028936903533245,25.470373246126115,FGSG_00330;FGSG_00743;FGSG_00765;FGSG_01346;FGSG_01422;FGSG_01947;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_02782;FGSG_03061;FGSG_03295;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04595;FGSG_04596;FGSG_04763;FGSG_05368;FGSG_05610;FGSG_05843;FGSG_05926;FGSG_06055;FGSG_06257;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10922;FGSG_10947;FGSG_11206;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,GO:0008168;GO:0032259,19.6100970562372,42,-4.12191480495044,1.30863565143599e-19,1,0.9881287726358149
FGSG_03494,56,0.5053725776999882,26.273338997842902,FGSG_00043;FGSG_00044;FGSG_00330;FGSG_00743;FGSG_01346;FGSG_01422;FGSG_01947;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02554;FGSG_03061;FGSG_03295;FGSG_03340;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04595;FGSG_04596;FGSG_04763;FGSG_04852;FGSG_05368;FGSG_05610;FGSG_05843;FGSG_05926;FGSG_06055;FGSG_06257;FGSG_06702;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10922;FGSG_10947;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,,21.204927843068255,45,-3.58961544507125,1.97146528856337e-67,1,0.9869885982562039
FGSG_02281,49,0.5003656970438197,22.712239993724545,FGSG_00330;FGSG_00743;FGSG_00765;FGSG_01422;FGSG_02030;FGSG_02271;FGSG_02272;FGSG_02461;FGSG_02782;FGSG_03061;FGSG_03295;FGSG_03546;FGSG_03547;FGSG_03548;FGSG_03894;FGSG_03992;FGSG_04458;FGSG_04490;FGSG_04588;FGSG_04589;FGSG_04590;FGSG_04591;FGSG_04592;FGSG_04593;FGSG_04596;FGSG_04763;FGSG_05368;FGSG_05610;FGSG_05843;FGSG_06055;FGSG_06257;FGSG_07075;FGSG_07528;FGSG_08601;FGSG_08712;FGSG_08774;FGSG_09012;FGSG_09280;FGSG_09456;FGSG_09826;FGSG_09834;FGSG_10347;FGSG_10922;FGSG_10947;FGSG_11206;FGSG_12180;FGSG_12222;FGSG_12223;FGSG_13136,1,uncharacterized protein,GO:0016021;GO:0055085,17.639856461608957,38,-5.55914159462049,4.22293776719935e-164,1,0.9859825620389
