GO,go_name,namespace,k_study,K_univ,fold_enrichment,pval,padj,candidate_FGSG_IDs
GO:0004622,phosphatidylcholine lysophospholipase A1 activity,MF,2,12,45.25757575757576,0.000848247866125,0.0043340570481794,FGSG_02823;FGSG_02824
GO:0009395,phospholipid catabolic process,BP,2,12,45.25757575757576,0.000848247866125,0.0043340570481794,FGSG_02823;FGSG_02824
GO:0051536,iron-sulfur cluster binding,MF,2,13,41.77622377622378,0.0010001670111183,0.0043340570481794,FGSG_03026;FGSG_08425
GO:0055085,transmembrane transport,BP,7,540,3.52003367003367,0.0030027352753344,0.0097588896448368,FGSG_02281;FGSG_02823;FGSG_02824;FGSG_03306;FGSG_04188;FGSG_06468;FGSG_09210
GO:0050660,flavin adenine dinucleotide binding,MF,3,138,5.903162055335969,0.0139151530940683,0.0361793980445778,FGSG_03638;FGSG_07530;FGSG_13840
GO:0016021,integral component of membrane,CC,17,2894,1.5951184268392284,0.0168849661351667,0.0365840932928612,FGSG_01149;FGSG_01379;FGSG_01580;FGSG_01823;FGSG_02281;FGSG_02823;FGSG_02824;FGSG_03306;FGSG_04188;FGSG_04696;FGSG_05348;FGSG_06468;FGSG_06508;FGSG_08695;FGSG_09210;FGSG_10802;FGSG_11888
GO:0005576,extracellular region,CC,2,70,7.758441558441559,0.0271765834263242,0.0501711609560848,FGSG_02314;FGSG_07741
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",MF,2,75,7.241212121212122,0.0308745605883598,0.0501711609560848,FGSG_03638;FGSG_13840
GO:0055114,obsolete oxidation-reduction process,BP,8,1092,1.9893439893439893,0.0406797941092087,0.0587597026021903,FGSG_02267;FGSG_03026;FGSG_03638;FGSG_07530;FGSG_07683;FGSG_08425;FGSG_11270;FGSG_13840
GO:0006508,proteolysis,BP,2,222,2.4463554463554464,0.1965326386622226,0.2322658456917176,FGSG_02314;FGSG_11073
GO:0016491,oxidoreductase activity,MF,3,416,1.9582604895104896,0.1960602078792119,0.2322658456917176,FGSG_02267;FGSG_07683;FGSG_08425
GO:0008152,metabolic process,BP,2,239,2.272346899961963,0.2195408072662626,0.2378358745384511,FGSG_01379;FGSG_01823
GO:0008270,zinc ion binding,MF,2,835,0.6504082743603702,0.8264521647735372,0.8264521647735372,FGSG_07683;FGSG_07921
