gene_id,module
FGSG_11579,11
FGSG_11580,2
FGSG_11581,2
FGSG_14022,1
FGSG_14023,2
FGSG_11584,7
FGSG_11585,1
FGSG_14029,2
FGSG_14030,2
FGSG_11641,11
FGSG_11605,14
FGSG_11642,4
FGSG_11600,2
FGSG_11644,7
FGSG_00003,0
FGSG_00004,2
FGSG_00005,2
FGSG_00006,2
FGSG_00007,2
FGSG_11645,2
FGSG_00010,15
FGSG_00011,2
FGSG_00012,2
FGSG_00013,5
FGSG_11648,1
FGSG_11649,2
FGSG_00014,8
FGSG_00015,4
FGSG_00017,1
FGSG_00018,1
FGSG_00019,2
FGSG_00021,2
FGSG_11651,2
FGSG_11652,8
FGSG_00023,2
FGSG_00024,2
FGSG_00025,1
FGSG_00026,1
FGSG_00027,1
FGSG_00028,4
FGSG_00029,2
FGSG_00030,4
FGSG_00032,2
FGSG_00033,2
FGSG_11653,1
FGSG_11654,4
FGSG_00036,1
FGSG_11655,1
FGSG_11656,1
FGSG_00038,1
FGSG_00039,4
FGSG_00040,2
FGSG_11657,1
FGSG_11658,1
FGSG_11659,1
FGSG_11660,1
FGSG_00043,1
FGSG_00044,1
FGSG_00045,4
FGSG_00046,4
FGSG_00047,1
FGSG_00048,1
FGSG_00049,1
FGSG_11661,1
FGSG_00050,1
FGSG_00051,2
FGSG_00052,1
FGSG_00053,2
FGSG_00054,2
FGSG_00055,2
FGSG_11662,4
FGSG_11663,3
FGSG_11664,9
FGSG_11665,2
FGSG_00058,2
FGSG_00059,1
FGSG_00060,2
FGSG_00061,2
FGSG_00062,1
FGSG_00064,2
FGSG_11668,7
FGSG_00065,4
FGSG_00066,1
FGSG_00067,1
FGSG_00068,2
FGSG_00069,2
FGSG_00070,2
FGSG_00071,2
FGSG_00072,2
FGSG_00075,2
FGSG_00076,2
FGSG_00077,2
FGSG_00078,1
FGSG_00079,5
FGSG_00080,2
FGSG_00081,2
FGSG_00082,1
FGSG_00083,1
FGSG_00084,1
FGSG_00085,1
FGSG_11669,1
FGSG_11670,1
FGSG_11672,0
FGSG_00091,1
FGSG_11673,1
FGSG_00092,2
FGSG_00093,2
FGSG_00095,2
FGSG_00096,0
FGSG_00097,1
FGSG_11675,0
FGSG_00099,2
FGSG_00100,4
FGSG_00101,1
FGSG_00102,2
FGSG_00103,1
FGSG_11676,2
FGSG_11677,4
FGSG_00107,2
FGSG_00108,1
FGSG_00109,1
FGSG_00110,2
FGSG_00115,2
FGSG_00116,2
FGSG_00117,1
FGSG_00125,2
FGSG_00126,2
FGSG_00127,1
FGSG_00128,10
FGSG_00129,1
FGSG_00130,0
FGSG_00132,2
FGSG_11680,11
FGSG_11681,8
FGSG_00136,1
FGSG_00137,2
FGSG_00138,2
FGSG_00139,2
FGSG_00140,2
FGSG_00142,1
FGSG_00144,2
FGSG_00145,1
FGSG_11683,2
FGSG_11684,2
FGSG_00147,2
FGSG_00148,2
FGSG_11685,15
FGSG_11686,2
FGSG_00150,1
FGSG_11687,1
FGSG_00152,1
FGSG_00153,2
FGSG_11690,2
FGSG_00160,1
FGSG_00161,4
FGSG_00162,1
FGSG_00163,2
FGSG_11692,2
FGSG_00165,2
FGSG_00166,2
FGSG_11694,4
FGSG_11695,2
FGSG_00168,1
FGSG_00169,1
FGSG_00170,1
FGSG_00171,1
FGSG_11696,1
FGSG_00172,2
FGSG_00173,2
FGSG_00174,1
FGSG_00175,1
FGSG_00176,1
FGSG_00177,4
FGSG_11697,1
FGSG_11698,1
FGSG_20500,1
FGSG_20501,1
FGSG_11699,1
FGSG_00179,1
FGSG_00180,2
FGSG_11700,2
FGSG_00181,7
FGSG_00182,2
FGSG_00183,2
FGSG_00184,2
FGSG_00185,1
FGSG_00186,1
FGSG_11701,0
FGSG_11702,2
FGSG_00188,1
FGSG_00189,2
FGSG_00190,1
FGSG_11703,1
FGSG_11704,6
FGSG_00192,2
FGSG_00193,2
FGSG_00194,1
FGSG_00195,2
FGSG_00196,2
FGSG_00197,1
FGSG_00198,2
FGSG_00199,2
FGSG_00200,2
FGSG_00201,2
FGSG_11705,2
FGSG_11706,1
FGSG_11707,2
FGSG_11708,2
FGSG_11709,2
FGSG_00205,2
FGSG_00206,3
FGSG_00207,2
FGSG_00208,7
FGSG_11711,11
FGSG_00209,2
FGSG_00212,2
FGSG_00213,0
FGSG_00214,2
FGSG_00215,0
FGSG_00216,7
