gene_id,category
FGSG_00007,Toxins
FGSG_00038,Pathogenicity
FGSG_00039,Pathogenicity
FGSG_00040,Pathogenicity
FGSG_00043,Pathogenicity
FGSG_00044,Pathogenicity
FGSG_00045,Pathogenicity
FGSG_00046,Pathogenicity
FGSG_00047,Pathogenicity
FGSG_00048,Pathogenicity
FGSG_00049,Pathogenicity
FGSG_00056,Effectors
FGSG_00060,Pathogenicity
FGSG_00061,Pathogenicity
FGSG_00062,Pathogenicity
FGSG_00129,Effectors
FGSG_00175,Metabolism
FGSG_00330,Metabolism
FGSG_00500,Metabolism
FGSG_00710,Photoreceptors
FGSG_00743,Metabolism
FGSG_00765,Metabolism
FGSG_00797,Photoreceptors
FGSG_01346,Metabolism
FGSG_01422,Metabolism
FGSG_01621,Metabolism
FGSG_01638,Metabolism
FGSG_01738,Toxins
FGSG_01743,Metabolism
FGSG_01776,Effectors
FGSG_01866,Metabolism
FGSG_01947,Metabolism
FGSG_01956,Toxins
FGSG_01981,Metabolism
FGSG_01991,Metabolism
FGSG_02030,Metabolism
FGSG_02077,Effectors
FGSG_02206,Metabolism
FGSG_02255,Effectors
FGSG_02258,Pigment
FGSG_02271,Metabolism
FGSG_02272,Metabolism
FGSG_02320,Pigment
FGSG_02321,Pigment
FGSG_02322,Pigment
FGSG_02323,Pigment
FGSG_02324,Pigment
FGSG_02325,Pigment
FGSG_02326,Pigment
FGSG_02327,Pigment
FGSG_02328,Pigment
FGSG_02329,Pigment
FGSG_02352,Metabolism
FGSG_02377,Effectors
FGSG_02395,Toxins
FGSG_02397,Toxins
FGSG_02398,Toxins
FGSG_02447,Effectors
FGSG_02461,Metabolism
FGSG_02554,Metabolism
FGSG_02770,Metabolism
FGSG_02782,Metabolism
FGSG_02799,Metabolism
FGSG_02840,Effectors
FGSG_02903,Effectors
FGSG_02972,Photoreceptors
FGSG_03019,Metabolism
FGSG_03061,Pigment
FGSG_03062,Pigment
FGSG_03064,Photoreceptors
FGSG_03065,Pigment
FGSG_03066,Pigment
FGSG_03067,Pigment
FGSG_03096,Effectors
FGSG_03122,Effectors
FGSG_03295,Effectors
FGSG_03334,Effectors
FGSG_03340,Toxins
FGSG_03381,Effectors
FGSG_03526,Effectors
FGSG_03530,Toxins
FGSG_03531,Toxins
FGSG_03532,Toxins
FGSG_03533,Toxins
FGSG_03534,Toxins
FGSG_03535,Toxins
FGSG_03536,Toxins
FGSG_03537,Toxins
FGSG_03538,Toxins
FGSG_03539,Toxins
FGSG_03540,Toxins
FGSG_03541,Toxins
FGSG_03542,Toxins
FGSG_03543,Toxins
FGSG_03544,Toxins
FGSG_03546,Toxins
FGSG_03547,Toxins
FGSG_03548,Toxins
FGSG_03558,Metabolism
FGSG_03566,Metabolism
FGSG_03574,Effectors
FGSG_03581,Effectors
FGSG_03599,Toxins
FGSG_03600,Effectors
FGSG_03659,Metabolism
FGSG_03747,Pathogenicity
FGSG_03768,Effectors
FGSG_03842,Metabolism
FGSG_03881,Pathogenicity
FGSG_03894,Effectors
FGSG_03929,Metabolism
FGSG_03992,Metabolism
FGSG_04077,Effectors
FGSG_04171,Metabolism
FGSG_04309,Metabolism
FGSG_04458,Metabolism
FGSG_04490,Effectors
FGSG_04588,Pathogenicity
FGSG_04589,Pathogenicity
FGSG_04590,Pathogenicity
FGSG_04591,Pathogenicity
FGSG_04592,Pathogenicity
FGSG_04593,Pathogenicity
FGSG_04595,Pathogenicity
FGSG_04596,Pathogenicity
FGSG_04763,Effectors
FGSG_04805,Effectors
FGSG_04848,Effectors
FGSG_04852,Metabolism
FGSG_04991,Photoreceptors
FGSG_05368,Pathogenicity
FGSG_05372,Pathogenicity
FGSG_05373,Pathogenicity
FGSG_05454,Metabolism
FGSG_05610,Metabolism
FGSG_05733,Metabolism
FGSG_05843,Metabolism
FGSG_05919,Metabolism
FGSG_05925,Metabolism
FGSG_05926,Metabolism
FGSG_06039,Metabolism
FGSG_06055,Metabolism
FGSG_06130,Effectors
FGSG_06257,Metabolism
FGSG_06444,Toxins
FGSG_06467,Effectors
FGSG_06506,Effectors
FGSG_06702,Metabolism
FGSG_06765,Photoreceptors
FGSG_07075,Metabolism
FGSG_07204,Metabolism
FGSG_07528,Metabolism
FGSG_07896,Toxins
FGSG_07898,Metabolism
FGSG_07941,Photoreceptors
FGSG_07953,Metabolism
FGSG_07970,Metabolism
FGSG_08044,Metabolism
FGSG_08077,Toxins
FGSG_08078,Toxins
FGSG_08079,Toxins
FGSG_08080,Toxins
FGSG_08081,Toxins
FGSG_08082,Toxins
FGSG_08083,Toxins
FGSG_08084,Toxins
FGSG_08205,Toxins
FGSG_08206,Toxins
FGSG_08207,Toxins
FGSG_08208,Toxins
FGSG_08209,Toxins
FGSG_08213,Effectors
FGSG_08399,Metabolism
FGSG_08456,Photoreceptors
FGSG_08493,Effectors
FGSG_08601,Metabolism
FGSG_08608,Photoreceptors
FGSG_08712,Metabolism
FGSG_08774,Metabolism
FGSG_08795,Metabolism
FGSG_08852,Photoreceptors
FGSG_09012,Metabolism
FGSG_09064,Metabolism
FGSG_09070,Effectors
FGSG_09090,Effectors
FGSG_09127,Effectors
FGSG_09132,Effectors
FGSG_09182,Pigment
FGSG_09183,Pigment
FGSG_09184,Pigment
FGSG_09186,Pigment
FGSG_09187,Pigment
FGSG_09189,Pigment
FGSG_09280,Metabolism
FGSG_09372,Metabolism
FGSG_09456,Metabolism
FGSG_09580,Metabolism
FGSG_09613,Metabolism
FGSG_09786,Metabolism
FGSG_09826,Effectors
FGSG_09834,Metabolism
FGSG_09844,Metabolism
FGSG_10030,Metabolism
FGSG_10065,Metabolism
FGSG_10206,Effectors
FGSG_10328,Metabolism
FGSG_10347,Metabolism
FGSG_10397,Toxins
FGSG_10444,Metabolism
FGSG_10445,Metabolism
FGSG_10446,Metabolism
FGSG_10458,Toxins
FGSG_10459,Toxins
FGSG_10460,Toxins
FGSG_10461,Toxins
FGSG_10462,Toxins
FGSG_10463,Toxins
FGSG_10464,Toxins
FGSG_10563,Effectors
FGSG_10670,Effectors
FGSG_10712,Effectors
FGSG_10784,Effectors
FGSG_10885,Metabolism
FGSG_10922,Pathogenicity
FGSG_10947,Metabolism
FGSG_10985,Effectors
FGSG_11046,Effectors
FGSG_11184,Metabolism
FGSG_11191,Effectors
FGSG_11206,Pathogenicity
FGSG_11326,Metabolism
FGSG_11350,Pigment
FGSG_11485,Metabolism
FGSG_11487,Pathogenicity
FGSG_11548,Effectors
FGSG_11657,Metabolism
FGSG_11658,Pathogenicity
FGSG_11659,Pathogenicity
FGSG_11660,Pathogenicity
FGSG_12040,Metabolism
FGSG_12126,Toxins
FGSG_12127,Toxins
FGSG_12180,Metabolism
FGSG_12207,Effectors
FGSG_12211,Metabolism
FGSG_12222,Pathogenicity
FGSG_12223,Pathogenicity
FGSG_12857,Metabolism
FGSG_12927,Metabolism
FGSG_13136,Metabolism
FGSG_13188,Metabolism
FGSG_13219,Effectors
FGSG_13240,Metabolism
FGSG_13823,Metabolism
FGSG_13946,Metabolism
FGSG_13952,Effectors
FGSG_14010,Effectors
