"gene_id","FGSG_id","product","AveExpr","log2FoldChange","t","pvalue","padj","significant","direction"
"FGSG_06480","FGSG_06480","uncharacterized protein",8.35660452239818,6.65415090714849,45.696814068236,1.81068241422346e-23,1.76041911482013e-19,TRUE,"up_in_control"
"FGSG_06482","FGSG_06482","uncharacterized protein",3.97198994419846,8.0920387102325,44.2928756590654,3.59562727700191e-23,1.76041911482013e-19,TRUE,"up_in_control"
"FGSG_04745","FGSG_04745","uncharacterized protein",5.07394744920587,-6.8436984822014,-35.6725929243626,4.13098831944237e-21,1.34835458746599e-17,TRUE,"up_in_dark_light"
"FGSG_03546","FGSG_03546","uncharacterized protein",4.24703596467939,6.3904310210931,34.0123146729946,1.16937300609879e-20,2.86262511892985e-17,TRUE,"up_in_control"
"FGSG_07530","FGSG_07530","alcohol oxidase",4.29202388341101,-5.37391262346711,-30.4370898741369,1.31175858462251e-19,2.56894801212473e-16,TRUE,"up_in_dark_light"
"FGSG_12214","FGSG_12214","uncharacterized protein",7.0838815409115,-4.01425831479245,-26.6278695236134,2.37001713863387e-18,3.86786797025047e-15,TRUE,"up_in_dark_light"
"FGSG_06048","FGSG_06048","uncharacterized protein",6.48619317221259,4.69495356964374,26.3980534141023,2.85710248105087e-18,3.99667821349287e-15,TRUE,"up_in_control"
"FGSG_03547","FGSG_03547","uncharacterized protein",2.62234218542968,5.31664855535816,26.0327286232265,3.85782221005729e-18,4.72197438511012e-15,TRUE,"up_in_control"
"FGSG_08601","FGSG_08601","phosphoenolpyruvate carboxykinase",6.56410691262989,4.62836333178349,25.5052533346028,5.99389034055896e-18,6.52135269052815e-15,TRUE,"up_in_control"
"FGSG_02379","FGSG_02379","uncharacterized protein",4.95082573412227,4.50608288115251,24.7096842485827,1.18431277432555e-17,1.10140913828112e-14,TRUE,"up_in_control"
"FGSG_09697","FGSG_09697","uncharacterized protein",4.82388646375489,4.91622902619506,24.6382287520488,1.26027135813685e-17,1.10140913828112e-14,TRUE,"up_in_control"
"FGSG_01379","FGSG_01379","uncharacterized protein",8.01944143492018,-3.72513980782301,-24.5595945453534,1.34976610083471e-17,1.10140913828112e-14,TRUE,"up_in_dark_light"
"FGSG_01596","FGSG_01596","uncharacterized protein",3.46169917619548,4.44833640616624,23.5009036613588,3.46958449165627e-17,2.6133977955614e-14,TRUE,"up_in_control"
"FGSG_01823","FGSG_01823","uncharacterized protein",3.6365527305104,-4.3386745666073,-23.3696366791532,3.91115129854685e-17,2.73557096538363e-14,TRUE,"up_in_dark_light"
"FGSG_09210","FGSG_09210","uncharacterized protein",4.11090850859195,-3.76486174869285,-22.5488153025223,8.39248133154429e-17,5.47861181323211e-14,TRUE,"up_in_dark_light"
"FGSG_02325","FGSG_02325","uncharacterized protein",3.1745763319445,-3.75147742660473,-20.8577260249692,4.4002802781452e-16,2.69297153022486e-13,TRUE,"up_in_dark_light"
"FGSG_02329","FGSG_02329","uncharacterized protein",3.27936457394938,-3.66036630948592,-20.5075931094076,6.29625633843672e-16,3.62664365093955e-13,TRUE,"up_in_dark_light"
"FGSG_07721","FGSG_07721","uncharacterized protein",2.2552319180303,4.02088773074893,20.3157876885653,7.67969412763669e-16,4.17775360543436e-13,TRUE,"up_in_control"
"FGSG_07815","FGSG_07815","uncharacterized protein",5.89321781898002,-3.28035293534832,-19.9493297578193,1.12775461117569e-15,5.8120911329644e-13,TRUE,"up_in_dark_light"
"FGSG_02327","FGSG_02327","uncharacterized protein",3.49078423020879,-3.64451975439076,-19.7922948493486,1.33219406723012e-15,6.31183031721094e-13,TRUE,"up_in_dark_light"
"FGSG_12387","FGSG_12387","uncharacterized protein",2.86365078050827,-4.34354345073496,-19.7773000110217,1.35364008028421e-15,6.31183031721094e-13,TRUE,"up_in_dark_light"
"FGSG_02903","FGSG_02903","uncharacterized protein",10.8006751862504,-2.57456618594267,-19.1472108497811,2.67476657352617e-15,1.19051428581674e-12,TRUE,"up_in_dark_light"
"FGSG_03065","FGSG_03065","phytoene dehydrogenase",5.22763974761081,-3.83295083107065,-18.723620031076,4.47186987235681e-15,1.90384999087469e-12,TRUE,"up_in_dark_light"
"FGSG_02328","FGSG_02328","uncharacterized protein",2.5190380089126,-3.20611686888933,-18.4328191494892,5.93352599460845e-15,2.42087860580025e-12,TRUE,"up_in_dark_light"
"FGSG_02326","FGSG_02326","uncharacterized protein",3.2893243302737,-3.28787419228321,-18.1205558387724,8.47812411364722e-15,3.32071165283334e-12,TRUE,"up_in_dark_light"
"FGSG_03686","FGSG_03686","cytochrome P450 61",2.27069572201875,-3.2044019652068,-18.0189119389871,9.53358166905973e-15,3.59049352705511e-12,TRUE,"up_in_dark_light"
"FGSG_03970","FGSG_03970","uncharacterized protein",10.9661143874612,3.00414907448792,18.064494857849,9.94816622700864e-15,3.60786828499513e-12,TRUE,"up_in_control"
