"gene_id","FGSG_id","product","AveExpr","log2FoldChange","t","pvalue","padj","significant","direction"
"FGSG_01379","FGSG_01379","uncharacterized protein",8.01944143492018,8.87866840597957,58.5364596774506,7.72362689917517e-26,7.56297545967232e-22,TRUE,"up_in_low_light"
"FGSG_04745","FGSG_04745","uncharacterized protein",5.07394744920587,10.4949338340898,54.7045582743413,3.44117509671542e-25,1.68479932735187e-21,TRUE,"up_in_low_light"
"FGSG_07530","FGSG_07530","alcohol oxidase",4.29202388341101,8.09807740377688,45.8663783758081,1.66904191818928e-23,5.44775282096982e-20,TRUE,"up_in_low_light"
"FGSG_04972","FGSG_04972","uncharacterized protein",5.12948592472273,6.66610810597736,40.8602793605501,2.11341888610455e-22,5.17364943318394e-19,TRUE,"up_in_low_light"
"FGSG_06480","FGSG_06480","uncharacterized protein",8.35660452239818,-5.82486994519713,-40.0017977607596,3.36681836842745e-22,6.59357709272833e-19,TRUE,"up_in_black_light"
"FGSG_00260","FGSG_00260","uncharacterized protein",11.7035181788867,-5.39239157912033,-38.3084607254976,8.68592350591036e-22,1.41754271616457e-18,TRUE,"up_in_black_light"
"FGSG_03546","FGSG_03546","uncharacterized protein",4.24703596467939,-6.52250553265799,-34.7152656684439,7.48303683328731e-21,9.37226289555449e-18,TRUE,"up_in_black_light"
"FGSG_02221","FGSG_02221","uncharacterized protein",7.660009826194,-5.30645463790598,-34.5506698375382,8.30102788431554e-21,9.37226289555449e-18,TRUE,"up_in_black_light"
"FGSG_02329","FGSG_02329","uncharacterized protein",3.27936457394938,6.15643667513115,34.492093867828,8.61421222017876e-21,9.37226289555449e-18,TRUE,"up_in_low_light"
"FGSG_06482","FGSG_06482","uncharacterized protein",3.97198994419846,-6.1336094164292,-33.5731462677797,1.55255433523461e-20,1.52026120506173e-17,TRUE,"up_in_black_light"
"FGSG_08049","FGSG_08049","uncharacterized protein",5.56137058788308,6.32839922959964,33.2394840090377,1.93023182806859e-20,1.71825727822251e-17,TRUE,"up_in_low_light"
"FGSG_02327","FGSG_02327","uncharacterized protein",3.49078423020879,6.05738820070318,32.8958604603102,2.42077691750081e-20,1.97535396468066e-17,TRUE,"up_in_low_light"
"FGSG_02326","FGSG_02326","uncharacterized protein",3.2893243302737,5.83031186962709,32.1327659187803,4.03582104214141e-20,3.0399045880499e-17,TRUE,"up_in_low_light"
"FGSG_02325","FGSG_02325","uncharacterized protein",3.1745763319445,5.70506183926143,31.7194009898435,5.34931449730832e-20,3.7414633969745e-17,TRUE,"up_in_low_light"
"FGSG_11900","FGSG_11900","uncharacterized protein",7.04546429918589,4.83752888922946,31.1014699885657,8.20542877312667e-20,5.35650390309709e-17,TRUE,"up_in_low_light"
"FGSG_11888","FGSG_11888","uncharacterized protein",8.48852635127886,4.78485377356477,30.8126944839993,1.00495550279138e-19,5.74798770876894e-17,TRUE,"up_in_low_light"
