"gene_id","FGSG_id","product","AveExpr","log2FoldChange","t","pvalue","padj","significant","direction"
"FGSG_01379","FGSG_01379","uncharacterized protein",8.63044934445386,8.92357392516645,80.3562226615817,5.52415784817905e-21,5.63022167886409e-17,TRUE,"up_in_low_light"
"FGSG_06480","FGSG_06480","uncharacterized protein",8.98627518840454,-5.89152516969268,-59.6831872916923,4.48035617082983e-19,2.28318950465488e-15,TRUE,"up_in_black_light"
"FGSG_07530","FGSG_07530","alcohol oxidase",4.74057937521939,8.61584899742912,54.2855387342626,1.81524106319194e-18,5.51497564250774e-15,TRUE,"up_in_low_light"
"FGSG_00260","FGSG_00260","uncharacterized protein",12.3396993097409,-5.44604211717688,-53.6419717195905,2.16443314070163e-18,5.51497564250774e-15,TRUE,"up_in_black_light"
"FGSG_02221","FGSG_02221","uncharacterized protein",8.29098023961782,-5.37518667105413,-49.3343623255395,7.43735421808178e-18,1.40695362087294e-14,TRUE,"up_in_black_light"
"FGSG_04972","FGSG_04972","uncharacterized protein",5.68018042683821,6.92841972050405,48.9753191012062,8.2826940004294e-18,1.40695362087294e-14,TRUE,"up_in_low_light"
"FGSG_11757","FGSG_11757","uncharacterized protein",9.82429366382308,-4.61666734971045,-47.3275267943439,1.37144601641798e-17,1.99682539990457e-14,TRUE,"up_in_black_light"
"FGSG_11888","FGSG_11888","uncharacterized protein",9.12165566079718,4.74143795046152,46.3073108774292,1.89052606403593e-17,2.40853020558178e-14,TRUE,"up_in_low_light"
"FGSG_11900","FGSG_11900","uncharacterized protein",7.67081118964956,4.82145588932966,44.5622300701637,3.32823260071634e-17,3.7690385185001e-14,TRUE,"up_in_low_light"
"FGSG_02329","FGSG_02329","uncharacterized protein",3.70759854703581,6.72130321479707,43.9569234405644,4.07038990748736e-17,4.00476905873886e-14,TRUE,"up_in_low_light"
"FGSG_05348","FGSG_05348","uncharacterized protein",6.48057385210804,4.48573324725915,43.6105944325708,4.57288611967492e-17,4.00476905873886e-14,TRUE,"up_in_low_light"
"FGSG_02267","FGSG_02267","uncharacterized protein",6.57267386758272,4.08667186323544,43.5198680629044,4.71519119945705e-17,4.00476905873886e-14,TRUE,"up_in_low_light"
"FGSG_12206","FGSG_12206","uncharacterized protein",5.79385938414162,4.68337347450437,42.9911144802772,5.64432346376051e-17,4.42514959558824e-14,TRUE,"up_in_low_light"
"FGSG_02325","FGSG_02325","uncharacterized protein",3.59453316701974,6.30505850592521,42.2482178464721,7.2941330760672e-17,5.02743527925195e-14,TRUE,"up_in_low_light"
"FGSG_01158","FGSG_01158","30 kDa heat shock protein",8.74663899625087,-3.81335780764369,-42.2072003500814,7.39909038351444e-17,5.02743527925195e-14,TRUE,"up_in_black_light"
"FGSG_04745","FGSG_04745","uncharacterized protein",5.51302576638462,10.9878432587671,48.1313225910088,8.19467151702533e-17,5.22000575634513e-14,TRUE,"up_in_low_light"
"FGSG_02903","FGSG_02903","uncharacterized protein",11.4366962367228,3.449764691738,41.6046191404504,9.14155996618139e-17,5.40000941268812e-14,TRUE,"up_in_low_light"
"FGSG_02281","FGSG_02281","uncharacterized protein",4.96586394754463,-5.73404132206443,-41.4850001183156,9.53690830341309e-17,5.40000941268812e-14,TRUE,"up_in_black_light"
"FGSG_13952","FGSG_13952","uncharacterized protein",6.02322093099105,4.58823633723021,41.0189095731337,1.12604051504366e-16,6.04031838385524e-14,TRUE,"up_in_low_light"
"FGSG_02966","FGSG_02966","uncharacterized protein",6.99671582005317,-4.66674840899608,-40.8415743642673,1.20009548425135e-16,6.11568658774488e-14,TRUE,"up_in_black_light"
"FGSG_03546","FGSG_03546","uncharacterized protein",4.74116914795942,-6.90159718643548,-40.5835932104902,1.31725193575381e-16,6.39306272819183e-14,TRUE,"up_in_black_light"
"FGSG_06482","FGSG_06482","uncharacterized protein",4.37985268685404,-6.5342356198474,-39.878635307019,1.70417218721677e-16,7.55899757486087e-14,TRUE,"up_in_black_light"
"FGSG_12572","FGSG_12572","uncharacterized protein",7.80528244655225,3.28459638186458,39.8760161461352,1.70581774157967e-16,7.55899757486087e-14,TRUE,"up_in_low_light"
"FGSG_10608","FGSG_10608","uncharacterized protein",5.44217701950389,5.08243851674696,39.3053794428308,2.10816579364941e-16,8.95267740369781e-14,TRUE,"up_in_low_light"
