gene_id,product,lists,subcategory,biotype,contrast,method,log2FC,padj,significant,GO_IDs
FGSG_00007,uncharacterized protein,v2:Toxins,Culmorin,protein_coding,Dark v Black,DESeq2,1.957,2.1488845548821697e-229,True,F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037; P:GO:0055114
FGSG_00007,uncharacterized protein,v2:Toxins,Culmorin,protein_coding,Dark v Black,limma-TPM,2.292,9.94948765337922e-10,True,F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037; P:GO:0055114
FGSG_00007,uncharacterized protein,v2:Toxins,Culmorin,protein_coding,Dark v Black,limma-FPKM,2.32,1.73454444465193e-10,True,F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037; P:GO:0055114
FGSG_00007,uncharacterized protein,v2:Toxins,Culmorin,protein_coding,Half v Black,DESeq2,1.097,2.0705014618287697e-70,True,F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037; P:GO:0055114
FGSG_00007,uncharacterized protein,v2:Toxins,Culmorin,protein_coding,Half v Black,limma-TPM,1.345,1.38459502854275e-06,True,F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037; P:GO:0055114
FGSG_00007,uncharacterized protein,v2:Toxins,Culmorin,protein_coding,Half v Black,limma-FPKM,1.36,3.1483375061013e-06,True,F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037; P:GO:0055114
FGSG_00007,uncharacterized protein,v2:Toxins,Culmorin,protein_coding,Low v Black,DESeq2,1.835,2.3622878955637598e-202,True,F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037; P:GO:0055114
FGSG_00007,uncharacterized protein,v2:Toxins,Culmorin,protein_coding,Low v Black,limma-TPM,2.344,4.46913585027786e-10,True,F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037; P:GO:0055114
FGSG_00007,uncharacterized protein,v2:Toxins,Culmorin,protein_coding,Low v Black,limma-FPKM,2.392,5.48596945868255e-11,True,F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037; P:GO:0055114
FGSG_00007,uncharacterized protein,v2:Toxins,Culmorin,protein_coding,Half v Dark,DESeq2,-0.853,7.41997522774767e-48,False,F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037; P:GO:0055114
