contrast,GO,go_term_name,namespace,n_study,n_bg,study_size,bg_size,expected,fold_enrichment,pvalue,padj,study_genes
control_vs_black_light,GO:0055114,obsolete oxidation-reduction process,BP,129,951,364,6052,57.2,2.26,8.97383690113461e-22,3.948488236499228e-20,"FGSG_00007,FGSG_00065,FGSG_00071,FGSG_00138,FGSG_00145,FGSG_00150,FGSG_00237,FGSG_00576,FGSG_00578,FGSG_00979,FGSG_01255,FGSG_01284,FGSG_01342,FGSG_01686,FGSG_01805,FGSG_01826,FGSG_01868,FGSG_02034,FGSG_02114,FGSG_02203,FGSG_02267,FGSG_02327,FGSG_02328,FGSG_02347,FGSG_02392,FGSG_02432,FGSG_02522,FGSG_02550,FGSG_02551,FGSG_02668,FGSG_02672,FGSG_02882,FGSG_02908,FGSG_03026,FGSG_03065,FGSG_03067,FGSG_03073,FGSG_03075,FGSG_03199,FGSG_03262,FGSG_03307,FGSG_03430,FGSG_03443,FGSG_03498,FGSG_03579,FGSG_03638,FGSG_03655,FGSG_03667,FGSG_03700,FGSG_03741,FGSG_03775,FGSG_03824,FGSG_03831,FGSG_03851,FGSG_03880,FGSG_03898,FGSG_03915,FGSG_04064,FGSG_04092,FGSG_04117,FGSG_04126,FGSG_04214,FGSG_04248,FGSG_04510,FGSG_04663,FGSG_04793,FGSG_04969,FGSG_05159,FGSG_05678,FGSG_05695,FGSG_06001,FGSG_06068,FGSG_06215,FGSG_06554,FGSG_06619,FGSG_07530,FGSG_07556,FGSG_07683,FGSG_07685,FGSG_07758,FGSG_08062,FGSG_08077,FGSG_08079,FGSG_08125,FGSG_08207,FGSG_08358,FGSG_08425,FGSG_08510,FGSG_08579,FGSG_09040,FGSG_09059,FGSG_09063,FGSG_09145,FGSG_09240,FGSG_09477,FGSG_09522,FGSG_09627,FGSG_09820,FGSG_10417,FGSG_10444,FGSG_10571,FGSG_10666,FGSG_10673,FGSG_10677,FGSG_10680,FGSG_10950,FGSG_10960,FGSG_10998,FGSG_11032,FGSG_11211,FGSG_11232,FGSG_11270,FGSG_11399,FGSG_11420,FGSG_11517,FGSG_11554,FGSG_12082,FGSG_12206,FGSG_12369,FGSG_12519,FGSG_12647,FGSG_13347,FGSG_13433,FGSG_13456,FGSG_13459,FGSG_13561,FGSG_13737,FGSG_13840,FGSG_13963"
control_vs_black_light,GO:0008152,metabolic process,BP,32,207,364,6052,12.45,2.57,5.499702623931059e-07,1.2099345772648327e-05,"FGSG_01379,FGSG_01680,FGSG_01746,FGSG_01766,FGSG_01823,FGSG_02063,FGSG_02121,FGSG_02315,FGSG_02342,FGSG_03080,FGSG_03244,FGSG_03245,FGSG_03304,FGSG_03356,FGSG_03372,FGSG_03457,FGSG_03645,FGSG_03736,FGSG_03747,FGSG_03922,FGSG_04077,FGSG_04346,FGSG_04657,FGSG_04930,FGSG_05048,FGSG_06381,FGSG_06613,FGSG_08622,FGSG_09138,FGSG_11884,FGSG_12632,FGSG_13860"
control_vs_black_light,GO:0055085,transmembrane transport,BP,48,436,364,6052,26.22,1.83,2.2491043883490312e-05,0.0003298686436245,"FGSG_00015,FGSG_00351,FGSG_00572,FGSG_02064,FGSG_02281,FGSG_02316,FGSG_02358,FGSG_02823,FGSG_02824,FGSG_03033,FGSG_03161,FGSG_03306,FGSG_03369,FGSG_03643,FGSG_03735,FGSG_03830,FGSG_03882,FGSG_03987,FGSG_04188,FGSG_04431,FGSG_04658,FGSG_04676,FGSG_05042,FGSG_05238,FGSG_05839,FGSG_05882,FGSG_06336,FGSG_06468,FGSG_07567,FGSG_07582,FGSG_07587,FGSG_07631,FGSG_07881,FGSG_07917,FGSG_08014,FGSG_08084,FGSG_08799,FGSG_09060,FGSG_09210,FGSG_09595,FGSG_10570,FGSG_10706,FGSG_11339,FGSG_11480,FGSG_12505,FGSG_12704,FGSG_13493,FGSG_13993"
control_vs_black_light,GO:0009072,aromatic amino acid metabolic process,BP,4,5,364,6052,0.3,13.3,6.135351585266769e-05,0.0006748886743793,"FGSG_01285,FGSG_02851,FGSG_02852,FGSG_06001"
control_vs_black_light,GO:0006979,response to oxidative stress,BP,6,17,364,6052,1.02,5.87,0.0003186670043392,0.0028042696381851,"FGSG_02550,FGSG_02551,FGSG_02668,FGSG_06554,FGSG_10960,FGSG_12369"
control_vs_black_light,GO:0006508,proteolysis,BP,22,180,364,6052,10.83,2.03,0.0010736539564083,0.0078734623469942,"FGSG_00806,FGSG_01825,FGSG_02019,FGSG_02314,FGSG_03072,FGSG_03443,FGSG_03975,FGSG_04375,FGSG_04970,FGSG_05582,FGSG_06511,FGSG_07775,FGSG_08101,FGSG_08102,FGSG_08196,FGSG_11073,FGSG_11224,FGSG_11249,FGSG_11472,FGSG_12142,FGSG_12609,FGSG_13441"
control_vs_black_light,GO:0098869,cellular oxidant detoxification,BP,8,37,364,6052,2.23,3.59,0.0013099923676504,0.0082342377395173,"FGSG_02550,FGSG_02551,FGSG_02668,FGSG_02882,FGSG_05695,FGSG_06554,FGSG_10960,FGSG_12369"
control_vs_black_light,GO:0043335,protein unfolding,BP,2,2,364,6052,0.12,16.63,0.0036081280038378,0.0176397369076516,"FGSG_01015,FGSG_12745"
control_vs_black_light,GO:0006570,obsolete tyrosine metabolic process,BP,2,2,364,6052,0.12,16.63,0.0036081280038378,0.0176397369076516,"FGSG_02347,FGSG_08358"
control_vs_black_light,GO:0042744,hydrogen peroxide catabolic process,BP,3,7,364,6052,0.42,7.13,0.006296835396871,0.0268175623528509,"FGSG_05695,FGSG_06554,FGSG_12369"
