contrast,GO,go_term_name,namespace,n_study,n_bg,study_size,bg_size,expected,fold_enrichment,pvalue,padj,study_genes
control_vs_dark_light,GO:0055114,obsolete oxidation-reduction process,BP,202,951,609,6052,95.7,2.11,5.0134369737402494e-30,3.559540251355577e-28,"FGSG_00012,FGSG_00043,FGSG_00048,FGSG_00162,FGSG_00489,FGSG_00531,FGSG_00578,FGSG_00655,FGSG_00712,FGSG_01048,FGSG_01255,FGSG_01686,FGSG_01819,FGSG_01947,FGSG_02034,FGSG_02051,FGSG_02113,FGSG_02137,FGSG_02165,FGSG_02220,FGSG_02266,FGSG_02267,FGSG_02271,FGSG_02279,FGSG_02291,FGSG_02327,FGSG_02328,FGSG_02379,FGSG_02387,FGSG_02392,FGSG_02419,FGSG_02432,FGSG_02469,FGSG_02502,FGSG_02522,FGSG_02657,FGSG_02668,FGSG_02691,FGSG_02692,FGSG_02695,FGSG_02792,FGSG_02924,FGSG_03001,FGSG_03026,FGSG_03061,FGSG_03065,FGSG_03067,FGSG_03163,FGSG_03180,FGSG_03199,FGSG_03213,FGSG_03256,FGSG_03258,FGSG_03264,FGSG_03340,FGSG_03375,FGSG_03408,FGSG_03426,FGSG_03430,FGSG_03531,FGSG_03546,FGSG_03547,FGSG_03548,FGSG_03593,FGSG_03626,FGSG_03638,FGSG_03657,FGSG_03686,FGSG_03692,FGSG_03710,FGSG_03741,FGSG_03761,FGSG_03775,FGSG_03824,FGSG_03851,FGSG_03913,FGSG_03920,FGSG_03925,FGSG_03952,FGSG_03955,FGSG_03984,FGSG_04012,FGSG_04092,FGSG_04126,FGSG_04223,FGSG_04299,FGSG_04368,FGSG_04458,FGSG_04542,FGSG_04590,FGSG_04595,FGSG_04663,FGSG_04667,FGSG_04694,FGSG_04727,FGSG_04728,FGSG_04780,FGSG_04793,FGSG_04828,FGSG_04852,FGSG_05159,FGSG_05164,FGSG_05334,FGSG_05450,FGSG_05683,FGSG_05695,FGSG_05831,FGSG_05919,FGSG_06060,FGSG_06127,FGSG_06257,FGSG_06538,FGSG_06539,FGSG_06548,FGSG_06563,FGSG_06618,FGSG_07174,FGSG_07263,FGSG_07483,FGSG_07500,FGSG_07530,FGSG_07536,FGSG_07556,FGSG_07590,FGSG_07642,FGSG_07683,FGSG_07758,FGSG_07765,FGSG_08024,FGSG_08054,FGSG_08131,FGSG_08191,FGSG_08207,FGSG_08208,FGSG_08402,FGSG_08425,FGSG_08462,FGSG_08463,FGSG_08795,FGSG_09029,FGSG_09040,FGSG_09054,FGSG_09059,FGSG_09086,FGSG_09103,FGSG_09104,FGSG_09121,FGSG_09125,FGSG_09145,FGSG_09198,FGSG_09373,FGSG_09477,FGSG_09483,FGSG_09627,FGSG_10444,FGSG_10451,FGSG_10609,FGSG_10631,FGSG_10655,FGSG_10673,FGSG_10680,FGSG_10739,FGSG_10790,FGSG_10855,FGSG_10920,FGSG_10991,FGSG_11192,FGSG_11215,FGSG_11232,FGSG_11270,FGSG_11387,FGSG_11420,FGSG_11440,FGSG_11522,FGSG_11549,FGSG_11565,FGSG_11566,FGSG_11568,FGSG_11570,FGSG_11585,FGSG_11655,FGSG_11656,FGSG_12129,FGSG_12154,FGSG_12172,FGSG_12180,FGSG_12223,FGSG_12369,FGSG_12386,FGSG_12563,FGSG_12594,FGSG_12599,FGSG_13110,FGSG_13196,FGSG_13347,FGSG_13388,FGSG_13427,FGSG_13459,FGSG_13561,FGSG_13840,FGSG_13865,FGSG_13875"
control_vs_dark_light,GO:0055085,transmembrane transport,BP,109,436,609,6052,43.87,2.48,4.6618126799280106e-21,1.6549435013744438e-19,"FGSG_00015,FGSG_00067,FGSG_00084,FGSG_00095,FGSG_00108,FGSG_00226,FGSG_00351,FGSG_00416,FGSG_00769,FGSG_01662,FGSG_01792,FGSG_01814,FGSG_01986,FGSG_02151,FGSG_02281,FGSG_02292,FGSG_02307,FGSG_02316,FGSG_02343,FGSG_02358,FGSG_02580,FGSG_02641,FGSG_02823,FGSG_02824,FGSG_02846,FGSG_02966,FGSG_02978,FGSG_02992,FGSG_03032,FGSG_03033,FGSG_03133,FGSG_03140,FGSG_03161,FGSG_03168,FGSG_03272,FGSG_03279,FGSG_03306,FGSG_03330,FGSG_03360,FGSG_03427,FGSG_03548,FGSG_03570,FGSG_03737,FGSG_03744,FGSG_03754,FGSG_03780,FGSG_03862,FGSG_03882,FGSG_03920,FGSG_03956,FGSG_04188,FGSG_04368,FGSG_04440,FGSG_04537,FGSG_04610,FGSG_04658,FGSG_04667,FGSG_04709,FGSG_04804,FGSG_04827,FGSG_04876,FGSG_04899,FGSG_05011,FGSG_05589,FGSG_05705,FGSG_05731,FGSG_05839,FGSG_06141,FGSG_06336,FGSG_06468,FGSG_06579,FGSG_07350,FGSG_07411,FGSG_07495,FGSG_07587,FGSG_07631,FGSG_07666,FGSG_07720,FGSG_07722,FGSG_07802,FGSG_07985,FGSG_08014,FGSG_08230,FGSG_08309,FGSG_08375,FGSG_08749,FGSG_08823,FGSG_08884,FGSG_09069,FGSG_09104,FGSG_09209,FGSG_09210,FGSG_09335,FGSG_09697,FGSG_09737,FGSG_09804,FGSG_09913,FGSG_11029,FGSG_11339,FGSG_11439,FGSG_11567,FGSG_12204,FGSG_12335,FGSG_13360,FGSG_13382,FGSG_13493,FGSG_13650,FGSG_13807,FGSG_13979"
control_vs_dark_light,GO:0008152,metabolic process,BP,44,207,609,6052,20.83,2.11,8.908543055929935e-07,2.1083551899034186e-05,"FGSG_00036,FGSG_01379,FGSG_01496,FGSG_01571,FGSG_01680,FGSG_01823,FGSG_02121,FGSG_02218,FGSG_02315,FGSG_02342,FGSG_02873,FGSG_02938,FGSG_03080,FGSG_03245,FGSG_03257,FGSG_03457,FGSG_03645,FGSG_03747,FGSG_03785,FGSG_03808,FGSG_04077,FGSG_04333,FGSG_04346,FGSG_04616,FGSG_04874,FGSG_05128,FGSG_06613,FGSG_07275,FGSG_07277,FGSG_07911,FGSG_08053,FGSG_09031,FGSG_09521,FGSG_10126,FGSG_10617,FGSG_10670,FGSG_10853,FGSG_10990,FGSG_11295,FGSG_11659,FGSG_12292,FGSG_13111,FGSG_13153,FGSG_13300"
control_vs_dark_light,GO:0005975,carbohydrate metabolic process,BP,32,160,609,6052,16.1,1.99,9.888170492201956e-05,0.0017551502623658,"FGSG_00068,FGSG_01283,FGSG_01596,FGSG_01829,FGSG_01836,FGSG_02001,FGSG_02339,FGSG_02651,FGSG_03247,FGSG_03269,FGSG_03288,FGSG_03332,FGSG_03343,FGSG_03842,FGSG_04615,FGSG_04768,FGSG_04953,FGSG_05968,FGSG_06888,FGSG_07207,FGSG_08610,FGSG_08797,FGSG_09082,FGSG_09366,FGSG_09947,FGSG_10444,FGSG_10728,FGSG_10992,FGSG_11056,FGSG_11184,FGSG_11904,FGSG_13861"
control_vs_dark_light,GO:0035434,copper ion transmembrane transport,BP,4,5,609,6052,0.5,7.95,0.0004674794225035,0.0066382077995505,"FGSG_00773,FGSG_03693,FGSG_06061,FGSG_08697"
control_vs_dark_light,GO:0006950,response to stress,BP,8,27,609,6052,2.72,2.94,0.0039352061968515,0.0446627023879715,"FGSG_02084,FGSG_02469,FGSG_05285,FGSG_05968,FGSG_09209,FGSG_09210,FGSG_09535,FGSG_10923"
control_vs_dark_light,GO:0000272,polysaccharide catabolic process,BP,5,12,609,6052,1.21,4.14,0.0044033650241662,0.0446627023879715,"FGSG_02314,FGSG_03591,FGSG_06278,FGSG_09291,FGSG_11326"
control_vs_dark_light,GO:0042128,nitrate assimilation,BP,3,5,609,6052,0.5,5.96,0.0086810051305382,0.0598235116076032,"FGSG_01947,FGSG_07500,FGSG_08402"
control_vs_dark_light,GO:0015700,arsenite transport,BP,2,2,609,6052,0.2,9.94,0.0101110160463554,0.0598235116076032,"FGSG_03248,FGSG_06579"
control_vs_dark_light,GO:0018958,phenol-containing compound metabolic process,BP,2,2,609,6052,0.2,9.94,0.0101110160463554,0.0598235116076032,"FGSG_07721,FGSG_12251"
