sample,reads_before,reads_after,pct_pass,q30_before,q30_after,gc_after,read1_mean_len_after,adapter_trimmed_reads
B10_S1,20262044,20121600,99.31,92.59,92.76,50.93,97,326052
B11_S2,18611704,18474634,99.26,92.88,93.06,51.06,98,201593
B12_S3,18231570,17957254,98.5,92.92,93.11,50.25,97,436636
D10_S4,17364000,17265032,99.43,92.62,92.8,50.7,97,288290
D11_S5,16390764,16298686,99.44,92.9,93.06,50.87,97,241151
D12_S6,14544838,14469198,99.48,92.65,92.81,50.6,98,157606
H13_S7,19696060,19588958,99.46,92.74,92.91,50.17,96,365944
H14_S8,16006206,15920442,99.46,92.85,93.0,50.78,96,320740
H15_S9,15917784,15828080,99.44,92.8,92.96,50.57,98,207812
L13_S10,22136104,21991216,99.35,92.52,92.71,50.83,97,374988
L14_S11,15307722,15238256,99.55,92.85,92.99,50.91,98,198094
L15_S12,14234192,14158682,99.47,92.57,92.73,51.02,98,159548
