gene_id,B10_S1,B11_S2,B12_S3,D10_S4,D11_S5,D12_S6,H13_S7,H14_S8,H15_S9,L13_S10,L14_S11,L15_S12
FGRAM000v1_000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000002,7.204068,5.892321,3.411495,7.822755,7.90412,5.497432,4.289604,6.712365,4.502237,10.454362,10.26806,7.3027
FGRAM000v1_000003,0.0,0.741462,4.200928,0.898685,0.708463,0.0,1.043704,1.260177,0.712339,0.509439,0.0,0.0
FGRAM000v1_000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000005,0.586412,0.656118,0.729163,0.828728,0.961252,1.120138,0.850138,0.977189,0.592317,0.604152,0.629337,0.620939
FGRAM000v1_000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000007,77.860825,77.411812,64.893534,23.878333,18.713269,18.369212,53.684172,65.402853,56.876826,8.415069,6.680094,10.34897
FGRAM000v1_000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000009,0.28308,0.66981,0.259844,0.472532,0.572191,0.550061,0.168368,0.452941,0.839923,1.810861,2.366726,1.46992
FGRAM000v1_000010,0.231642,0.25091,0.689135,1.506483,1.289459,1.901584,0.557797,0.772079,0.849886,1.270047,2.451051,1.726245
FGRAM000v1_000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298619,0.222753,0.0,0.0
FGRAM000v1_000012,0.744702,0.269674,0.186665,0.678393,1.277605,1.19076,0.599324,1.648175,2.120222,1.018438,0.66533,0.706122
FGRAM000v1_000013,8.032166,12.325588,13.206372,15.040151,10.553704,16.306682,16.562473,19.348372,15.951843,16.267517,16.262395,18.788037
FGRAM000v1_000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000015,2.728221,3.756969,4.400532,6.388901,8.20666,6.157996,3.736078,5.166618,6.404769,9.050531,9.743162,6.073956
FGRAM000v1_000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000017,0.172694,0.557894,1.14328,2.202589,0.321386,0.935608,0.412776,0.910624,0.635646,1.110369,1.055391,0.500177
FGRAM000v1_000018,0.0,0.0,0.0,0.115847,0.0,0.0,0.096301,0.0,0.0,0.0,0.065687,0.139862
FGRAM000v1_000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229975,0.24763
FGRAM000v1_000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080554,0.0
FGRAM000v1_000022,0.0,0.0,0.0,0.0,0.475262,1.067634,1.512733,0.490891,1.679225,3.334445,1.761414,1.092393
FGRAM000v1_000023,122.095958,141.294434,112.863169,577.190737,621.853978,552.831761,272.486499,350.671859,287.345003,618.078129,636.330653,572.049609
FGRAM000v1_000024,0.063388,0.0,0.0,0.0,0.0,0.267004,0.065008,0.0,0.0,0.0,0.086511,0.459767
FGRAM000v1_000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35994,0.0,0.0,0.0,0.0
FGRAM000v1_000028,5.948774,8.621633,6.023457,16.716609,16.888163,13.859639,10.166895,14.292306,12.557829,22.775733,23.676185,22.832756
FGRAM000v1_000029,0.089633,0.192955,0.27922,1.318441,0.795758,0.644858,0.28069,0.239551,0.458199,1.774734,1.096897,2.117937
FGRAM000v1_000030,0.093973,0.0,0.0,0.0,0.0,0.135111,0.0,0.0,0.0,0.0,0.128871,0.0
FGRAM000v1_000031,0.0,0.47325,0.0,0.519679,0.0,0.0,0.148283,0.0,0.0,0.276335,0.0,0.0
FGRAM000v1_000032,0.0,0.233099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194382,0.289973,0.0
FGRAM000v1_000033,0.0,0.0,0.0,0.0,0.0,0.0,0.414593,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000034,0.093058,0.402385,0.0,0.327037,0.118942,0.130214,2.531168,3.711836,3.745606,0.436895,0.509136,0.0
FGRAM000v1_000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000036,0.510607,0.370253,0.764788,0.255735,0.273977,0.399346,0.420696,0.482342,0.582209,0.202557,0.488348,0.52431
FGRAM000v1_000037,42.942437,36.995433,42.370741,32.638672,35.102106,31.10973,45.737166,47.461356,45.702608,38.280688,34.081635,33.357321
FGRAM000v1_000038,0.087313,0.186408,0.0,0.0,0.105905,0.348764,0.0,0.343954,0.104731,0.236163,0.230326,0.243936
