"sample","PC1","PC2","PC3","condition"
"B10_S1",-24.557091298001,-3.3298104592318,5.62688944760075,"black_light"
"B11_S2",-24.3245823093025,-3.1108575938012,5.82113215085104,"black_light"
"B12_S3",-24.6999327437294,-4.04547604270016,5.76802537356064,"black_light"
"D10_S4",12.4648839634558,-10.2635501860967,-4.0329807607631,"dark_light"
"D11_S5",14.1105383676122,-9.46306194342509,-4.29030972777988,"dark_light"
"D12_S6",12.7590576552408,-10.3611168358202,-4.04701879949812,"dark_light"
"H13_S7",-12.2756745789515,7.30043806110043,-6.82359123577703,"high_light"
"H14_S8",-11.4314008639934,8.15278502115801,-6.12795881499223,"high_light"
"H15_S9",-12.1167737262106,7.5458298278308,-6.80856132303267,"high_light"
"L13_S10",23.1951886819286,5.79467532926572,4.97742866346988,"low_light"
"L14_S11",23.5474045976806,6.04299007541445,5.08378778553944,"low_light"
"L15_S12",23.3283822542706,5.73715474630578,4.85315724082129,"low_light"
