"","B10_S1","B11_S2","B12_S3","D10_S4","D11_S5","D12_S6","H13_S7","H14_S8","H15_S9","L13_S10","L14_S11","L15_S12"
"B10_S1",1,0.997917568840714,0.995485885487903,0.945440470120499,0.941072399350969,0.944634312304387,0.978190817391158,0.978132392272733,0.978551105259932,0.91911503801114,0.917441221386827,0.917662600168575
"B11_S2",0.997917568840714,1,0.993882327262213,0.944331087353196,0.940971922574825,0.943670119674736,0.976550098268531,0.978691011678349,0.977553386751489,0.919724282647417,0.918219341396975,0.918238755504457
"B12_S3",0.995485885487903,0.993882327262213,1,0.945899305135761,0.939567446336083,0.945181491432689,0.978745306193545,0.974254613232464,0.978088931664409,0.916457934057973,0.914571838612458,0.915614965604633
"D10_S4",0.945440470120499,0.944331087353196,0.945899305135761,1,0.99677611592436,0.997678099310244,0.965231930025207,0.963228144948818,0.965107935419801,0.977719100444411,0.976762250688898,0.977527377283307
"D11_S5",0.941072399350969,0.940971922574825,0.939567446336083,0.99677611592436,1,0.996597049720162,0.961913676933576,0.963153969243249,0.962964688093243,0.981147083460565,0.980373340448821,0.980801882084192
"D12_S6",0.944634312304387,0.943670119674736,0.945181491432689,0.997678099310244,0.996597049720162,1,0.96448668219651,0.9622253066785,0.964606875974325,0.977625779444756,0.976595577926777,0.977541816509097
"H13_S7",0.978190817391158,0.976550098268531,0.978745306193545,0.965231930025207,0.961913676933576,0.96448668219651,1,0.993997746065153,0.997481521438098,0.949540663806216,0.947818408993497,0.948828811408058
"H14_S8",0.978132392272733,0.978691011678349,0.974254613232464,0.963228144948818,0.963153969243249,0.9622253066785,0.993997746065153,1,0.995386689234978,0.953198321492799,0.952214930525812,0.95188668737291
"H15_S9",0.978551105259932,0.977553386751489,0.978088931664409,0.965107935419801,0.962964688093243,0.964606875974325,0.997481521438098,0.995386689234978,1,0.951048928513979,0.949556755774948,0.950443101199187
"L13_S10",0.91911503801114,0.919724282647417,0.916457934057973,0.977719100444411,0.981147083460565,0.977625779444756,0.949540663806216,0.953198321492799,0.951048928513979,1,0.998140975390256,0.997763147630884
"L14_S11",0.917441221386827,0.918219341396975,0.914571838612458,0.976762250688898,0.980373340448821,0.976595577926777,0.947818408993497,0.952214930525812,0.949556755774948,0.998140975390256,1,0.997641113353144
"L15_S12",0.917662600168575,0.918238755504457,0.915614965604633,0.977527377283307,0.980801882084192,0.977541816509097,0.948828811408058,0.95188668737291,0.950443101199187,0.997763147630884,0.997641113353144,1
