metric,cutoff,region,n_conditions,gene_count
TPM,1,Black,1,79
TPM,1,Dark,1,94
TPM,1,High,1,45
TPM,1,Low,1,156
TPM,1,Black&Dark,2,23
TPM,1,Black&High,2,99
TPM,1,Black&Low,2,17
TPM,1,Dark&High,2,20
TPM,1,Dark&Low,2,212
TPM,1,High&Low,2,42
TPM,1,Black&Dark&High,3,60
TPM,1,Black&Dark&Low,3,46
TPM,1,Black&High&Low,3,43
TPM,1,Dark&High&Low,3,252
TPM,1,Black&Dark&High&Low,4,8811
TPM,5,Black,1,73
TPM,5,Dark,1,71
TPM,5,High,1,39
TPM,5,Low,1,259
TPM,5,Black&Dark,2,15
TPM,5,Black&High,2,92
TPM,5,Black&Low,2,13
TPM,5,Dark&High,2,6
TPM,5,Dark&Low,2,310
TPM,5,High&Low,2,31
TPM,5,Black&Dark&High,3,70
TPM,5,Black&Dark&Low,3,54
TPM,5,Black&High&Low,3,36
TPM,5,Dark&High&Low,3,315
TPM,5,Black&Dark&High&Low,4,7051
TPM,10,Black,1,76
TPM,10,Dark,1,73
TPM,10,High,1,44
TPM,10,Low,1,319
TPM,10,Black&Dark,2,22
TPM,10,Black&High,2,70
TPM,10,Black&Low,2,10
TPM,10,Dark&High,2,12
TPM,10,Dark&Low,2,359
TPM,10,High&Low,2,40
TPM,10,Black&Dark&High,3,78
TPM,10,Black&Dark&Low,3,55
TPM,10,Black&High&Low,3,40
TPM,10,Dark&High&Low,3,326
TPM,10,Black&Dark&High&Low,4,5878
FPKM,5,Black,1,84
FPKM,5,Dark,1,67
FPKM,5,High,1,37
FPKM,5,Low,1,283
FPKM,5,Black&Dark,2,21
FPKM,5,Black&High,2,85
FPKM,5,Black&Low,2,19
FPKM,5,Dark&High,2,4
FPKM,5,Dark&Low,2,325
FPKM,5,High&Low,2,31
FPKM,5,Black&Dark&High,3,64
FPKM,5,Black&Dark&Low,3,79
FPKM,5,Black&High&Low,3,48
FPKM,5,Dark&High&Low,3,274
FPKM,5,Black&Dark&High&Low,4,6453
