"","B10_S1","B11_S2","B12_S3","D10_S4","D11_S5","D12_S6","H13_S7","H14_S8","H15_S9","L13_S10","L14_S11","L15_S12"
"FGRAM000v1_000002",7.3529858126315,7.25830053856782,7.11113737784644,7.30983835968975,7.30480666135642,7.18312210563243,7.14716433493692,7.25398898734285,7.15788737085733,7.39465099760202,7.3879704526086,7.25870072443988
"FGRAM000v1_000003",6.55758514603379,6.64607701219265,6.86428528543318,6.638060650645,6.64335768069882,6.55758514603379,6.68066238031532,6.69349005816432,6.65260477773753,6.62326469202357,6.55758514603379,6.55758514603379
"FGRAM000v1_000005",7.00155151470292,7.02668323485339,7.08121923887206,7.04490741659293,7.08159643520808,7.13560013746906,7.0931717181106,7.0926979331039,6.99327386381378,6.94966774853877,6.95795834137654,6.95949948069058
"FGRAM000v1_000007",9.52474215747401,9.47695032673783,9.37968855074745,8.14516648275762,7.95761399483322,7.96368060552233,9.03141019734013,9.10539123859379,9.0800676967195,7.46749990564519,7.36646185920938,7.5802197018297
"FGRAM000v1_000009",6.7873044257094,6.92875415301945,6.78428291429398,6.83422364020983,6.86397138757099,6.86195165240297,6.72027182542511,6.83000538912195,6.97164797651046,7.1226758100379,7.20433309325021,7.06266424655216
"FGRAM000v1_000010",6.68907374902085,6.69312506891152,6.82328580923067,6.91635772597031,6.88315534629154,6.96955401795849,6.77703885462367,6.80370787634785,6.83466859916404,6.86921370853348,7.01402837159975,6.92472715942049
"FGRAM000v1_000011",6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.55758514603379,6.65007145841316,6.62332944678706,6.55758514603379,6.55758514603379
"FGRAM000v1_000012",6.81485055584823,6.69337159509548,6.67162015584299,6.7838005495859,6.86285571369517,6.86095389533178,6.77738117551156,6.92356258275583,7.00766402759685,6.82098652622277,6.76205309849314,6.77219885574298
"FGRAM000v1_000013",7.0745613098984,7.19183753019627,7.25527402518689,7.20747061089513,7.09192006209967,7.24249820217195,7.29892768520314,7.30807823312527,7.27903751992183,7.20943026701562,7.21064428666231,7.2692394681273
"FGRAM000v1_000015",7.11766799343988,7.21453391906207,7.30868659787239,7.35269912262917,7.45372588338647,7.34612603357283,7.20713869452948,7.27699467456052,7.40982290448993,7.47564393207903,7.50780330232903,7.30709702659984
