"gene_id","FGSG_id","product","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"FGSG_12142","FGSG_12142","uncharacterized protein",569.563083512991,-3.83949019635026,0.112339950660289,6.30453815288282e-257,6.92868743001822e-253,TRUE,"up_in_black_light"
"FGSG_08196","FGSG_08196","aspergillopepsin-2 precursor",5135.59473558631,2.14742814423588,0.0661614944206459,5.75853756521497e-233,3.16431639208563e-229,TRUE,"up_in_control"
"FGSG_02851","FGSG_02851","fumarylacetoacetase",516.730930600507,3.83996378607601,0.129125397480457,1.07409345763375e-195,3.93476236646497e-192,TRUE,"up_in_control"
"FGSG_01158","FGSG_01158","30 kDa heat shock protein",5620.13408585763,-2.89946123742124,0.101292154857687,1.64966112702437e-181,4.53244394649947e-178,TRUE,"up_in_black_light"
"FGSG_06000","FGSG_06000","uncharacterized protein",2098.69204741313,1.64859770618579,0.0591041511415182,2.27641887439593e-172,5.00356868592225e-169,TRUE,"up_in_control"
"FGSG_01379","FGSG_01379","uncharacterized protein",6330.78897417138,4.69133492664441,0.171608186756987,4.38926941859596e-165,8.03967848506159e-162,TRUE,"up_in_control"
"FGSG_00979","FGSG_00979","aldehyde dehydrogenase",10268.2200321602,1.44137713224212,0.0554685127913893,1.12952566187762e-149,1.77335528914787e-146,TRUE,"up_in_control"
"FGSG_03988","FGSG_03988","uncharacterized protein",1386.34177011921,2.55271552457609,0.098971459957298,2.10774882923762e-148,2.89551995416518e-145,TRUE,"up_in_control"
"FGSG_05292","FGSG_05292","uncharacterized protein",1242.03476102908,-1.84825437081467,0.0733816126847101,3.80534732147866e-141,4.6467518958945e-138,TRUE,"up_in_black_light"
"FGSG_11900","FGSG_11900","uncharacterized protein",1079.57560768587,2.90736311143975,0.119619627500803,1.73280619556949e-131,1.90435400893087e-128,TRUE,"up_in_control"
"FGSG_07775","FGSG_07775","endothiapepsin precursor",11285.5673889629,2.43696532650542,0.1017931812901,7.00687754633246e-128,7.00050765765398e-125,TRUE,"up_in_control"
"FGSG_05839","FGSG_05839","uncharacterized protein",345.1514663423,2.80556718154282,0.121720955233891,6.97678201774847e-119,6.38956953125464e-116,TRUE,"up_in_control"
"FGSG_01015","FGSG_01015","heat shock protein 78",525.531874224287,-2.58859223163445,0.112683414413991,4.98628007798599e-118,4.21532446592816e-115,TRUE,"up_in_black_light"
"FGSG_02064","FGSG_02064","uncharacterized protein",428.91432596045,2.78619839361938,0.122323869703686,1.23046893505789e-115,9.65918114020444e-113,TRUE,"up_in_control"
"FGSG_00136","FGSG_00136","uncharacterized protein",5012.07320782046,-2.50397063706998,0.111685115874814,1.37737386229541e-112,1.00915591644177e-109,TRUE,"up_in_black_light"
"FGSG_10677","FGSG_10677","uncharacterized protein",5820.98272820778,1.66050005389285,0.0750438850796182,1.32799569120616e-109,9.12167040397232e-107,TRUE,"up_in_control"
"FGSG_03385","FGSG_03385","uncharacterized protein",987.598098667383,-3.24159319807933,0.151933034516611,2.4726648293736e-102,1.59850508675388e-99,TRUE,"up_in_black_light"
"FGSG_09595","FGSG_09595","uncharacterized protein",632.457654089797,2.23435723397594,0.106130109843766,5.54444401222856e-100,3.38519109413288e-97,TRUE,"up_in_control"
"FGSG_10022","FGSG_10022","uncharacterized protein",9168.88191529536,1.13978517544332,0.0540248935563623,9.06285360536371e-100,5.24214532226038e-97,TRUE,"up_in_control"
"FGSG_07205","FGSG_07205","uncharacterized protein",5145.92781353937,1.24220502377823,0.060155641147364,8.66119240857374e-96,4.75932522851127e-93,TRUE,"up_in_control"
"FGSG_00260","FGSG_00260","uncharacterized protein",57368.566165075,-2.65133672464207,0.129357446406415,1.8186307048869e-94,9.5175006889081e-92,TRUE,"up_in_black_light"
"FGSG_04662","FGSG_04662","uncharacterized protein",707.908156789097,1.77020576719304,0.0865384923402799,3.98695653677113e-94,1.9916660154143e-91,TRUE,"up_in_control"
"FGSG_12207","FGSG_12207","uncharacterized protein",2960.20348291779,1.75080993322173,0.0875288674577938,3.20535637959394e-90,1.53160289616249e-87,TRUE,"up_in_control"
"FGSG_04117","FGSG_04117","NAD-specific glutamate dehydrogenase",2055.09692866881,-1.67004564251397,0.0834781144381813,3.55084417128619e-90,1.62599072676813e-87,TRUE,"up_in_black_light"
"FGSG_04735","FGSG_04735","uncharacterized protein",2913.07496582568,-1.93741551399363,0.0975165460747026,5.37728445420264e-89,2.36385424606748e-86,TRUE,"up_in_black_light"
"FGSG_10206","FGSG_10206","uncharacterized protein",1374.52640659275,1.6883388715571,0.0862357122703574,1.01442651545096e-86,4.12909163140964e-84,TRUE,"up_in_control"
"FGSG_07608","FGSG_07608","uncharacterized protein",432.537379794129,2.22406787638901,0.113607251730736,1.00516818269855e-86,4.12909163140964e-84,TRUE,"up_in_control"
"FGSG_03065","FGSG_03065","phytoene dehydrogenase",1970.1339874334,-2.06787680366376,0.105778811782867,2.76444757594007e-86,1.08504567355648e-83,TRUE,"up_in_black_light"
"FGSG_03211","FGSG_03211","uncharacterized protein",4506.52167610106,-2.73242449744893,0.139959113814731,3.2466367029183e-86,1.23036335741628e-83,TRUE,"up_in_black_light"
"FGSG_11115","FGSG_11115","uncharacterized protein",219.380182784929,3.87159439280735,0.197960718192286,5.67013509845188e-86,2.0771594910662e-83,TRUE,"up_in_control"
"FGSG_10372","FGSG_10372","uncharacterized protein",630.151705797248,-1.66995043722427,0.0863980487254931,1.87151256124115e-84,6.63481388646461e-82,TRUE,"up_in_black_light"
"FGSG_02019","FGSG_02019","uncharacterized protein",415.067096135006,-2.51943867112377,0.130522987480476,2.35690795750569e-84,8.09450576655861e-82,TRUE,"up_in_black_light"
"FGSG_01826","FGSG_01826","methylmalonate-semialdehyde dehydrogenase",1628.33150401934,1.41488466802945,0.0746292114354964,2.85306519914874e-81,9.50157167837716e-79,TRUE,"up_in_control"
"FGSG_08695","FGSG_08695","uncharacterized protein",2189.1244452317,-2.01896085677993,0.107238661982266,3.05923249310171e-80,9.88851914681995e-78,TRUE,"up_in_black_light"
"FGSG_03700","FGSG_03700","uncharacterized protein",3708.64227852983,1.45776608012051,0.077492797398218,3.80273518893709e-80,1.19405884932625e-77,TRUE,"up_in_control"
"FGSG_03591","FGSG_03591","42 kDa endochitinase precursor",1413.49359902507,1.90417623486091,0.10295541839443,7.74942683764675e-78,2.36572780404827e-75,TRUE,"up_in_control"
"FGSG_04888","FGSG_04888","uncharacterized protein",345.414668481955,-2.01408528617845,0.109421990318386,1.10119611782492e-76,3.2708500905124e-74,TRUE,"up_in_black_light"
"FGSG_05294","FGSG_05294","uncharacterized protein",478.992675529847,-1.71172232556196,0.0932676595686409,2.92139244012186e-76,8.44897445182612e-74,TRUE,"up_in_black_light"
"FGSG_12666","FGSG_12666","uncharacterized protein",13116.601798509,1.52456055423478,0.0832563755461449,5.95028634128732e-76,1.67676017668584e-73,TRUE,"up_in_control"
"FGSG_06511","FGSG_06511","uncharacterized protein",1048.8604582755,1.68488802642985,0.0928188524457827,1.52005376891346e-74,4.17634773008974e-72,TRUE,"up_in_control"
"FGSG_01149","FGSG_01149","uncharacterized protein",791.980543670042,-1.83219569254581,0.101634854203923,6.94116748506026e-74,1.86057147953201e-71,TRUE,"up_in_black_light"
"FGSG_02063","FGSG_02063","uncharacterized protein",1249.46783591829,1.33547785145743,0.0743389632987992,3.28839196836745e-73,8.60462565056151e-71,TRUE,"up_in_control"
"FGSG_06001","FGSG_06001","4-hydroxyphenylpyruvate dioxygenase",4486.77788748685,1.82308095067107,0.101584064596894,7.05991939897505e-73,1.80438405104037e-70,TRUE,"up_in_control"
"FGSG_00007","FGSG_00007","uncharacterized protein",4403.13921287009,1.09655948653194,0.061091673336625,8.2895417944009e-73,2.07050146182877e-70,TRUE,"up_in_control"
"FGSG_09289","FGSG_09289","uncharacterized protein",404.914062920832,-1.87030027285983,0.104820841877957,2.90753402766906e-72,7.10084421424066e-70,TRUE,"up_in_black_light"
"FGSG_09522","FGSG_09522","uncharacterized protein",4017.93631808141,-1.52004378588176,0.0852977450776438,3.6085556822984e-72,8.62131020618683e-70,TRUE,"up_in_black_light"
"FGSG_06081","FGSG_06081","uncharacterized protein",1263.34152551783,1.50792496442649,0.084911096561205,9.82358841907481e-72,2.29704758990707e-69,TRUE,"up_in_control"
"FGSG_01965","FGSG_01965","uncharacterized protein",2131.78759586556,-1.21849586748165,0.0691438993049687,1.72504330694008e-70,3.94963040484821e-68,TRUE,"up_in_black_light"
"FGSG_08078","FGSG_08078","uncharacterized protein",8211.4887688261,1.13268861793216,0.0651586672238566,1.16861419978459e-68,2.60302782296592e-66,TRUE,"up_in_control"
"FGSG_04570","FGSG_04570","uncharacterized protein",1220.173705777,1.19258107263178,0.0685846733969194,1.18427107505274e-68,2.60302782296592e-66,TRUE,"up_in_control"
"FGSG_07208","FGSG_07208","uncharacterized protein",1287.51845305778,1.5608574001377,0.0913608157260105,2.40914447282714e-67,5.1914701483079e-65,TRUE,"up_in_control"
"FGSG_06557","FGSG_06557","uncharacterized protein",469.59895587732,2.18843901904266,0.12742188771478,2.58821204271406e-67,5.47008660565913e-65,TRUE,"up_in_control"
"FGSG_05738","FGSG_05738","uncharacterized protein",1053.26541367638,1.34604511783526,0.0808143513711168,1.36683400849228e-63,2.83424636855286e-61,TRUE,"up_in_control"
"FGSG_02221","FGSG_02221","uncharacterized protein",2496.7714680826,-2.13337021493881,0.128705629357376,6.5816090448237e-63,1.3394793222706e-60,TRUE,"up_in_black_light"
"FGSG_08579","FGSG_08579","uncharacterized protein",2387.86165121397,1.1524751344344,0.0694831565034437,1.14232138873945e-62,2.28256582949937e-60,TRUE,"up_in_control"
"FGSG_08077","FGSG_08077","uncharacterized protein",7805.64655690438,1.13101404667845,0.0682251535957491,1.22547604389417e-62,2.40499673614231e-60,TRUE,"up_in_control"
"FGSG_12206","FGSG_12206","uncharacterized protein",701.392299843354,2.11031973286308,0.127597066617604,1.37967754949433e-62,2.66011513490222e-60,TRUE,"up_in_control"
"FGSG_03064","FGSG_03064","uncharacterized protein",379.512166432506,-2.5843654060954,0.157073256404346,7.36910885903826e-62,1.39631907518673e-59,TRUE,"up_in_black_light"
"FGSG_02908","FGSG_02908","uncharacterized protein",2688.07684850973,1.362730142054,0.0829307398692479,8.77041503460839e-62,1.63367561407366e-59,TRUE,"up_in_control"
"FGSG_11939","FGSG_11939","uncharacterized protein",1972.45749462506,-1.52338441331336,0.0930720090277652,2.46998886535925e-61,4.52419627171635e-59,TRUE,"up_in_black_light"
"FGSG_01747","FGSG_01747","uncharacterized protein",489.108542650197,-1.76448195128003,0.108306113850679,8.4824976259778e-61,1.52824014605731e-58,TRUE,"up_in_black_light"
"FGSG_05908","FGSG_05908","uncharacterized protein",221.229738672698,2.95463717765507,0.181605324344424,1.21041885077834e-60,2.14556502742805e-58,TRUE,"up_in_control"
"FGSG_09366","FGSG_09366","uncharacterized protein",5530.69446038965,-1.50270768511411,0.092437343995284,2.0000527095118e-60,3.48898083770392e-58,TRUE,"up_in_black_light"
"FGSG_02315","FGSG_02315","uncharacterized protein",2521.87527622636,1.31444810744144,0.0810726613784768,3.76201679929046e-60,6.46008822253159e-58,TRUE,"up_in_control"
"FGSG_07152","FGSG_07152","uncharacterized protein",2660.38332875166,-2.39028654491159,0.148103852448741,7.79235061366357e-60,1.31750666529481e-57,TRUE,"up_in_black_light"
"FGSG_10443","FGSG_10443","uncharacterized protein",131.02206727975,-5.03485340318433,0.313193500309153,4.51463283438501e-59,7.51754770452898e-57,TRUE,"up_in_black_light"
"FGSG_03245","FGSG_03245","uncharacterized protein",1122.30959828541,1.36114421117216,0.085659417239795,9.23825688503567e-58,1.51534989800809e-55,TRUE,"up_in_control"
"FGSG_13350","FGSG_13350","uncharacterized protein",590.226033198397,-1.45844949526787,0.0928397849410242,8.31817540049922e-57,1.34436393605127e-54,TRUE,"up_in_black_light"
"FGSG_12519","FGSG_12519","uncharacterized protein",2215.93113361243,1.00575245664945,0.0639551684773713,1.04241707740586e-56,1.66031357691165e-54,TRUE,"up_in_control"
"FGSG_09045","FGSG_09045","uncharacterized protein",136.465512252416,3.2239690904948,0.207617916198972,1.38304617381613e-55,2.17138249289132e-53,TRUE,"up_in_control"
"FGSG_07582","FGSG_07582","uncharacterized protein",2289.27190229955,-1.09308401769416,0.0707593181545072,7.7936327864322e-55,1.20636653975901e-52,TRUE,"up_in_black_light"
"FGSG_01580","FGSG_01580","uncharacterized protein",763.316850073277,3.41279909029782,0.220643986893305,9.10771910772778e-55,1.39019212491567e-52,TRUE,"up_in_control"
"FGSG_03915","FGSG_03915","uncharacterized protein",1021.57264729731,1.25739605183671,0.0820118851680882,3.70839122846041e-54,5.58290679462739e-52,TRUE,"up_in_control"
"FGSG_04972","FGSG_04972","uncharacterized protein",714.550326464543,4.61847432705621,0.30147069522611,4.13742379702388e-53,6.14463344990438e-51,TRUE,"up_in_control"
"FGSG_03199","FGSG_03199","phenol 2-monooxygenase",793.765910596532,1.59902413861378,0.105649892157205,8.20135849767009e-53,1.20177239852526e-50,TRUE,"up_in_control"
"FGSG_06600","FGSG_06600","uncharacterized protein",4231.20982016249,-1.18706908169846,0.0787527868811367,2.53620664609944e-52,3.66748829482011e-50,TRUE,"up_in_black_light"
"FGSG_08404","FGSG_08404","uncharacterized protein",2667.10096595577,1.06532793246647,0.0708503255938521,5.59623442141994e-52,7.98735276511755e-50,TRUE,"up_in_control"
"FGSG_09552","FGSG_09552","uncharacterized protein",3001.7075884506,1.33379393484957,0.0896692838780592,5.37180667482963e-51,7.56873786620226e-49,TRUE,"up_in_control"
"FGSG_11888","FGSG_11888","uncharacterized protein",7300.22468827502,1.45641247036775,0.0980312639745586,7.91442446784548e-51,1.10100664432433e-48,TRUE,"up_in_control"
"FGSG_05546","FGSG_05546","ornithine aminotransferase",258.690364909013,1.7882117586811,0.121079927182062,1.85862634281179e-50,2.5532879384377e-48,TRUE,"up_in_control"
"FGSG_03072","FGSG_03072","uncharacterized protein",3171.22455786614,1.13569111495701,0.0768417203131294,3.21877400295291e-50,4.36720077684599e-48,TRUE,"up_in_control"
"FGSG_03369","FGSG_03369","uncharacterized protein",211.848901871946,2.14759978760643,0.147423981753342,3.92734976314358e-49,5.26360657279853e-47,TRUE,"up_in_control"
"FGSG_11232","FGSG_11232","uncharacterized protein",1375.16462443887,-1.8551554741131,0.12781290738436,5.85938940502359e-49,7.75839633267582e-47,TRUE,"up_in_black_light"
"FGSG_02267","FGSG_02267","uncharacterized protein",813.05727557561,1.80142474199778,0.124150231861966,6.16818386070072e-49,8.07004055108344e-47,TRUE,"up_in_control"
"FGSG_10135","FGSG_10135","uncharacterized protein",14721.095691075,-1.02583152190382,0.0704996241729594,8.91711331620638e-49,1.15293029817774e-46,TRUE,"up_in_black_light"
"FGSG_02852","FGSG_02852","uncharacterized protein",119.135843206152,5.30718242319756,0.363329696313458,9.9007905874819e-49,1.26522893670263e-46,TRUE,"up_in_control"
"FGSG_10051","FGSG_10051","uncharacterized protein",823.517280606418,-1.52674698967648,0.106166310467165,5.47937743763785e-48,6.92165034938391e-46,TRUE,"up_in_black_light"
"FGSG_09040","FGSG_09040","uncharacterized protein",1127.21378609548,1.40098607828713,0.0981558459792082,3.21257254847376e-47,4.01206503496894e-45,TRUE,"up_in_control"
"FGSG_09563","FGSG_09563","uncharacterized protein",497.518117535138,-1.27916922297677,0.0896039900579346,3.25668593065909e-47,4.02145824471274e-45,TRUE,"up_in_black_light"
"FGSG_09061","FGSG_09061","2,3-dihydroxybenzoic acid decarboxylase",269.359536707447,2.86818078771843,0.203012256279753,1.29049231970869e-46,1.57583451039983e-44,TRUE,"up_in_control"
"FGSG_01298","FGSG_01298","uncharacterized protein",445.399842366341,-1.87181618602157,0.132246130628916,1.51595304972338e-46,1.83080483697362e-44,TRUE,"up_in_black_light"
"FGSG_03026","FGSG_03026","uncharacterized protein",271.102921690952,-2.3075729027219,0.164853565931131,8.79907969455038e-46,1.0511074548164e-43,TRUE,"up_in_black_light"
"FGSG_07917","FGSG_07917","uncharacterized protein",875.128043997919,1.40090909194669,0.100850536569809,4.90438362329027e-45,5.79561032472689e-43,TRUE,"up_in_control"
"FGSG_03058","FGSG_03058","uncharacterized protein",341.237279337974,-1.81482238601482,0.131387735109804,1.48322449609155e-44,1.73411034170703e-42,TRUE,"up_in_black_light"
"FGSG_03518","FGSG_03518","uncharacterized protein",3524.89339757047,1.50592020343357,0.109258120378747,2.41218509554392e-44,2.79051728421344e-42,TRUE,"up_in_control"
"FGSG_11310","FGSG_11310","uncharacterized protein",34506.7274281642,-1.08928393180484,0.0790439472800113,4.99382941817651e-44,5.71689430268332e-42,TRUE,"up_in_black_light"
"FGSG_00406","FGSG_00406","uncharacterized protein",1420.01042635877,0.963079446085605,0.0700226739791664,6.27046963477459e-44,7.10437745218275e-42,FALSE,"ns"
"FGSG_02034","FGSG_02034","alcohol dehydrogenase 1",200.27426398876,-1.85989037465728,0.135958911145762,1.01864392458632e-43,1.14233640114323e-41,TRUE,"up_in_black_light"
"FGSG_03741","FGSG_03741","uncharacterized protein",480.702384856963,1.34959051495051,0.0987624796633343,2.01670555561893e-43,2.23874687436889e-41,TRUE,"up_in_control"
"FGSG_10132","FGSG_10132","uncharacterized protein",25587.1810310357,1.19092679301464,0.0874235577117781,3.34444359487721e-43,3.67554351077006e-41,TRUE,"up_in_control"
"FGSG_02001","FGSG_02001","uncharacterized protein",2718.5196666787,-1.10595301379658,0.0814457911935672,5.85204139057692e-43,6.3677163249941e-41,TRUE,"up_in_black_light"
"FGSG_07386","FGSG_07386","uncharacterized protein",1191.48788650444,-3.45141435239627,0.255416500088243,1.09550500918744e-42,1.18035294617352e-40,TRUE,"up_in_black_light"
"FGSG_10922","FGSG_10922","uncharacterized protein",2564.50479752275,-1.49680826681286,0.110934625012782,1.38993215705733e-42,1.48304411709321e-40,TRUE,"up_in_black_light"
"FGSG_03520","FGSG_03520","uncharacterized protein",1270.10611039512,0.926365442013061,0.0685114813791571,1.42189040014648e-42,1.50255533630864e-40,FALSE,"ns"
"FGSG_06124","FGSG_06124","uncharacterized protein",8248.80555965931,-0.74605512968683,0.0553859531471401,5.0591050650573e-42,5.29519663475997e-40,FALSE,"ns"
"FGSG_03189","FGSG_03189","uncharacterized protein",1270.43193044023,1.4903703127571,0.111602000215148,7.73451967941496e-42,8.019091629884e-40,TRUE,"up_in_control"
"FGSG_10050","FGSG_10050","uncharacterized protein",483.805882329635,-1.43851485150821,0.107869743167246,1.36268202374198e-41,1.3996145271892e-39,TRUE,"up_in_black_light"
"FGSG_06842","FGSG_06842","uncharacterized protein",18137.1409695383,-0.755502876524923,0.0567405414655075,7.65948738352946e-41,7.794237624536e-39,FALSE,"ns"
"FGSG_11270","FGSG_11270","uncharacterized protein",613.325436152446,1.96367835073115,0.148598224311369,7.75844303327885e-41,7.82250357208574e-39,TRUE,"up_in_control"
