"gene_id","FGSG_id","product","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"FGSG_00136","FGSG_00136","uncharacterized protein",5012.07320782046,-4.77977258205559,0.115107316795657,0,0,TRUE,"up_in_black_light"
"FGSG_00260","FGSG_00260","uncharacterized protein",57368.566165075,-5.94977098392982,0.129770783331424,0,0,TRUE,"up_in_black_light"
"FGSG_11757","FGSG_11757","uncharacterized protein",9621.70914292693,-5.18335477214988,0.124658167563939,0,0,TRUE,"up_in_black_light"
"FGSG_11888","FGSG_11888","uncharacterized protein",7300.22468827502,4.24950661172884,0.0964681586058443,0,0,TRUE,"up_in_low_light"
"FGSG_01158","FGSG_01158","30 kDa heat shock protein",5620.13408585763,-4.30442342629033,0.103265454658475,0,0,TRUE,"up_in_black_light"
"FGSG_01379","FGSG_01379","uncharacterized protein",6330.78897417138,8.61164145549229,0.169404968996962,0,0,TRUE,"up_in_low_light"
"FGSG_02221","FGSG_02221","uncharacterized protein",2496.7714680826,-5.88757792639065,0.144590759859947,0,0,TRUE,"up_in_black_light"
"FGSG_12110","FGSG_12110","uncharacterized protein",2831.29998476309,-5.49316090295711,0.132286570427514,0,0,TRUE,"up_in_black_light"
"FGSG_02271","FGSG_02271","uncharacterized protein",6171.79573460202,-4.07296379163282,0.0564121067272582,0,0,TRUE,"up_in_black_light"
"FGSG_09896","FGSG_09896","isocitrate lyase",1256.97241686273,-4.12731412901729,0.0933130845043911,0,0,TRUE,"up_in_black_light"
"FGSG_13708","FGSG_13708","uncharacterized protein",3620.21699758702,2.99923274038984,0.0739752070321399,0,0,TRUE,"up_in_low_light"
"FGSG_10677","FGSG_10677","uncharacterized protein",5820.98272820778,3.00667541286999,0.0743321028748198,0,0,TRUE,"up_in_low_light"
"FGSG_08695","FGSG_08695","uncharacterized protein",2189.1244452317,-5.7106329301752,0.125720067187972,0,0,TRUE,"up_in_black_light"
"FGSG_08601","FGSG_08601","phosphoenolpyruvate carboxykinase",4494.42035420111,-5.13877374424237,0.0779165567011456,0,0,TRUE,"up_in_black_light"
"FGSG_08456","FGSG_08456","uncharacterized protein",5728.42062277828,-4.16874572544189,0.0848054478400724,0,0,TRUE,"up_in_black_light"
"FGSG_02978","FGSG_02978","uncharacterized protein",5428.35500261462,-3.12478696673287,0.0666617368115239,0,0,TRUE,"up_in_black_light"
"FGSG_14015","FGSG_14015","uncharacterized protein",4441.39279384503,2.1856408558767,0.0546928922343537,0,0,TRUE,"up_in_low_light"
"FGSG_04735","FGSG_04735","uncharacterized protein",2913.07496582568,-4.33204814336991,0.103253564125508,0,0,TRUE,"up_in_black_light"
"FGSG_06048","FGSG_06048","uncharacterized protein",4177.50088625376,-5.74721006865062,0.11085026784431,0,0,TRUE,"up_in_black_light"
"FGSG_06124","FGSG_06124","uncharacterized protein",8248.80555965931,-2.80182424928949,0.056987538740057,0,0,TRUE,"up_in_black_light"
"FGSG_10855","FGSG_10855","alcohol dehydrogenase 1",10533.1531699528,-2.27043568009304,0.0585684452846453,0,0,TRUE,"up_in_black_light"
"FGSG_06480","FGSG_06480","uncharacterized protein",15377.2960579502,-6.38890308949157,0.12224162891959,0,0,TRUE,"up_in_black_light"
"FGSG_06751","FGSG_06751","4-aminobutyrate aminotransferase",2657.9563835888,-3.86583381879203,0.094234154883094,0,0,TRUE,"up_in_black_light"
"FGSG_06830","FGSG_06830","uncharacterized protein",2821.18010191301,-4.2855887922076,0.0849657730699138,0,0,TRUE,"up_in_black_light"
"FGSG_07130","FGSG_07130","uncharacterized protein",6430.63642683955,-3.41296453582245,0.0839392537075102,0,0,TRUE,"up_in_black_light"
"FGSG_07205","FGSG_07205","uncharacterized protein",5145.92781353937,2.29068098482216,0.0593339079398175,0,0,TRUE,"up_in_low_light"
"FGSG_07208","FGSG_07208","uncharacterized protein",1287.51845305778,3.57705492600113,0.0871647446467665,0,0,TRUE,"up_in_low_light"
"FGSG_09697","FGSG_09697","uncharacterized protein",2109.54850297863,-7.15956498501213,0.143069027981095,0,0,TRUE,"up_in_black_light"
"FGSG_02966","FGSG_02966","uncharacterized protein",2324.53040857929,-5.16846225567862,0.134873281803775,4.94065645841247e-323,1.95649995753134e-320,TRUE,"up_in_black_light"
"FGSG_10608","FGSG_10608","uncharacterized protein",699.922834082222,4.762689175493,0.124682659649028,1.78456511277858e-320,6.83071940854753e-318,TRUE,"up_in_low_light"
"FGSG_01149","FGSG_01149","uncharacterized protein",791.980543670042,-4.8509078413199,0.129777249339284,1.87088844134225e-306,6.93013289417195e-304,TRUE,"up_in_black_light"
"FGSG_10224","FGSG_10224","uncharacterized protein",9149.99343667342,-4.04188209562497,0.108692741313946,7.04906138084245e-304,2.52951161988168e-301,TRUE,"up_in_black_light"
"FGSG_11900","FGSG_11900","uncharacterized protein",1079.57560768587,4.33050630831013,0.116443200442838,1.22235715441453e-303,4.25343248610365e-301,TRUE,"up_in_low_light"
"FGSG_03984","FGSG_03984","uncharacterized protein",935.525153272526,-4.4724827611056,0.12206890168482,1.56592481648704e-295,5.28868078462374e-293,TRUE,"up_in_black_light"
"FGSG_00483","FGSG_00483","uncharacterized protein",743.142282340768,-5.08000216028098,0.138666644094375,6.55115666243011e-295,2.149340912991e-292,TRUE,"up_in_black_light"
"FGSG_02272","FGSG_02272","uncharacterized protein",2572.93517342164,-2.88282610553105,0.0797361670889068,2.65955999922307e-287,8.48325763085515e-285,TRUE,"up_in_black_light"
"FGSG_02502","FGSG_02502","C-5 sterol desaturase",1024.28371323115,-3.0435387201279,0.0844902243757006,1.03532065707463e-284,3.21313165005081e-282,TRUE,"up_in_black_light"
"FGSG_12206","FGSG_12206","uncharacterized protein",701.392299843354,4.33019347872622,0.121161658345569,3.24897752838934e-281,9.81789709434073e-279,TRUE,"up_in_low_light"
"FGSG_09373","FGSG_09373","uncharacterized protein",1832.10444573162,-3.87468077327415,0.108954924164638,8.23179650722572e-278,2.42373639211469e-275,TRUE,"up_in_black_light"
"FGSG_03061","FGSG_03061","uncharacterized protein",1021.73471660649,-3.08456482749441,0.0875336575495198,1.57629125449276e-272,4.5251381188351e-270,TRUE,"up_in_black_light"
"FGSG_04117","FGSG_04117","NAD-specific glutamate dehydrogenase",2055.09692866881,-3.04954503776538,0.0867523606470672,5.11404753657457e-272,1.43230750884112e-269,TRUE,"up_in_black_light"
"FGSG_10206","FGSG_10206","uncharacterized protein",1374.52640659275,2.94822643191393,0.0839401468508281,6.46128972998759e-272,1.76654738022494e-269,TRUE,"up_in_low_light"
"FGSG_04196","FGSG_04196","succinate-semialdehyde dehydrogenase",1236.46710623512,-3.2082809299224,0.0913101313860013,1.93643134021974e-271,5.17117234412633e-269,TRUE,"up_in_black_light"
"FGSG_02469","FGSG_02469","uncharacterized protein",13820.9845859404,-2.4957564232629,0.0714628717548152,1.71149688562467e-265,4.46661789491547e-263,TRUE,"up_in_black_light"
"FGSG_05294","FGSG_05294","uncharacterized protein",478.992675529847,-4.6540256615086,0.135458380308847,1.81270397339752e-258,4.62561771700527e-256,TRUE,"up_in_black_light"
"FGSG_09834","FGSG_09834","pyruvate decarboxylase",18671.0930728373,-2.09431120587939,0.0612921184327897,9.04720990870393e-257,2.25845894307929e-254,TRUE,"up_in_black_light"
"FGSG_09351","FGSG_09351","uncharacterized protein",1521.92759471281,2.36969684372491,0.0702959549008668,2.51396916566711e-250,6.14210807007562e-248,TRUE,"up_in_low_light"
"FGSG_03818","FGSG_03818","uncharacterized protein",1697.03289640548,2.76346709589193,0.0824217072232797,5.26672070262627e-247,1.25995320475536e-244,TRUE,"up_in_low_light"
"FGSG_11112","FGSG_11112","uncharacterized protein",670.176499493869,-5.81265569489818,0.173202189011276,7.84094363757664e-247,1.8375011385774e-244,TRUE,"up_in_black_light"
"FGSG_08579","FGSG_08579","uncharacterized protein",2387.86165121397,2.26865028887865,0.0678831612927183,9.13749339263075e-246,2.09851673255158e-243,TRUE,"up_in_low_light"
"FGSG_00663","FGSG_00663","uncharacterized protein",1903.5523321566,-2.90818745660593,0.087460716532359,2.4948253390096e-243,5.61727046428378e-241,TRUE,"up_in_black_light"
"FGSG_04456","FGSG_04456","uncharacterized protein",2929.61169179871,-2.20143962043637,0.0663336525564577,2.52725982039414e-242,5.58087009953574e-240,TRUE,"up_in_black_light"
"FGSG_08403","FGSG_08403","uncharacterized protein",2651.35199627184,-2.18739212104086,0.0659549491445654,7.74814193624655e-242,1.67871535573432e-239,TRUE,"up_in_black_light"
"FGSG_05292","FGSG_05292","uncharacterized protein",1242.03476102908,-2.48331962067313,0.0752935405909951,1.80766089340709e-239,3.84395741462846e-237,TRUE,"up_in_black_light"
"FGSG_12009","FGSG_12009","uncharacterized protein",40126.2440823376,-3.21071503771995,0.0974544422543934,4.30394936539601e-239,8.98586373869862e-237,TRUE,"up_in_black_light"
"FGSG_02281","FGSG_02281","uncharacterized protein",730.16662108504,-6.62723333814928,0.20156582453732,2.22059921311948e-237,4.55341799361625e-235,TRUE,"up_in_black_light"
"FGSG_04288","FGSG_04288","uncharacterized protein",852.894109879289,-3.43231112861587,0.105227251529832,5.17200991243871e-234,1.04193315481638e-231,TRUE,"up_in_black_light"
"FGSG_10008","FGSG_10008","uncharacterized protein",1654.22276819215,-2.06900919749426,0.0635081765220951,1.41723189153767e-233,2.80587479491845e-231,TRUE,"up_in_black_light"
"FGSG_00321","FGSG_00321","uncharacterized protein",776.355303739629,-3.20549173696189,0.0995403512227872,1.61572956381359e-228,3.14464789513076e-226,TRUE,"up_in_black_light"
"FGSG_08078","FGSG_08078","uncharacterized protein",8211.4887688261,2.08134977236915,0.0646507624080643,2.64510489714444e-228,5.06228992231827e-226,TRUE,"up_in_low_light"
"FGSG_03518","FGSG_03518","uncharacterized protein",3524.89339757047,3.45724945859952,0.10765449399616,6.07632943960548e-228,1.14384411401623e-225,TRUE,"up_in_low_light"
"FGSG_02379","FGSG_02379","uncharacterized protein",894.620767876161,-4.47023481289824,0.139559213331777,6.958945868447e-227,1.28886411947382e-224,TRUE,"up_in_black_light"
"FGSG_09366","FGSG_09366","uncharacterized protein",5530.69446038965,-2.98781683565949,0.093425117781335,1.66728622990954e-225,3.03895996477004e-223,TRUE,"up_in_black_light"
"FGSG_01965","FGSG_01965","uncharacterized protein",2131.78759586556,-2.26911862231284,0.0712801564171768,3.857667762584e-223,6.92149983089877e-221,TRUE,"up_in_black_light"
"FGSG_02578","FGSG_02578","uncharacterized protein",4117.86147555223,-3.87910465922993,0.12223845056798,5.27681383494049e-222,9.32210050255718e-220,TRUE,"up_in_black_light"
"FGSG_11270","FGSG_11270","uncharacterized protein",613.325436152446,4.3670135343912,0.139028049700823,3.52789022634207e-217,6.13799446501303e-215,TRUE,"up_in_low_light"
"FGSG_02908","FGSG_02908","uncharacterized protein",2688.07684850973,2.5364845175676,0.0814265146247912,2.59866907087597e-214,4.45380849863713e-212,TRUE,"up_in_low_light"
"FGSG_00578","FGSG_00578","general stress protein 39",733.749422580234,-4.39877348847887,0.141228888854431,4.4614220119609e-214,7.5338983769628e-212,TRUE,"up_in_black_light"
"FGSG_12607","FGSG_12607","uncharacterized protein",4253.929248294,-4.45261506021214,0.143586643922958,7.60576209521999e-213,1.26575313245523e-210,TRUE,"up_in_black_light"
