"gene_id","FGSG_id","product","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant","direction"
"FGSG_01379","FGSG_01379","uncharacterized protein",6330.78897417138,3.91408478299052,0.0862250641719266,0,0,TRUE,"up_in_low_light"
"FGSG_12110","FGSG_12110","uncharacterized protein",2831.29998476309,-5.13795755219034,0.132372216255418,0,0,TRUE,"up_in_control"
"FGSG_02271","FGSG_02271","uncharacterized protein",6171.79573460202,-3.76961888879586,0.056482384579833,0,0,TRUE,"up_in_control"
"FGSG_02469","FGSG_02469","uncharacterized protein",13820.9845859404,-2.85160040526452,0.0714185674962224,0,0,TRUE,"up_in_control"
"FGSG_13708","FGSG_13708","uncharacterized protein",3620.21699758702,2.9664220226679,0.0732542507417846,0,0,TRUE,"up_in_low_light"
"FGSG_08601","FGSG_08601","phosphoenolpyruvate carboxykinase",4494.42035420111,-4.86883078813333,0.07798548247432,0,0,TRUE,"up_in_control"
"FGSG_08456","FGSG_08456","uncharacterized protein",5728.42062277828,-3.52298499205612,0.0850174006768221,0,0,TRUE,"up_in_control"
"FGSG_02978","FGSG_02978","uncharacterized protein",5428.35500261462,-3.03486947279415,0.0666500640436692,0,0,TRUE,"up_in_control"
"FGSG_06048","FGSG_06048","uncharacterized protein",4177.50088625376,-5.20719851626053,0.110968136995476,0,0,TRUE,"up_in_control"
"FGSG_10855","FGSG_10855","alcohol dehydrogenase 1",10533.1531699528,-2.45023668620974,0.0584483217912289,0,0,TRUE,"up_in_control"
"FGSG_06480","FGSG_06480","uncharacterized protein",15377.2960579502,-7.09888689154907,0.122168985696442,0,0,TRUE,"up_in_control"
"FGSG_06830","FGSG_06830","uncharacterized protein",2821.18010191301,-3.91984460728947,0.0851064948368187,0,0,TRUE,"up_in_control"
"FGSG_07530","FGSG_07530","alcohol oxidase",1933.62449691999,6.76763101088669,0.146027123872169,0,0,TRUE,"up_in_low_light"
"FGSG_09697","FGSG_09697","uncharacterized protein",2109.54850297863,-6.25762971307426,0.143356323562177,0,0,TRUE,"up_in_control"
"FGSG_02502","FGSG_02502","C-5 sterol desaturase",1024.28371323115,-3.12430374831569,0.0841120221665066,6.16699116921531e-303,4.61989865123149e-300,TRUE,"up_in_control"
"FGSG_10608","FGSG_10608","uncharacterized protein",699.922834082222,3.84899167977585,0.104701005737673,4.34327799532867e-297,3.05033842709427e-294,TRUE,"up_in_low_light"
"FGSG_03520","FGSG_03520","uncharacterized protein",1270.10611039512,-2.70254061636958,0.0747159869900611,9.0378889827134e-288,5.97404461757355e-285,TRUE,"up_in_control"
"FGSG_06124","FGSG_06124","uncharacterized protein",8248.80555965931,-2.04571990498276,0.0571997257284747,4.83873783444988e-282,3.02071650253963e-279,TRUE,"up_in_control"
"FGSG_09896","FGSG_09896","isocitrate lyase",1256.97241686273,-3.32768431415286,0.0941282809000902,1.71178285882865e-274,1.01238442024514e-271,TRUE,"up_in_control"
"FGSG_09834","FGSG_09834","pyruvate decarboxylase",18671.0930728373,-2.13817068288595,0.0612730348531555,9.48873396464175e-268,5.33124517803397e-265,TRUE,"up_in_control"
"FGSG_10224","FGSG_10224","uncharacterized protein",9149.99343667342,-3.77766387500693,0.10872703606384,1.6777725789647e-265,8.97768117610778e-263,TRUE,"up_in_control"
"FGSG_02379","FGSG_02379","uncharacterized protein",894.620767876161,-4.78676912128611,0.139025386080026,1.47792617651459e-261,7.54884383886112e-259,TRUE,"up_in_control"
"FGSG_07130","FGSG_07130","uncharacterized protein",6430.63642683955,-2.86589052915663,0.0840152131852908,4.44304632033214e-256,2.17071789137271e-253,TRUE,"up_in_control"
"FGSG_03984","FGSG_03984","uncharacterized protein",935.525153272526,-4.10779441493921,0.122371207209968,3.40777113026225e-248,1.59554684128154e-245,TRUE,"up_in_control"
"FGSG_02966","FGSG_02966","uncharacterized protein",2324.53040857929,-4.48934047600804,0.135148124072377,2.55272697462016e-243,1.14739972055227e-240,TRUE,"up_in_control"
"FGSG_03818","FGSG_03818","uncharacterized protein",1697.03289640548,2.69081942846213,0.0810330367074492,7.52732298584006e-243,3.25325109199557e-240,TRUE,"up_in_low_light"
"FGSG_07039","FGSG_07039","uncharacterized protein",2740.12280325491,2.35973984929924,0.0714953499385732,4.97469816040745e-240,2.07039567512957e-237,TRUE,"up_in_low_light"
"FGSG_11757","FGSG_11757","uncharacterized protein",9621.70914292693,-4.11975468375023,0.124752528759872,5.83907359071517e-240,2.34334535495951e-237,TRUE,"up_in_control"
"FGSG_06751","FGSG_06751","4-aminobutyrate aminotransferase",2657.9563835888,-3.09313182319922,0.0946542821384231,4.87335401675263e-235,1.88834065814653e-232,TRUE,"up_in_control"
"FGSG_01672","FGSG_01672","pyrimidine precursor biosynthesis enzyme THI12",12260.4094334433,-2.10991289036192,0.0647643696164116,8.5392992008325e-234,3.19853683732516e-231,TRUE,"up_in_control"
"FGSG_01872","FGSG_01872","uncharacterized protein",2826.1938885869,2.12757720087914,0.0655894410193591,7.49778827071934e-232,2.71782731606688e-229,TRUE,"up_in_low_light"
"FGSG_03335","FGSG_03335","uncharacterized protein",1116.88525125266,-3.18777628160191,0.0987887565147156,1.65975473411683e-229,5.82833248352213e-227,TRUE,"up_in_control"
"FGSG_08196","FGSG_08196","aspergillopepsin-2 precursor",5135.59473558631,-2.11788433924622,0.0656374948612326,2.02084408880663e-229,6.88128031088487e-227,TRUE,"up_in_control"
"FGSG_09373","FGSG_09373","uncharacterized protein",1832.10444573162,-3.49099985523799,0.109117263205326,2.55703489285121e-225,8.45100032087325e-223,TRUE,"up_in_control"
"FGSG_08049","FGSG_08049","uncharacterized protein",718.798693878843,3.37349067818281,0.109879021728798,2.53282821129613e-208,8.13182588866703e-206,TRUE,"up_in_low_light"
"FGSG_12607","FGSG_12607","uncharacterized protein",4253.929248294,-4.37915158725562,0.143550543700338,1.33294432788376e-205,4.16063761456383e-203,TRUE,"up_in_control"
"FGSG_04126","FGSG_04126","uricase",4325.13416794777,-2.90192798463628,0.0965893368745687,1.84811745149933e-199,5.61278264932379e-197,TRUE,"up_in_control"
"FGSG_11888","FGSG_11888","uncharacterized protein",7300.22468827502,2.77579027647374,0.0927638455572625,1.13602835634477e-197,3.35935543164373e-195,TRUE,"up_in_low_light"
