"gene_id","FGSG_id","product","AveExpr","log2FoldChange","t","pvalue","padj","significant","direction"
"FGSG_01379","FGSG_01379","uncharacterized protein",8.01944143492018,4.6993988911962,30.9828187205976,8.91624822763388e-20,8.73079026449909e-16,TRUE,"up_in_control"
"FGSG_02852","FGSG_02852","uncharacterized protein",3.60930204313652,4.59511052458917,25.2499475442691,7.4416440904074e-18,3.64342894666346e-14,TRUE,"up_in_control"
"FGSG_04972","FGSG_04972","uncharacterized protein",5.12948592472273,3.83668376646344,23.5171659420304,3.41861911254804e-17,1.11583727833568e-13,TRUE,"up_in_control"
"FGSG_02851","FGSG_02851","fumarylacetoacetase",4.97109037053204,3.89285135922994,21.229002770125,3.02725419587752e-16,7.41071827150816e-13,TRUE,"up_in_control"
"FGSG_11900","FGSG_11900","uncharacterized protein",7.04546429918589,3.12347025763526,20.0814338689136,9.81168916881476e-16,1.61222322707199e-12,TRUE,"up_in_control"
"FGSG_03988","FGSG_03988","uncharacterized protein",8.22259786374074,2.7942775954692,20.0749464915572,9.87881879333326e-16,1.61222322707199e-12,TRUE,"up_in_control"
"FGSG_11115","FGSG_11115","uncharacterized protein",3.23065991052606,3.31656965181584,19.3204839187703,2.21355052675039e-15,3.09644096541998e-12,TRUE,"up_in_control"
"FGSG_07386","FGSG_07386","uncharacterized protein",7.13759585546884,-3.15865064088255,-18.8090780851127,3.88698226297676e-15,4.75766628988356e-12,TRUE,"up_in_black_light"
"FGSG_07775","FGSG_07775","endothiapepsin precursor",9.65121474186898,2.68429143572846,18.2631695157011,7.19823956572588e-15,7.59195109342781e-12,TRUE,"up_in_control"
"FGSG_01158","FGSG_01158","30 kDa heat shock protein",8.11276340795471,-2.6472270215756,-18.1983243945525,7.75321802841892e-15,7.59195109342781e-12,TRUE,"up_in_black_light"
"FGSG_03385","FGSG_03385","uncharacterized protein",5.93457997982105,-2.99112165697656,-17.5527076041905,1.64531850804353e-14,1.46463262097838e-11,TRUE,"up_in_black_light"
"FGSG_01580","FGSG_01580","uncharacterized protein",5.05829007650516,3.22582228529592,17.4705294040396,1.81381783386664e-14,1.48007535243518e-11,TRUE,"up_in_control"
"FGSG_00260","FGSG_00260","uncharacterized protein",11.7035181788867,-2.37864668314966,-16.8983078666069,3.6168348899232e-14,2.72431132631753e-11,TRUE,"up_in_black_light"
"FGSG_05839","FGSG_05839","uncharacterized protein",4.16549226559268,2.83262525390586,16.5999818561407,5.22499294623961e-14,3.65450935211273e-11,TRUE,"up_in_control"
"FGSG_12142","FGSG_12142","uncharacterized protein",3.14879284174067,-3.45812681370739,-16.4401203516115,6.37837087281964e-14,4.16380050577666e-11,TRUE,"up_in_black_light"
"FGSG_03211","FGSG_03211","uncharacterized protein",9.18664456106794,-2.46690321452686,-16.2764228541137,7.83721504080064e-14,4.79637560496999e-11,TRUE,"up_in_black_light"
"FGSG_02064","FGSG_02064","uncharacterized protein",4.66275117622533,2.84422930780216,15.7803576400566,1.47906179318023e-13,8.5107691656358e-11,TRUE,"up_in_control"
"FGSG_09061","FGSG_09061","2,3-dihydroxybenzoic acid decarboxylase",4.43628585858228,2.72861727884194,15.7371265625569,1.56447962603599e-13,8.5107691656358e-11,TRUE,"up_in_control"
"FGSG_10443","FGSG_10443","uncharacterized protein",2.698414541065,-4.44518574870555,-17.1756071933692,1.79169219030635e-13,9.23381575130515e-11,TRUE,"up_in_black_light"
"FGSG_07608","FGSG_07608","uncharacterized protein",5.30611073142155,2.4428559817736,15.2562726339056,2.94746901884623e-13,1.40816853129707e-10,TRUE,"up_in_control"
"FGSG_08196","FGSG_08196","aspergillopepsin-2 precursor",8.75668326390243,2.41224539591402,15.2380725976241,3.01996927667876e-13,1.40816853129707e-10,TRUE,"up_in_control"
"FGSG_09595","FGSG_09595","uncharacterized protein",4.66329342737448,2.38876118738218,15.0111769119726,4.0969031522005e-13,1.74741996166551e-10,TRUE,"up_in_control"
"FGSG_00347","FGSG_00347","uncharacterized protein",1.89783998207148,-2.93322380106227,-15.0098184211809,4.10443822695125e-13,1.74741996166551e-10,TRUE,"up_in_black_light"
"FGSG_12207","FGSG_12207","uncharacterized protein",9.63686149206607,2.01985660836042,14.8751077900543,4.9281739913102e-13,2.01069498845456e-10,TRUE,"up_in_control"
"FGSG_03591","FGSG_03591","42 kDa endochitinase precursor",6.48018976856846,2.1042954763114,14.836754339576,5.19289912858518e-13,2.03395473068424e-10,TRUE,"up_in_control"
"FGSG_04971","FGSG_04971","uncharacterized protein",4.48161657432569,2.67911427825587,14.6022919518171,7.16781403686909e-13,2.699509040347e-10,TRUE,"up_in_control"
"FGSG_03372","FGSG_03372","uncharacterized protein",2.6879389340755,2.60206338222186,14.5636649538752,7.56178476011805e-13,2.74240727300281e-10,TRUE,"up_in_control"
"FGSG_05238","FGSG_05238","uncharacterized protein",2.67542708676594,2.6601008918643,14.498657145354,8.27649516475215e-13,2.80359178589649e-10,TRUE,"up_in_control"
"FGSG_07152","FGSG_07152","uncharacterized protein",9.0666087321487,-2.15568837126008,-14.4963495694899,8.3031210979369e-13,2.80359178589649e-10,TRUE,"up_in_black_light"
"FGSG_12647","FGSG_12647","monoamine oxidase N",2.76453937119047,2.81581569284141,14.4549838365258,8.79584095716646e-13,2.87096248841913e-10,TRUE,"up_in_control"
"FGSG_08049","FGSG_08049","uncharacterized protein",5.56137058788308,2.7109628051716,14.239146669212,1.19087167522264e-12,3.76161788509036e-10,TRUE,"up_in_control"
"FGSG_05908","FGSG_05908","uncharacterized protein",3.10347917115336,2.58015881432613,14.1670701891372,1.31876737455561e-12,4.03542816614018e-10,TRUE,"up_in_control"
"FGSG_09066","FGSG_09066","uncharacterized protein",11.2860832759411,1.97451133396366,14.0712337673542,1.51133029388027e-12,4.48452916293201e-10,TRUE,"up_in_control"
"FGSG_13952","FGSG_13952","uncharacterized protein",5.41730897964791,2.27612447580014,14.0433595702598,1.57266558192587e-12,4.52873421194376e-10,TRUE,"up_in_control"
"FGSG_09045","FGSG_09045","uncharacterized protein",2.24822450329025,2.42134685400668,14.0231604987382,1.61872648506977e-12,4.52873421194376e-10,TRUE,"up_in_control"
"FGSG_00136","FGSG_00136","uncharacterized protein",7.17394007967616,-2.25592989869134,-13.9212526455845,1.8734754544465e-12,5.09585323609447e-10,TRUE,"up_in_black_light"
"FGSG_02267","FGSG_02267","uncharacterized protein",5.95341697640778,1.97437613234739,13.5029465818261,3.44476448439746e-12,9.11652265708646e-10,TRUE,"up_in_control"
"FGSG_12206","FGSG_12206","uncharacterized protein",5.18609012304203,2.18260323890052,13.4816583414915,3.55463062635859e-12,9.15972186665877e-10,TRUE,"up_in_control"
"FGSG_05348","FGSG_05348","uncharacterized protein",5.86503672712547,2.00582114551591,13.3354629008921,4.41463006847755e-12,1.10841173411621e-09,TRUE,"up_in_control"
"FGSG_00602","FGSG_00602","uncharacterized protein",3.7801028449424,2.32105863635916,13.2437581112549,5.06217031014598e-12,1.23921929192373e-09,TRUE,"up_in_control"
"FGSG_06557","FGSG_06557","uncharacterized protein",4.5598419513913,2.20744690169204,13.040614754047,6.8733978845747e-12,1.64156858745745e-09,TRUE,"up_in_control"
"FGSG_10206","FGSG_10206","uncharacterized protein",6.56046746703419,1.91292462239105,12.9914850184262,7.40524957651943e-12,1.70877578315756e-09,TRUE,"up_in_control"
"FGSG_02019","FGSG_02019","uncharacterized protein",4.99309566828976,-2.22423515775004,-12.9827840013858,7.50381522424175e-12,1.70877578315756e-09,TRUE,"up_in_black_light"
"FGSG_04035","FGSG_04035","uncharacterized protein",3.14758355851118,2.430174545733,12.9246835248798,8.19792063640404e-12,1.8244099743561e-09,TRUE,"up_in_control"
"FGSG_01981","FGSG_01981","uncharacterized protein",1.55599168452184,-3.14575924665862,-12.4716357895374,1.94768422328777e-11,4.23816086987419e-09,TRUE,"up_in_black_light"
"FGSG_12666","FGSG_12666","uncharacterized protein",11.2856512859013,1.79522525937368,12.2656260159204,2.28624035976433e-11,4.79644879012934e-09,TRUE,"up_in_control"
"FGSG_12451","FGSG_12451","uncharacterized protein",2.6750667989767,2.66748781330752,12.2612404275321,2.30221704591584e-11,4.79644879012934e-09,TRUE,"up_in_control"
"FGSG_02221","FGSG_02221","uncharacterized protein",7.660009826194,-1.87229389173652,-12.1906267944195,2.5760557767205e-11,5.25515378450982e-09,TRUE,"up_in_black_light"
"FGSG_04825","FGSG_04825","uncharacterized protein",1.31494112445448,2.34474056975919,11.867903771078,4.33270749972731e-11,8.65834119129179e-09,TRUE,"up_in_control"
"FGSG_03987","FGSG_03987","uncharacterized protein",2.55285817433917,2.50861967413846,11.805832410015,4.79415117388887e-11,9.38886565894397e-09,TRUE,"up_in_control"
"FGSG_03369","FGSG_03369","uncharacterized protein",3.71835992214009,2.21906116761818,11.739407799026,5.34485392358597e-11,1.02621195332851e-08,TRUE,"up_in_control"
"FGSG_03189","FGSG_03189","uncharacterized protein",6.92712244330182,1.72447510434042,11.6537171004753,6.15386613286358e-11,1.14264706163422e-08,TRUE,"up_in_control"
"FGSG_03700","FGSG_03700","uncharacterized protein",7.87598420928379,1.70522363516224,11.6506898234236,6.18467057461331e-11,1.14264706163422e-08,TRUE,"up_in_control"
"FGSG_04662","FGSG_04662","uncharacterized protein",6.18801262560908,1.97351877875832,11.6035007944786,6.68609970357915e-11,1.1987681715961e-08,TRUE,"up_in_control"
"FGSG_06000","FGSG_06000","uncharacterized protein",8.00885686684697,1.90427196286984,11.5992514940164,6.73327710761696e-11,1.1987681715961e-08,TRUE,"up_in_control"
"FGSG_01015","FGSG_01015","heat shock protein 78",4.01755035449177,-2.24629627701892,-11.5379637462008,7.45349861014844e-11,1.30329747126024e-08,TRUE,"up_in_black_light"
"FGSG_11190","FGSG_11190","guanyl-specific ribonuclease F1 precursor",6.2674814192722,1.8686819322733,11.4198217095697,9.07648983025534e-11,1.55924541083966e-08,TRUE,"up_in_control"
"FGSG_12232","FGSG_12232","uncharacterized protein",1.44612624001285,2.99982850545398,11.6055801665769,9.84443480664962e-11,1.66201216597781e-08,TRUE,"up_in_control"
"FGSG_02036","FGSG_02036","uncharacterized protein",3.44946523176489,2.34192830853535,11.1809442521157,1.35793850353657e-10,2.25371759773391e-08,TRUE,"up_in_control"
"FGSG_05357","FGSG_05357","uncharacterized protein",4.96386612821739,2.22657649832425,11.1697231313025,1.38409011092996e-10,2.2588350610377e-08,TRUE,"up_in_control"
"FGSG_07683","FGSG_07683","uncharacterized protein",4.88543996706423,1.83198965069477,11.0636388494981,1.65873647475265e-10,2.66267992799639e-08,TRUE,"up_in_control"
"FGSG_04768","FGSG_04768","uncharacterized protein",5.63921911028855,1.92025558119092,11.0378310466594,1.73373529703214e-10,2.73818323040948e-08,TRUE,"up_in_control"
"FGSG_09063","FGSG_09063","uncharacterized protein",3.67141700636416,1.99112085329719,11.0197446483518,1.78838515865632e-10,2.75232924074579e-08,TRUE,"up_in_control"
"FGSG_11888","FGSG_11888","uncharacterized protein",8.48852635127886,1.71017700608577,11.0129095048234,1.80950078580345e-10,2.75232924074579e-08,TRUE,"up_in_control"
"FGSG_12376","FGSG_12376","uncharacterized protein",4.3886618025511,2.02335784327225,11.0073023211,1.82701593799506e-10,2.75232924074579e-08,TRUE,"up_in_control"
"FGSG_04661","FGSG_04661","uncharacterized protein",7.07174163567001,1.56154747103877,10.9472396870382,2.02604869801659e-10,3.00591952287552e-08,TRUE,"up_in_control"
"FGSG_11270","FGSG_11270","uncharacterized protein",4.54896228059479,1.9027980772653,10.9281434900055,2.09393869035716e-10,3.06027576954886e-08,TRUE,"up_in_control"
"FGSG_08440","FGSG_08440","uncharacterized protein",6.23261166471068,1.7530763696558,10.9149594552668,2.14218343756695e-10,3.07728783240927e-08,TRUE,"up_in_control"
"FGSG_02672","FGSG_02672","uncharacterized protein",6.68991132719662,1.55661093609186,10.9079151602096,2.16843198974918e-10,3.07728783240927e-08,TRUE,"up_in_control"
"FGSG_03828","FGSG_03828","uncharacterized protein",2.0650894742262,2.4720230199086,10.8927408960794,2.22611399776348e-10,3.11401546658571e-08,TRUE,"up_in_control"
"FGSG_03518","FGSG_03518","uncharacterized protein",7.08531021043418,1.75384404115767,10.8724359775822,2.30579898597996e-10,3.18005403812898e-08,TRUE,"up_in_control"
"FGSG_12461","FGSG_12461","uncharacterized protein",2.49563771976511,2.05283566115861,10.7528432264731,2.83915391236123e-10,3.83351253625468e-08,TRUE,"up_in_control"
