"gene_id","FGSG_id","product","AveExpr","log2FoldChange","t","pvalue","padj","significant","direction"
"FGSG_03065","FGSG_03065","phytoene dehydrogenase",5.22763974761081,-7.48111985239795,-36.5445975429097,2.6235334384951e-21,2.56896394297441e-17,TRUE,"up_in_dark_light"
"FGSG_02955","FGSG_02955","uncharacterized protein",3.63501571456271,-5.43272096965469,-27.691806557915,1.01708761381384e-18,4.97966095723257e-15,TRUE,"up_in_dark_light"
"FGSG_00578","FGSG_00578","general stress protein 39",5.8734351952042,-4.01222565583918,-24.8383145546445,1.05937505825668e-17,2.84812268265785e-14,TRUE,"up_in_dark_light"
"FGSG_03066","FGSG_03066","uncharacterized protein",4.07941416429934,-4.82847088586941,-24.7301502176238,1.16344880827527e-17,2.84812268265785e-14,TRUE,"up_in_dark_light"
"FGSG_02432","FGSG_02432","uncharacterized protein",2.05346253987866,-4.34501119783444,-23.6248045409429,3.10038848618904e-17,6.07180081135261e-14,TRUE,"up_in_dark_light"
"FGSG_11296","FGSG_11296","uncharacterized protein",2.16822672539259,4.36014524113073,22.4180442369816,9.50040164917425e-17,1.55046554914524e-13,TRUE,"up_in_low_light"
"FGSG_11232","FGSG_11232","uncharacterized protein",6.19222509732073,-3.29208626537207,-20.5806559148,5.84003129264029e-16,8.16936948821911e-13,TRUE,"up_in_dark_light"
"FGSG_08456","FGSG_08456","uncharacterized protein",8.26788495683562,-3.1770154767412,-19.2949661417295,2.27589937995045e-15,2.78570084105935e-12,TRUE,"up_in_dark_light"
"FGSG_03064","FGSG_03064","uncharacterized protein",3.79166835487867,-6.27773300848627,-23.6313255756811,2.97600211371099e-15,3.23789029971756e-12,TRUE,"up_in_dark_light"
"FGSG_08562","FGSG_08562","uncharacterized protein",4.19464009952205,-3.38113775772693,-18.8399993826116,3.75544162025949e-15,3.35090992434898e-12,TRUE,"up_in_dark_light"
"FGSG_10608","FGSG_10608","uncharacterized protein",4.83940332367758,3.2331329708227,18.8378822399626,3.76429832187897e-15,3.35090992434898e-12,TRUE,"up_in_low_light"
"FGSG_02125","FGSG_02125","uncharacterized protein",5.85450508190318,-2.9814907204017,-18.2206829078223,7.55699028210962e-15,6.16650407020145e-12,TRUE,"up_in_dark_light"
"FGSG_12451","FGSG_12451","uncharacterized protein",2.6750667989767,-3.90156129653235,-17.9337205819212,1.05234725175968e-14,7.6419713174142e-12,TRUE,"up_in_dark_light"
"FGSG_04744","FGSG_04744","uncharacterized protein",3.66566749379779,3.09339399645315,17.9014409030891,1.09260210829043e-14,7.6419713174142e-12,TRUE,"up_in_low_light"
"FGSG_04475","FGSG_04475","uncharacterized protein",6.76113236818503,-2.68004908265573,-17.4138944508302,1.94033531371444e-14,1.26665089279279e-11,TRUE,"up_in_dark_light"
"FGSG_12609","FGSG_12609","uncharacterized protein",2.70680163673095,-3.70319946980223,-17.133902613576,2.7156470610102e-14,1.63326630928229e-11,TRUE,"up_in_dark_light"
"FGSG_07673","FGSG_07673","uncharacterized protein",4.64427114051271,2.948704789904,17.0982069170082,2.83553178694842e-14,1.63326630928229e-11,TRUE,"up_in_low_light"
"FGSG_12555","FGSG_12555","uncharacterized protein",9.90130457610324,-2.46229692616824,-16.995427682103,3.21250427902469e-14,1.74760232778943e-11,TRUE,"up_in_dark_light"
"FGSG_04000","FGSG_04000","uncharacterized protein",5.30481176625558,-2.98745907458667,-16.8360067429738,3.90382291954169e-14,2.01190705411327e-11,TRUE,"up_in_dark_light"
"FGSG_03898","FGSG_03898","uncharacterized protein",4.01841701927107,3.12922174416489,16.4817611687615,6.0544777053478e-14,2.96427228453828e-11,TRUE,"up_in_low_light"
"FGSG_09595","FGSG_09595","uncharacterized protein",4.66329342737448,-2.56389126270693,-16.1117090862197,9.65931169637684e-14,4.50399905385343e-11,TRUE,"up_in_dark_light"
"FGSG_08291","FGSG_08291","uncharacterized protein",6.66496623283181,-2.4553517547993,-15.9975621584324,1.11769578657816e-13,4.97476233735154e-11,TRUE,"up_in_dark_light"
"FGSG_13191","FGSG_13191","uncharacterized protein",2.78970986410219,-3.97407913379856,-16.2755480765046,1.33374866635498e-13,5.47002424699672e-11,TRUE,"up_in_dark_light"
"FGSG_06564","FGSG_06564","uncharacterized protein",4.12899633331174,-2.99093165979094,-15.8562280617262,1.34069221740116e-13,5.47002424699672e-11,TRUE,"up_in_dark_light"
"FGSG_07386","FGSG_07386","uncharacterized protein",7.13759585546884,-2.53362023254657,-15.0871578436653,3.69757343923198e-13,1.44826556467838e-10,TRUE,"up_in_dark_light"
"FGSG_11190","FGSG_11190","guanyl-specific ribonuclease F1 precursor",6.2674814192722,2.43488291248941,14.8799687437874,4.89563964580111e-13,1.84377320814171e-10,TRUE,"up_in_low_light"
"FGSG_07758","FGSG_07758","uncharacterized protein",3.05145935878218,-2.8048982661968,-14.8106092195728,5.3818089471604e-13,1.95180271150351e-10,TRUE,"up_in_dark_light"
"FGSG_13939","FGSG_13939","uncharacterized protein",2.85029196082606,3.01456811293512,14.7585146201427,5.77984724107405e-13,2.0212951494499e-10,TRUE,"up_in_low_light"
"FGSG_00140","FGSG_00140","uncharacterized protein",3.25056793407269,2.80035331495086,14.7277958955977,6.02880722294131e-13,2.03565794231177e-10,TRUE,"up_in_low_light"
"FGSG_11150","FGSG_11150","uncharacterized protein",2.87628983556578,-3.24110401144387,-14.5864048963156,7.32720099101108e-13,2.39159840346602e-10,TRUE,"up_in_dark_light"
"FGSG_12184","FGSG_12184","uncharacterized protein",7.45305949886461,-2.43518382635062,-14.5314766655851,7.90727823214376e-13,2.43589094783796e-10,TRUE,"up_in_dark_light"
"FGSG_10453","FGSG_10453","uncharacterized protein",6.66061713412245,-2.22793134305974,-14.5266551243815,7.96042793411099e-13,2.43589094783796e-10,TRUE,"up_in_dark_light"
"FGSG_02966","FGSG_02966","uncharacterized protein",6.3737265074728,-2.34395933712714,-14.4691800065232,8.62340451229191e-13,2.55879930255644e-10,TRUE,"up_in_dark_light"
"FGSG_12456","FGSG_12456","uncharacterized protein",7.12675821568131,-2.28105217185034,-14.2302993612449,1.20585013283855e-12,3.47284838257502e-10,TRUE,"up_in_dark_light"
"FGSG_03067","FGSG_03067","uncharacterized protein",1.53125889243084,-3.30730518033457,-14.1282920718269,1.39341186792255e-12,3.87170377686505e-10,TRUE,"up_in_dark_light"
"FGSG_12450","FGSG_12450","uncharacterized protein",3.31301612628513,-4.07017404011528,-15.7012923098595,1.42342050620038e-12,3.87170377686505e-10,TRUE,"up_in_dark_light"
"FGSG_03588","FGSG_03588","uncharacterized protein",2.72699808588145,2.73193404608595,13.9672314284831,1.75373281127932e-12,4.64123018595866e-10,TRUE,"up_in_low_light"
"FGSG_07743","FGSG_07743","uncharacterized protein",4.55719413990935,-2.55687223102307,-13.6503326441284,2.77475783387507e-12,6.93353588352439e-10,TRUE,"up_in_dark_light"
"FGSG_02221","FGSG_02221","uncharacterized protein",7.660009826194,-2.09598779709961,-13.6471123005162,2.78784669621887e-12,6.93353588352439e-10,TRUE,"up_in_dark_light"
"FGSG_06553","FGSG_06553","uncharacterized protein",3.64895017949116,-3.15174769948398,-13.6676972520045,2.83232674980572e-12,6.93353588352439e-10,TRUE,"up_in_dark_light"
"FGSG_04745","FGSG_04745","uncharacterized protein",5.07394744920587,2.60627908637566,13.5851591266558,3.05254877244904e-12,7.29037989751731e-10,TRUE,"up_in_low_light"
"FGSG_11577","FGSG_11577","uncharacterized protein",1.57415510205382,2.5971376032481,13.2716077584837,4.85568670975199e-12,1.13206867290218e-09,TRUE,"up_in_low_light"
"FGSG_03211","FGSG_03211","uncharacterized protein",9.18664456106794,-2.0078645018351,-13.2477234912114,5.03222134266595e-12,1.14594212528802e-09,TRUE,"up_in_dark_light"
"FGSG_02337","FGSG_02337","uncharacterized protein",2.79284200460618,2.299905973178,13.0869643733572,6.40799128654751e-12,1.42606933358803e-09,TRUE,"up_in_low_light"
"FGSG_13561","FGSG_13561","uncharacterized protein",3.41130685851487,-2.52032008549684,-13.0350958918175,6.93110925194098e-12,1.50820937322236e-09,TRUE,"up_in_dark_light"
"FGSG_03720","FGSG_03720","uncharacterized protein",3.22790300814946,-3.19634886212049,-13.1537322512059,9.5117916788326e-12,2.0247709591115e-09,TRUE,"up_in_dark_light"
"FGSG_07558","FGSG_07558","uncharacterized protein",1.95062801222289,2.21017286846192,12.688349310503,1.17864306523162e-11,2.45558997760596e-09,TRUE,"up_in_low_light"
