"gene_id","FGSG_id","product","AveExpr","log2FoldChange","t","pvalue","padj","significant","direction"
"FGSG_01379","FGSG_01379","uncharacterized protein",8.63044934445386,4.77522501890837,43.0006013393787,5.62603052170359e-17,5.7340503077203e-13,TRUE,"up_in_control"
"FGSG_03988","FGSG_03988","uncharacterized protein",8.85658562443892,2.78136230981898,32.7684965205092,3.03579339748722e-15,1.16328589529152e-11,TRUE,"up_in_control"
"FGSG_02852","FGSG_02852","uncharacterized protein",4.14756118103195,4.87987213044275,32.5000285525939,3.42411468394286e-15,1.16328589529152e-11,TRUE,"up_in_control"
"FGSG_01158","FGSG_01158","30 kDa heat shock protein",8.74663899625087,-2.66815237488897,-29.5317794794269,1.38762749532338e-14,2.63676103542855e-11,TRUE,"up_in_black_light"
"FGSG_04972","FGSG_04972","uncharacterized protein",5.68018042683821,4.11636477890475,29.0975845454639,1.72228395510275e-14,2.63676103542855e-11,TRUE,"up_in_control"
"FGSG_11900","FGSG_11900","uncharacterized protein",7.67081118964956,3.13876135961591,29.0099523988366,1.79972770143995e-14,2.63676103542855e-11,TRUE,"up_in_control"
"FGSG_07775","FGSG_07775","endothiapepsin precursor",10.2869217384576,2.66696180194048,28.9975746638111,1.81096224960752e-14,2.63676103542855e-11,TRUE,"up_in_control"
"FGSG_02851","FGSG_02851","fumarylacetoacetase",5.57829964742473,3.95411968323696,27.3113784548937,4.33422171764111e-14,5.45573570782458e-11,TRUE,"up_in_control"
"FGSG_11115","FGSG_11115","uncharacterized protein",3.76709153905696,3.57141342030295,27.1135976946511,4.81766300730192e-14,5.45573570782458e-11,TRUE,"up_in_control"
"FGSG_03591","FGSG_03591","42 kDa endochitinase precursor",7.10744769154814,2.10549908500658,25.3683326495563,1.26663223360639e-13,1.29095157249163e-10,TRUE,"up_in_control"
"FGSG_05839","FGSG_05839","uncharacterized protein",4.76287699949143,2.89096709291885,23.9002107065636,3.00473302465497e-13,2.60423123306414e-10,TRUE,"up_in_control"
"FGSG_12207","FGSG_12207","uncharacterized protein",10.2725852961175,2.00237754377383,23.7638408557732,3.26408570348169e-13,2.60423123306414e-10,TRUE,"up_in_control"
"FGSG_07608","FGSG_07608","uncharacterized protein",5.92655969248209,2.44525942745635,23.7045920031548,3.38411043006643e-13,2.60423123306414e-10,TRUE,"up_in_control"
"FGSG_00260","FGSG_00260","uncharacterized protein",12.3396993097409,-2.39740953721398,-23.6138046361958,3.57724070475843e-13,2.60423123306414e-10,TRUE,"up_in_black_light"
"FGSG_03385","FGSG_03385","uncharacterized protein",6.55979272257918,-3.02196386494138,-23.0381801024745,5.11040933778214e-13,3.47235279804504e-10,TRUE,"up_in_black_light"
"FGSG_09595","FGSG_09595","uncharacterized protein",5.2710047128518,2.40964909265034,22.9334801588015,5.45790820705488e-13,3.47668752789396e-10,TRUE,"up_in_control"
"FGSG_08196","FGSG_08196","aspergillopepsin-2 precursor",9.39169148152115,2.39523336942573,22.7150308974806,6.26667453848646e-13,3.75705569977965e-10,TRUE,"up_in_control"
"FGSG_03211","FGSG_03211","uncharacterized protein",9.82185688877038,-2.48658385351007,-22.1376241321723,9.08509755716498e-13,5.14418412792364e-10,TRUE,"up_in_black_light"
"FGSG_10206","FGSG_10206","uncharacterized protein",7.18898369198934,1.9090010736041,21.9239391501774,1.04479308239933e-12,5.60449005042841e-10,TRUE,"up_in_control"
"FGSG_02064","FGSG_02064","uncharacterized protein",5.26677717441995,2.90523015648175,21.482245228607,1.40052292660838e-12,7.13706483399629e-10,TRUE,"up_in_control"
"FGSG_02267","FGSG_02267","uncharacterized protein",6.57267386758272,1.99410147698877,21.2356254886312,1.65356819516399e-12,8.02531764052921e-10,TRUE,"up_in_control"
"FGSG_13952","FGSG_13952","uncharacterized protein",6.02322093099105,2.33533838151271,20.8779641791002,2.11078165168808e-12,9.77867572454769e-10,TRUE,"up_in_control"
"FGSG_07386","FGSG_07386","uncharacterized protein",7.76813941163735,-3.18353250385439,-20.832747430296,2.41789294741445e-12,1.07144195304557e-09,TRUE,"up_in_black_light"
"FGSG_12206","FGSG_12206","uncharacterized protein",5.79385938414162,2.23130072528202,20.4822667768721,2.77807155016432e-12,1.17975438496978e-09,TRUE,"up_in_control"
"FGSG_00136","FGSG_00136","uncharacterized protein",7.80468195830539,-2.27683840724533,-20.1876048386357,3.4197301706785e-12,1.39415559598221e-09,TRUE,"up_in_black_light"
"FGSG_07152","FGSG_07152","uncharacterized protein",9.70193932244032,-2.17595546170392,-19.9071391862063,4.17871349948035e-12,1.6380556917963e-09,TRUE,"up_in_black_light"
"FGSG_05348","FGSG_05348","uncharacterized protein",6.48057385210804,2.0357088894552,19.7912960640392,4.54288898906603e-12,1.71485646579855e-09,TRUE,"up_in_control"
"FGSG_12142","FGSG_12142","uncharacterized protein",3.65399075676403,-3.52732050986065,-19.1961283045944,7.02993616836419e-12,2.43267209435054e-09,TRUE,"up_in_black_light"
"FGSG_06557","FGSG_06557","uncharacterized protein",5.16154215550358,2.26563890145014,19.1721405630286,7.15661677447671e-12,2.43267209435054e-09,TRUE,"up_in_control"
"FGSG_03372","FGSG_03372","uncharacterized protein",3.18640186497597,2.91013162541154,19.1452200022562,7.30168655398895e-12,2.43267209435054e-09,TRUE,"up_in_control"
"FGSG_00602","FGSG_00602","uncharacterized protein",4.33202038571179,2.51801096593158,19.1274392897194,7.3992184973378e-12,2.43267209435054e-09,TRUE,"up_in_control"
"FGSG_03700","FGSG_03700","uncharacterized protein",8.50970309412457,1.69104124354994,18.9960981393221,8.16408405364992e-12,2.59333485367007e-09,TRUE,"up_in_control"
"FGSG_01580","FGSG_01580","uncharacterized protein",5.62821550365558,3.41995383958832,18.958727400288,8.39678671223629e-12,2.59333485367007e-09,TRUE,"up_in_control"
"FGSG_03189","FGSG_03189","uncharacterized protein",7.55869226315043,1.71270784429006,18.4968657078204,1.19351133733041e-11,3.57772575002105e-09,TRUE,"up_in_control"
"FGSG_09045","FGSG_09045","uncharacterized protein",2.73536825141818,2.68233925543719,18.3364529638292,1.35111056717242e-11,3.93443397160608e-09,TRUE,"up_in_control"
"FGSG_12666","FGSG_12666","uncharacterized protein",11.9219215056835,1.7768578391198,17.9398301456153,1.84397764738693e-11,5.09753158465513e-09,TRUE,"up_in_control"
"FGSG_05908","FGSG_05908","uncharacterized protein",3.64972197789963,2.75841545229297,17.9353345350541,1.85055601091287e-11,5.09753158465513e-09,TRUE,"up_in_control"
"FGSG_02019","FGSG_02019","uncharacterized protein",5.61061223815297,-2.26879126778353,-17.8584263918206,1.96705012355357e-11,5.27583548927841e-09,TRUE,"up_in_black_light"
"FGSG_09061","FGSG_09061","2,3-dihydroxybenzoic acid decarboxylase",5.02204354369466,2.84821489376044,17.731780025801,2.17622701256726e-11,5.68720659284243e-09,TRUE,"up_in_control"
"FGSG_05238","FGSG_05238","uncharacterized protein",3.17952763836278,2.96443676294006,17.5624189497174,2.49371124233333e-11,6.35397624546532e-09,TRUE,"up_in_control"
"FGSG_02221","FGSG_02221","uncharacterized protein",8.29098023961782,-1.89209759159703,-17.3659881696392,2.92480822228459e-11,7.27064521988402e-09,TRUE,"up_in_black_light"
"FGSG_02672","FGSG_02672","uncharacterized protein",7.31996387821236,1.54804728511728,17.2580675482525,3.19484162210906e-11,7.75281566965132e-09,TRUE,"up_in_control"
"FGSG_12572","FGSG_12572","uncharacterized protein",7.80528244655225,1.40582123852542,17.0671047181135,3.73981833989994e-11,8.86423919075818e-09,TRUE,"up_in_control"
"FGSG_04971","FGSG_04971","uncharacterized protein",5.04625543292565,2.86485128322493,16.9138814344356,4.24853068027851e-11,9.84114197577241e-09,TRUE,"up_in_control"
"FGSG_11888","FGSG_11888","uncharacterized protein",9.12165566079718,1.69848799487344,16.5883034686829,5.59059508358241e-11,1.26620766870826e-08,TRUE,"up_in_control"
"FGSG_08359","FGSG_08359","uncharacterized protein",11.7107720554844,1.35192175047055,16.560798965193,5.72303421432462e-11,1.26802531983471e-08,TRUE,"up_in_control"
"FGSG_09066","FGSG_09066","uncharacterized protein",11.9222843617999,1.95641824965163,16.4613052486977,6.23069718271967e-11,1.31048176205317e-08,TRUE,"up_in_control"
"FGSG_06000","FGSG_06000","uncharacterized protein",8.64298321768101,1.88922152481609,16.4534700886794,6.27266208384257e-11,1.31048176205317e-08,TRUE,"up_in_control"
"FGSG_04662","FGSG_04662","uncharacterized protein",6.81564466264342,1.96931221860743,16.448323048375,6.30039308679411e-11,1.31048176205317e-08,TRUE,"up_in_control"
"FGSG_07917","FGSG_07917","uncharacterized protein",6.3152495877036,1.54367414604103,16.3021201989272,7.14516352687224e-11,1.44070287015814e-08,TRUE,"up_in_control"
"FGSG_02908","FGSG_02908","uncharacterized protein",8.16329638755583,1.56724834708417,16.2918024528674,7.2091686006736e-11,1.44070287015814e-08,TRUE,"up_in_control"
"FGSG_04661","FGSG_04661","uncharacterized protein",7.70373646680948,1.54901864691675,16.1878481539688,7.88915685786966e-11,1.54627474414245e-08,TRUE,"up_in_control"
"FGSG_12647","FGSG_12647","monoamine oxidase N",3.26591048758783,3.14730635877235,16.0999654968733,8.51727772931109e-11,1.59893111108385e-08,TRUE,"up_in_control"
"FGSG_07683","FGSG_07683","uncharacterized protein",5.48877468031101,1.88320394749018,16.0873393957592,8.61180414960314e-11,1.59893111108385e-08,TRUE,"up_in_control"
"FGSG_04035","FGSG_04035","uncharacterized protein",3.6395493119446,2.79723029190871,16.0851306135865,8.62845477920054e-11,1.59893111108385e-08,TRUE,"up_in_control"
"FGSG_13464","FGSG_13464","uncharacterized protein",7.53793986086068,1.49164769364821,16.0077486869661,9.23395460955027e-11,1.68057973893815e-08,TRUE,"up_in_control"
"FGSG_00071","FGSG_00071","uncharacterized protein",11.797862178588,1.30290778656005,15.8112000451613,1.09844992912703e-10,1.96410555748468e-08,TRUE,"up_in_control"
"FGSG_08079","FGSG_08079","uncharacterized protein",8.86498254230914,1.46869095021575,15.7591210212179,1.15052876234262e-10,2.02175674927517e-08,TRUE,"up_in_control"
"FGSG_08440","FGSG_08440","uncharacterized protein",6.85741329810842,1.75669031945872,15.6593602557715,1.25776607222969e-10,2.17273759460424e-08,TRUE,"up_in_control"
"FGSG_03518","FGSG_03518","uncharacterized protein",7.71535006869399,1.74768922524984,15.5895317701776,1.33912531733912e-10,2.27472753905338e-08,TRUE,"up_in_control"
"FGSG_08049","FGSG_08049","uncharacterized protein",6.15002793831081,2.83479680616864,15.7853198732019,1.38102908082227e-10,2.30745055602305e-08,TRUE,"up_in_control"
"FGSG_04735","FGSG_04735","uncharacterized protein",8.90688838572238,-1.7226712948538,-15.5192960209309,1.42662978428694e-10,2.34519528410524e-08,TRUE,"up_in_black_light"
"FGSG_03369","FGSG_03369","uncharacterized protein",4.30536201060617,2.28018175569648,15.3934158134292,1.59903877685554e-10,2.58688939900185e-08,TRUE,"up_in_control"
"FGSG_09063","FGSG_09063","uncharacterized protein",4.24611091509164,2.09993054091982,15.2922493673284,1.75364256637257e-10,2.77689608121181e-08,TRUE,"up_in_control"
"FGSG_11270","FGSG_11270","uncharacterized protein",5.13479963176446,1.99899708797332,15.2815006024202,1.77097964362998e-10,2.77689608121181e-08,TRUE,"up_in_control"
"FGSG_11190","FGSG_11190","guanyl-specific ribonuclease F1 precursor",6.89513979642552,1.85972416967604,15.1405335062521,2.01601779223894e-10,3.11322020280292e-08,TRUE,"up_in_control"
"FGSG_01015","FGSG_01015","heat shock protein 78",4.61398757393815,-2.29955432727433,-15.0768869282225,2.13824496948711e-10,3.25268548194218e-08,TRUE,"up_in_black_light"
"FGSG_00347","FGSG_00347","uncharacterized protein",2.3052419800457,-3.10889618316738,-14.9928366338148,2.31186400715335e-10,3.4650761707216e-08,TRUE,"up_in_black_light"
"FGSG_02063","FGSG_02063","uncharacterized protein",7.59947533717933,1.56633372318195,14.94482970442,2.41770411507113e-10,3.54226451500816e-08,TRUE,"up_in_control"
"FGSG_03307","FGSG_03307","uncharacterized protein",5.67548049142276,1.62922404350992,14.9381325422746,2.43287398008802e-10,3.54226451500816e-08,TRUE,"up_in_control"
"FGSG_12376","FGSG_12376","uncharacterized protein",4.99356267829512,2.06101176160504,14.6697717546506,3.13230718246214e-10,4.49640490192312e-08,TRUE,"up_in_control"
"FGSG_10974","FGSG_10974","uncharacterized protein",10.0596370178458,1.51582128415458,14.6381365931586,3.22788159759687e-10,4.56924572815378e-08,TRUE,"up_in_control"
