"gene_id","FGSG_id","product","AveExpr","log2FoldChange","t","pvalue","padj","significant","direction"
"FGSG_06480","FGSG_06480","uncharacterized protein",8.98627518840454,-6.8440396739105,-69.3324886043185,4.89551386232745e-20,4.98950772848413e-16,TRUE,"up_in_control"
"FGSG_06482","FGSG_06482","uncharacterized protein",4.37985268685404,-7.95383281669253,-48.5424794334687,9.44032036474914e-18,4.81078725787616e-14,TRUE,"up_in_control"
"FGSG_07530","FGSG_07530","alcohol oxidase",4.74057937521939,6.73830642263142,42.4557805525883,6.78682532111358e-17,1.7699764691049e-13,TRUE,"up_in_low_light"
"FGSG_03546","FGSG_03546","uncharacterized protein",4.74116914795942,-7.2085714319484,-42.3886997053287,6.94653245331594e-17,1.7699764691049e-13,TRUE,"up_in_control"
"FGSG_11757","FGSG_11757","uncharacterized protein",9.82429366382308,-3.79182049802514,-38.8716519137734,2.48137338076771e-16,5.05803149935691e-13,TRUE,"up_in_control"
"FGSG_01379","FGSG_01379","uncharacterized protein",8.63044934445386,4.14834890625808,37.3556213222031,4.44998249451463e-16,5.90498852028421e-13,TRUE,"up_in_low_light"
"FGSG_06564","FGSG_06564","uncharacterized protein",4.67391725173178,-5.96773108397708,-37.288713662537,4.5686174165284e-16,5.90498852028421e-13,TRUE,"up_in_control"
"FGSG_04745","FGSG_04745","uncharacterized protein",5.51302576638462,9.65683775156255,42.3009649922547,4.8420632944835e-16,5.90498852028421e-13,TRUE,"up_in_low_light"
"FGSG_02966","FGSG_02966","uncharacterized protein",6.99671582005317,-4.22256816097449,-36.9542808912053,5.21437369334359e-16,5.90498852028421e-13,TRUE,"up_in_control"
"FGSG_07558","FGSG_07558","uncharacterized protein",2.2377535491216,5.6003519231945,36.0763677048488,7.41966364473262e-16,7.50275322543012e-13,TRUE,"up_in_low_light"
"FGSG_02903","FGSG_02903","uncharacterized protein",11.4366962367228,2.97359375188955,35.8619345319635,8.09755548270519e-16,7.50275322543012e-13,TRUE,"up_in_low_light"
"FGSG_02281","FGSG_02281","uncharacterized protein",4.96586394754463,-4.89741551278714,-35.43212748496,9.66347831806647e-16,7.66046906262026e-13,TRUE,"up_in_control"
"FGSG_06048","FGSG_06048","uncharacterized protein",7.10653346430878,-4.88674523836713,-35.4053930098819,9.7710064574238e-16,7.66046906262026e-13,TRUE,"up_in_control"
"FGSG_10224","FGSG_10224","uncharacterized protein",10.3969379235257,-3.53931283209616,-34.9681625745705,1.17231429162586e-15,8.53444804303626e-13,TRUE,"up_in_control"
"FGSG_12607","FGSG_12607","uncharacterized protein",9.18412138569894,-4.15840538894646,-33.4574318907429,2.23876899529917e-15,1.45930554628519e-12,TRUE,"up_in_control"
"FGSG_12214","FGSG_12214","uncharacterized protein",7.71198747765107,3.41154305006704,33.3115446454784,2.38667841545347e-15,1.45930554628519e-12,TRUE,"up_in_low_light"
"FGSG_08601","FGSG_08601","phosphoenolpyruvate carboxykinase",7.18685009130221,-4.57362140095396,-33.2668193033063,2.43408499674727e-15,1.45930554628519e-12,TRUE,"up_in_control"
"FGSG_12555","FGSG_12555","uncharacterized protein",10.5369266410827,-3.4026226746863,-32.5491794063716,3.34923996132307e-15,1.89641409365582e-12,TRUE,"up_in_control"
"FGSG_13521","FGSG_13521","uncharacterized protein",9.88452465510376,-3.4716217486739,-32.3168595483609,3.71926323803051e-15,1.99509110115826e-12,TRUE,"up_in_control"
"FGSG_09697","FGSG_09697","uncharacterized protein",5.39436143568786,-5.65804821453454,-31.9695706068187,4.3559923922386e-15,2.11526568384074e-12,TRUE,"up_in_control"
"FGSG_02221","FGSG_02221","uncharacterized protein",8.29098023961782,-3.4830890794571,-31.9683741559003,4.3583770958257e-15,2.11526568384074e-12,TRUE,"up_in_control"
"FGSG_02329","FGSG_02329","uncharacterized protein",3.70759854703581,4.81429944927058,31.4852321861702,5.44530101666001e-15,2.45086706603972e-12,TRUE,"up_in_low_light"
"FGSG_09373","FGSG_09373","uncharacterized protein",6.85997998749861,-3.1950744627459,-31.388464678563,5.69590198826448e-15,2.45086706603972e-12,TRUE,"up_in_control"
