contrast,GO,go_term_name,namespace,n_study,n_bg,study_size,bg_size,expected,fold_enrichment,pvalue,padj,study_genes
dark_light_vs_black_light,GO:0055114,obsolete oxidation-reduction process,BP,311,965,977,6107,154.38,2.01,8.125444309482454e-44,9.750533171378946e-42,"FGSG_00007,FGSG_00012,FGSG_00043,FGSG_00048,FGSG_00071,FGSG_00092,FGSG_00138,FGSG_00150,FGSG_00236,FGSG_00237,FGSG_00417,FGSG_00489,FGSG_00531,FGSG_00590,FGSG_00655,FGSG_00665,FGSG_00712,FGSG_00718,FGSG_00810,FGSG_00979,FGSG_01048,FGSG_01171,FGSG_01284,FGSG_01392,FGSG_01433,FGSG_01686,FGSG_01745,FGSG_01805,FGSG_01826,FGSG_01866,FGSG_01867,FGSG_01868,FGSG_01947,FGSG_02033,FGSG_02034,FGSG_02075,FGSG_02087,FGSG_02111,FGSG_02114,FGSG_02117,FGSG_02119,FGSG_02137,FGSG_02160,FGSG_02165,FGSG_02220,FGSG_02266,FGSG_02267,FGSG_02271,FGSG_02291,FGSG_02321,FGSG_02327,FGSG_02328,FGSG_02330,FGSG_02346,FGSG_02347,FGSG_02367,FGSG_02379,FGSG_02387,FGSG_02392,FGSG_02432,FGSG_02469,FGSG_02502,FGSG_02522,FGSG_02550,FGSG_02551,FGSG_02657,FGSG_02668,FGSG_02672,FGSG_02692,FGSG_02695,FGSG_02753,FGSG_02792,FGSG_02881,FGSG_02882,FGSG_02908,FGSG_02924,FGSG_03026,FGSG_03034,FGSG_03061,FGSG_03065,FGSG_03071,FGSG_03073,FGSG_03075,FGSG_03088,FGSG_03163,FGSG_03175,FGSG_03180,FGSG_03199,FGSG_03213,FGSG_03256,FGSG_03258,FGSG_03260,FGSG_03262,FGSG_03264,FGSG_03307,FGSG_03314,FGSG_03340,FGSG_03370,FGSG_03375,FGSG_03408,FGSG_03413,FGSG_03425,FGSG_03426,FGSG_03430,FGSG_03439,FGSG_03443,FGSG_03498,FGSG_03531,FGSG_03546,FGSG_03547,FGSG_03548,FGSG_03577,FGSG_03579,FGSG_03593,FGSG_03604,FGSG_03638,FGSG_03655,FGSG_03657,FGSG_03667,FGSG_03686,FGSG_03692,FGSG_03700,FGSG_03710,FGSG_03831,FGSG_03851,FGSG_03860,FGSG_03873,FGSG_03880,FGSG_03913,FGSG_03915,FGSG_03920,FGSG_03925,FGSG_03952,FGSG_03955,FGSG_03984,FGSG_04064,FGSG_04092,FGSG_04117,FGSG_04126,FGSG_04143,FGSG_04196,FGSG_04223,FGSG_04247,FGSG_04248,FGSG_04299,FGSG_04368,FGSG_04458,FGSG_04510,FGSG_04542,FGSG_04590,FGSG_04663,FGSG_04667,FGSG_04686,FGSG_04694,FGSG_04727,FGSG_04728,FGSG_04780,FGSG_04793,FGSG_04828,FGSG_04852,FGSG_04886,FGSG_04911,FGSG_04941,FGSG_04969,FGSG_05164,FGSG_05328,FGSG_05334,FGSG_05382,FGSG_05385,FGSG_05450,FGSG_05678,FGSG_05683,FGSG_05919,FGSG_05921,FGSG_06060,FGSG_06068,FGSG_06202,FGSG_06215,FGSG_06438,FGSG_06518,FGSG_06536,FGSG_06538,FGSG_06539,FGSG_06618,FGSG_06991,FGSG_07174,FGSG_07191,FGSG_07263,FGSG_07319,FGSG_07483,FGSG_07500,FGSG_07530,FGSG_07556,FGSG_07590,FGSG_07596,FGSG_07683,FGSG_07765,FGSG_07842,FGSG_08054,FGSG_08062,FGSG_08077,FGSG_08079,FGSG_08081,FGSG_08191,FGSG_08352,FGSG_08402,FGSG_08425,FGSG_08498,FGSG_08579,FGSG_08596,FGSG_08795,FGSG_09006,FGSG_09012,FGSG_09029,FGSG_09054,FGSG_09059,FGSG_09063,FGSG_09086,FGSG_09101,FGSG_09103,FGSG_09104,FGSG_09121,FGSG_09125,FGSG_09240,FGSG_09351,FGSG_09373,FGSG_09477,FGSG_09483,FGSG_09522,FGSG_09678,FGSG_09830,FGSG_09845,FGSG_10155,FGSG_10417,FGSG_10444,FGSG_10451,FGSG_10571,FGSG_10609,FGSG_10624,FGSG_10631,FGSG_10655,FGSG_10666,FGSG_10673,FGSG_10677,FGSG_10680,FGSG_10739,FGSG_10790,FGSG_10804,FGSG_10807,FGSG_10855,FGSG_10881,FGSG_10950,FGSG_10960,FGSG_10991,FGSG_11008,FGSG_11032,FGSG_11192,FGSG_11211,FGSG_11215,FGSG_11260,FGSG_11270,FGSG_11399,FGSG_11420,FGSG_11440,FGSG_11517,FGSG_11522,FGSG_11549,FGSG_11550,FGSG_11554,FGSG_11556,FGSG_11565,FGSG_11566,FGSG_11568,FGSG_11570,FGSG_11585,FGSG_11655,FGSG_12048,FGSG_12105,FGSG_12129,FGSG_12154,FGSG_12172,FGSG_12173,FGSG_12180,FGSG_12206,FGSG_12222,FGSG_12223,FGSG_12342,FGSG_12357,FGSG_12371,FGSG_12386,FGSG_12519,FGSG_12563,FGSG_12569,FGSG_12594,FGSG_12599,FGSG_12647,FGSG_12741,FGSG_13004,FGSG_13110,FGSG_13196,FGSG_13347,FGSG_13433,FGSG_13456,FGSG_13459,FGSG_13825,FGSG_13829,FGSG_13840,FGSG_13865,FGSG_13875,FGSG_13963,FGSG_14007"
dark_light_vs_black_light,GO:0055085,transmembrane transport,BP,143,448,977,6107,71.67,2.0,1.9353849621583356e-18,1.161230977295001e-16,"FGSG_00107,FGSG_00108,FGSG_00195,FGSG_00226,FGSG_00416,FGSG_00572,FGSG_00669,FGSG_01484,FGSG_01662,FGSG_01792,FGSG_01814,FGSG_01986,FGSG_02064,FGSG_02070,FGSG_02281,FGSG_02292,FGSG_02307,FGSG_02343,FGSG_02358,FGSG_02406,FGSG_02580,FGSG_02641,FGSG_02671,FGSG_02749,FGSG_02823,FGSG_02824,FGSG_02846,FGSG_02966,FGSG_02978,FGSG_02992,FGSG_03032,FGSG_03033,FGSG_03100,FGSG_03140,FGSG_03161,FGSG_03195,FGSG_03272,FGSG_03306,FGSG_03360,FGSG_03369,FGSG_03447,FGSG_03548,FGSG_03643,FGSG_03646,FGSG_03711,FGSG_03735,FGSG_03737,FGSG_03830,FGSG_03862,FGSG_03882,FGSG_03920,FGSG_03956,FGSG_03957,FGSG_03987,FGSG_04188,FGSG_04215,FGSG_04217,FGSG_04368,FGSG_04431,FGSG_04440,FGSG_04537,FGSG_04544,FGSG_04610,FGSG_04644,FGSG_04658,FGSG_04659,FGSG_04667,FGSG_04676,FGSG_04709,FGSG_04827,FGSG_04899,FGSG_04957,FGSG_05011,FGSG_05042,FGSG_05238,FGSG_05368,FGSG_05705,FGSG_05731,FGSG_05882,FGSG_06336,FGSG_06468,FGSG_07134,FGSG_07350,FGSG_07411,FGSG_07495,FGSG_07509,FGSG_07543,FGSG_07567,FGSG_07584,FGSG_07587,FGSG_07616,FGSG_07631,FGSG_07665,FGSG_07666,FGSG_07720,FGSG_07722,FGSG_07802,FGSG_07881,FGSG_07917,FGSG_08014,FGSG_08047,FGSG_08084,FGSG_08177,FGSG_08230,FGSG_08308,FGSG_08309,FGSG_08375,FGSG_08799,FGSG_08823,FGSG_09081,FGSG_09104,FGSG_09210,FGSG_09335,FGSG_09595,FGSG_09697,FGSG_09737,FGSG_09804,FGSG_09913,FGSG_10098,FGSG_10338,FGSG_10570,FGSG_10706,FGSG_10809,FGSG_11219,FGSG_11339,FGSG_11439,FGSG_11480,FGSG_11552,FGSG_11567,FGSG_11980,FGSG_12204,FGSG_12335,FGSG_12415,FGSG_12505,FGSG_12700,FGSG_12704,FGSG_13210,FGSG_13382,FGSG_13650,FGSG_13807,FGSG_13979,FGSG_13980,FGSG_13993"
dark_light_vs_black_light,GO:0005975,carbohydrate metabolic process,BP,53,163,977,6107,26.08,2.03,9.328120100292426e-08,3.7312480401169703e-06,"FGSG_00068,FGSG_00590,FGSG_00807,FGSG_01235,FGSG_01250,FGSG_01283,FGSG_01596,FGSG_01829,FGSG_01836,FGSG_02834,FGSG_02920,FGSG_03127,FGSG_03194,FGSG_03247,FGSG_03288,FGSG_03343,FGSG_03529,FGSG_03703,FGSG_03842,FGSG_03890,FGSG_03918,FGSG_04146,FGSG_04615,FGSG_04768,FGSG_04953,FGSG_05292,FGSG_05824,FGSG_05968,FGSG_06117,FGSG_06486,FGSG_06888,FGSG_07492,FGSG_08396,FGSG_08415,FGSG_08797,FGSG_09082,FGSG_09226,FGSG_09289,FGSG_09366,FGSG_10444,FGSG_10728,FGSG_10992,FGSG_11184,FGSG_11560,FGSG_11777,FGSG_11903,FGSG_11904,FGSG_12461,FGSG_12488,FGSG_13161,FGSG_13343,FGSG_13861,FGSG_13883"
dark_light_vs_black_light,GO:0008152,metabolic process,BP,57,207,977,6107,33.12,1.72,1.26893069243893e-05,0.0003806792077316,"FGSG_00036,FGSG_01379,FGSG_01571,FGSG_01693,FGSG_01823,FGSG_02218,FGSG_02342,FGSG_02873,FGSG_02938,FGSG_02997,FGSG_03069,FGSG_03080,FGSG_03081,FGSG_03257,FGSG_03304,FGSG_03372,FGSG_03589,FGSG_03645,FGSG_03736,FGSG_03747,FGSG_03808,FGSG_03922,FGSG_03989,FGSG_04333,FGSG_04588,FGSG_04616,FGSG_04657,FGSG_04874,FGSG_04930,FGSG_05048,FGSG_06381,FGSG_07275,FGSG_07911,FGSG_08053,FGSG_09031,FGSG_09424,FGSG_09521,FGSG_09883,FGSG_10098,FGSG_10126,FGSG_10177,FGSG_10523,FGSG_10617,FGSG_10670,FGSG_10853,FGSG_10990,FGSG_11295,FGSG_11555,FGSG_11659,FGSG_11660,FGSG_11884,FGSG_12234,FGSG_12632,FGSG_13153,FGSG_13299,FGSG_13300,FGSG_13860"
dark_light_vs_black_light,GO:0003333,amino acid transmembrane transport,BP,19,52,977,6107,8.32,2.28,0.0002455528864296,0.0058932692743125,"FGSG_01990,FGSG_02145,FGSG_02229,FGSG_02272,FGSG_03778,FGSG_03799,FGSG_03808,FGSG_03985,FGSG_04182,FGSG_04637,FGSG_04879,FGSG_04943,FGSG_05574,FGSG_06508,FGSG_07496,FGSG_08347,FGSG_12342,FGSG_12511,FGSG_13562"
dark_light_vs_black_light,GO:0006032,chitin catabolic process,BP,7,14,977,6107,2.24,3.13,0.0031946999726365,0.0617778452488539,"FGSG_03591,FGSG_04143,FGSG_07492,FGSG_10443,FGSG_10728,FGSG_11903,FGSG_11904"
dark_light_vs_black_light,GO:0045337,"trans, trans-farnesyl diphosphate biosynthetic process",BP,3,3,977,6107,0.48,6.25,0.0040839330028181,0.0617778452488539,"FGSG_06784,FGSG_09722,FGSG_10097"
dark_light_vs_black_light,GO:0032259,methylation,BP,36,146,977,6107,23.36,1.54,0.0041185230165902,0.0617778452488539,"FGSG_00657,FGSG_00735,FGSG_01744,FGSG_01745,FGSG_02326,FGSG_02843,FGSG_03260,FGSG_03568,FGSG_03821,FGSG_03833,FGSG_03835,FGSG_03951,FGSG_04092,FGSG_04160,FGSG_04589,FGSG_04596,FGSG_05593,FGSG_05740,FGSG_06199,FGSG_06290,FGSG_07660,FGSG_07880,FGSG_08350,FGSG_08624,FGSG_09239,FGSG_09351,FGSG_09383,FGSG_10190,FGSG_10766,FGSG_11478,FGSG_11729,FGSG_11864,FGSG_13004,FGSG_13459,FGSG_13708,FGSG_14015"
dark_light_vs_black_light,GO:0006665,sphingolipid metabolic process,BP,4,6,977,6107,0.96,4.17,0.0074469724023691,0.0992929653649214,"FGSG_02522,FGSG_03951,FGSG_04413,FGSG_05593"
dark_light_vs_black_light,GO:0006696,ergosterol biosynthetic process,BP,7,17,977,6107,2.72,2.57,0.0116702166471346,0.1400425997656158,"FGSG_02502,FGSG_03686,FGSG_05912,FGSG_06215,FGSG_06784,FGSG_09266,FGSG_09830"
