contrast,GO,go_term_name,namespace,n_study,n_bg,study_size,bg_size,expected,fold_enrichment,pvalue,padj,study_genes
low_light_vs_black_light,GO:0055114,obsolete oxidation-reduction process,BP,363,988,1307,6170,209.29,1.73,2.5827214545590593e-35,4.597244189115126e-33,"FGSG_00007,FGSG_00012,FGSG_00066,FGSG_00138,FGSG_00145,FGSG_00150,FGSG_00162,FGSG_00231,FGSG_00236,FGSG_00237,FGSG_00389,FGSG_00489,FGSG_00578,FGSG_00590,FGSG_00665,FGSG_00712,FGSG_00765,FGSG_00805,FGSG_00855,FGSG_00871,FGSG_01171,FGSG_01255,FGSG_01284,FGSG_01392,FGSG_01403,FGSG_01433,FGSG_01686,FGSG_01745,FGSG_01767,FGSG_01790,FGSG_01805,FGSG_01826,FGSG_01866,FGSG_01867,FGSG_01868,FGSG_02033,FGSG_02034,FGSG_02075,FGSG_02111,FGSG_02114,FGSG_02117,FGSG_02118,FGSG_02137,FGSG_02138,FGSG_02160,FGSG_02165,FGSG_02220,FGSG_02266,FGSG_02267,FGSG_02271,FGSG_02291,FGSG_02321,FGSG_02327,FGSG_02328,FGSG_02330,FGSG_02346,FGSG_02347,FGSG_02367,FGSG_02379,FGSG_02387,FGSG_02392,FGSG_02419,FGSG_02432,FGSG_02469,FGSG_02502,FGSG_02522,FGSG_02550,FGSG_02551,FGSG_02657,FGSG_02668,FGSG_02672,FGSG_02682,FGSG_02695,FGSG_02753,FGSG_02792,FGSG_02829,FGSG_02863,FGSG_02908,FGSG_02924,FGSG_02982,FGSG_03026,FGSG_03034,FGSG_03061,FGSG_03065,FGSG_03067,FGSG_03071,FGSG_03073,FGSG_03075,FGSG_03163,FGSG_03180,FGSG_03191,FGSG_03199,FGSG_03258,FGSG_03260,FGSG_03262,FGSG_03264,FGSG_03307,FGSG_03314,FGSG_03340,FGSG_03375,FGSG_03413,FGSG_03425,FGSG_03426,FGSG_03430,FGSG_03439,FGSG_03443,FGSG_03546,FGSG_03547,FGSG_03548,FGSG_03577,FGSG_03579,FGSG_03593,FGSG_03603,FGSG_03638,FGSG_03655,FGSG_03657,FGSG_03667,FGSG_03686,FGSG_03692,FGSG_03700,FGSG_03742,FGSG_03831,FGSG_03851,FGSG_03860,FGSG_03873,FGSG_03880,FGSG_03898,FGSG_03913,FGSG_03915,FGSG_03920,FGSG_03952,FGSG_03955,FGSG_03964,FGSG_03984,FGSG_04024,FGSG_04064,FGSG_04092,FGSG_04117,FGSG_04126,FGSG_04130,FGSG_04143,FGSG_04194,FGSG_04196,FGSG_04223,FGSG_04247,FGSG_04248,FGSG_04368,FGSG_04445,FGSG_04458,FGSG_04542,FGSG_04567,FGSG_04590,FGSG_04595,FGSG_04663,FGSG_04667,FGSG_04694,FGSG_04703,FGSG_04726,FGSG_04727,FGSG_04728,FGSG_04775,FGSG_04780,FGSG_04793,FGSG_04826,FGSG_04828,FGSG_04886,FGSG_04911,FGSG_04941,FGSG_04969,FGSG_05122,FGSG_05164,FGSG_05284,FGSG_05322,FGSG_05371,FGSG_05385,FGSG_05683,FGSG_05695,FGSG_05794,FGSG_05831,FGSG_05919,FGSG_05921,FGSG_06060,FGSG_06184,FGSG_06202,FGSG_06215,FGSG_06257,FGSG_06438,FGSG_06518,FGSG_06536,FGSG_06548,FGSG_06554,FGSG_06618,FGSG_06733,FGSG_06752,FGSG_06813,FGSG_06991,FGSG_07174,FGSG_07189,FGSG_07191,FGSG_07239,FGSG_07263,FGSG_07319,FGSG_07389,FGSG_07500,FGSG_07530,FGSG_07556,FGSG_07557,FGSG_07590,FGSG_07596,FGSG_07628,FGSG_07661,FGSG_07683,FGSG_07758,FGSG_07765,FGSG_07783,FGSG_07842,FGSG_08007,FGSG_08023,FGSG_08054,FGSG_08062,FGSG_08066,FGSG_08077,FGSG_08079,FGSG_08081,FGSG_08125,FGSG_08187,FGSG_08191,FGSG_08352,FGSG_08377,FGSG_08402,FGSG_08425,FGSG_08462,FGSG_08498,FGSG_08511,FGSG_08579,FGSG_08596,FGSG_08760,FGSG_08795,FGSG_08809,FGSG_08980,FGSG_09012,FGSG_09029,FGSG_09040,FGSG_09054,FGSG_09059,FGSG_09063,FGSG_09086,FGSG_09101,FGSG_09103,FGSG_09104,FGSG_09121,FGSG_09125,FGSG_09265,FGSG_09284,FGSG_09347,FGSG_09351,FGSG_09373,FGSG_09477,FGSG_09483,FGSG_09522,FGSG_09627,FGSG_09639,FGSG_09678,FGSG_09830,FGSG_09845,FGSG_09872,FGSG_10417,FGSG_10444,FGSG_10451,FGSG_10571,FGSG_10609,FGSG_10624,FGSG_10631,FGSG_10655,FGSG_10666,FGSG_10673,FGSG_10677,FGSG_10680,FGSG_10739,FGSG_10804,FGSG_10807,FGSG_10855,FGSG_10881,FGSG_10950,FGSG_10960,FGSG_10991,FGSG_10998,FGSG_11032,FGSG_11192,FGSG_11211,FGSG_11228,FGSG_11232,FGSG_11260,FGSG_11261,FGSG_11264,FGSG_11270,FGSG_11282,FGSG_11300,FGSG_11369,FGSG_11387,FGSG_11389,FGSG_11400,FGSG_11420,FGSG_11465,FGSG_11482,FGSG_11489,FGSG_11492,FGSG_11517,FGSG_11522,FGSG_11528,FGSG_11549,FGSG_11550,FGSG_11554,FGSG_11565,FGSG_11566,FGSG_11568,FGSG_11585,FGSG_12048,FGSG_12049,FGSG_12082,FGSG_12105,FGSG_12129,FGSG_12173,FGSG_12180,FGSG_12206,FGSG_12222,FGSG_12223,FGSG_12256,FGSG_12283,FGSG_12342,FGSG_12355,FGSG_12357,FGSG_12368,FGSG_12369,FGSG_12371,FGSG_12386,FGSG_12438,FGSG_12519,FGSG_12563,FGSG_12594,FGSG_12599,FGSG_12647,FGSG_12741,FGSG_13004,FGSG_13006,FGSG_13110,FGSG_13196,FGSG_13347,FGSG_13432,FGSG_13433,FGSG_13445,FGSG_13450,FGSG_13455,FGSG_13456,FGSG_13459,FGSG_13561,FGSG_13617,FGSG_13825,FGSG_13840,FGSG_13865,FGSG_13875,FGSG_13963,FGSG_14007"
low_light_vs_black_light,GO:0055085,transmembrane transport,BP,169,455,1307,6170,96.38,1.75,3.2808115315193693e-16,2.9199222630522384e-14,"FGSG_00070,FGSG_00085,FGSG_00095,FGSG_00107,FGSG_00108,FGSG_00152,FGSG_00197,FGSG_00572,FGSG_00669,FGSG_01484,FGSG_01593,FGSG_01792,FGSG_01814,FGSG_01986,FGSG_02064,FGSG_02070,FGSG_02281,FGSG_02292,FGSG_02343,FGSG_02358,FGSG_02406,FGSG_02580,FGSG_02671,FGSG_02749,FGSG_02786,FGSG_02823,FGSG_02824,FGSG_02833,FGSG_02870,FGSG_02945,FGSG_02966,FGSG_02978,FGSG_02992,FGSG_03024,FGSG_03032,FGSG_03033,FGSG_03100,FGSG_03140,FGSG_03161,FGSG_03233,FGSG_03272,FGSG_03306,FGSG_03360,FGSG_03396,FGSG_03447,FGSG_03548,FGSG_03643,FGSG_03646,FGSG_03697,FGSG_03711,FGSG_03735,FGSG_03737,FGSG_03780,FGSG_03830,FGSG_03862,FGSG_03882,FGSG_03891,FGSG_03920,FGSG_03934,FGSG_03956,FGSG_03987,FGSG_04188,FGSG_04217,FGSG_04368,FGSG_04431,FGSG_04440,FGSG_04537,FGSG_04544,FGSG_04610,FGSG_04644,FGSG_04658,FGSG_04659,FGSG_04667,FGSG_04676,FGSG_04709,FGSG_04827,FGSG_04860,FGSG_04899,FGSG_04957,FGSG_05011,FGSG_05042,FGSG_05238,FGSG_05368,FGSG_05527,FGSG_05612,FGSG_05705,FGSG_05731,FGSG_05839,FGSG_05882,FGSG_06142,FGSG_06235,FGSG_06336,FGSG_06468,FGSG_07114,FGSG_07350,FGSG_07383,FGSG_07411,FGSG_07495,FGSG_07509,FGSG_07567,FGSG_07582,FGSG_07584,FGSG_07610,FGSG_07616,FGSG_07720,FGSG_07722,FGSG_07802,FGSG_07881,FGSG_07894,FGSG_07917,FGSG_07985,FGSG_08014,FGSG_08019,FGSG_08070,FGSG_08084,FGSG_08177,FGSG_08230,FGSG_08308,FGSG_08309,FGSG_08312,FGSG_08341,FGSG_08375,FGSG_08749,FGSG_08799,FGSG_08810,FGSG_08823,FGSG_09060,FGSG_09104,FGSG_09210,FGSG_09335,FGSG_09567,FGSG_09697,FGSG_09737,FGSG_09913,FGSG_10483,FGSG_10570,FGSG_10706,FGSG_10747,FGSG_10809,FGSG_10888,FGSG_10921,FGSG_10983,FGSG_11057,FGSG_11084,FGSG_11219,FGSG_11339,FGSG_11439,FGSG_11480,FGSG_11519,FGSG_11552,FGSG_11567,FGSG_11980,FGSG_11981,FGSG_11988,FGSG_12203,FGSG_12204,FGSG_12335,FGSG_12415,FGSG_12471,FGSG_12505,FGSG_12700,FGSG_12704,FGSG_13382,FGSG_13493,FGSG_13650,FGSG_13807,FGSG_13979,FGSG_13980,FGSG_13993"
low_light_vs_black_light,GO:0005975,carbohydrate metabolic process,BP,68,167,1307,6170,35.38,1.92,5.278445789639371e-09,3.1318778351860266e-07,"FGSG_00068,FGSG_00314,FGSG_00590,FGSG_00807,FGSG_01235,FGSG_01250,FGSG_01283,FGSG_01596,FGSG_01621,FGSG_01803,FGSG_01829,FGSG_01836,FGSG_02067,FGSG_02262,FGSG_02339,FGSG_02441,FGSG_02651,FGSG_02834,FGSG_02920,FGSG_03127,FGSG_03212,FGSG_03288,FGSG_03343,FGSG_03462,FGSG_03529,FGSG_03544,FGSG_03842,FGSG_03858,FGSG_03918,FGSG_04146,FGSG_04768,FGSG_05292,FGSG_05330,FGSG_05824,FGSG_06117,FGSG_06119,FGSG_06486,FGSG_06553,FGSG_07351,FGSG_07492,FGSG_07569,FGSG_07617,FGSG_08396,FGSG_08398,FGSG_08534,FGSG_08623,FGSG_08797,FGSG_09082,FGSG_09226,FGSG_09289,FGSG_09366,FGSG_10444,FGSG_10708,FGSG_10728,FGSG_11011,FGSG_11056,FGSG_11184,FGSG_11366,FGSG_11560,FGSG_11777,FGSG_11903,FGSG_11904,FGSG_12461,FGSG_12488,FGSG_13246,FGSG_13805,FGSG_13861,FGSG_13883"
low_light_vs_black_light,GO:0003333,amino acid transmembrane transport,BP,24,53,1307,6170,11.23,2.14,6.923079061009409e-05,0.0030807701821491,"FGSG_00116,FGSG_00613,FGSG_01990,FGSG_02145,FGSG_02229,FGSG_02264,FGSG_02272,FGSG_03799,FGSG_03808,FGSG_04182,FGSG_04637,FGSG_04879,FGSG_04943,FGSG_05574,FGSG_05859,FGSG_06473,FGSG_06508,FGSG_08221,FGSG_08347,FGSG_09053,FGSG_12342,FGSG_12379,FGSG_12511,FGSG_13562"
low_light_vs_black_light,GO:0006357,regulation of transcription by RNA polymerase II,BP,132,477,1307,6170,101.04,1.31,0.0002726295346906,0.0097056114349887,"FGSG_00011,FGSG_00052,FGSG_00102,FGSG_00147,FGSG_00404,FGSG_00586,FGSG_01638,FGSG_01724,FGSG_01735,FGSG_01795,FGSG_01808,FGSG_01853,FGSG_02167,FGSG_02268,FGSG_02320,FGSG_02368,FGSG_02410,FGSG_02737,FGSG_02805,FGSG_02825,FGSG_02874,FGSG_02919,FGSG_02923,FGSG_02969,FGSG_03044,FGSG_03214,FGSG_03218,FGSG_03322,FGSG_03361,FGSG_03487,FGSG_03508,FGSG_03578,FGSG_03649,FGSG_03683,FGSG_03727,FGSG_03873,FGSG_03878,FGSG_03892,FGSG_03912,FGSG_03919,FGSG_04191,FGSG_04459,FGSG_04480,FGSG_04502,FGSG_04629,FGSG_04643,FGSG_04666,FGSG_04671,FGSG_04683,FGSG_04725,FGSG_04747,FGSG_04830,FGSG_04974,FGSG_04987,FGSG_05068,FGSG_05157,FGSG_05242,FGSG_05309,FGSG_05725,FGSG_05772,FGSG_05926,FGSG_06056,FGSG_06382,FGSG_06448,FGSG_06503,FGSG_06699,FGSG_06700,FGSG_07192,FGSG_07368,FGSG_07575,FGSG_07589,FGSG_07638,FGSG_07693,FGSG_07831,FGSG_07889,FGSG_07921,FGSG_08064,FGSG_08070,FGSG_08080,FGSG_08321,FGSG_08341,FGSG_08411,FGSG_08828,FGSG_09064,FGSG_09111,FGSG_09123,FGSG_09178,FGSG_09318,FGSG_09333,FGSG_09726,FGSG_10536,FGSG_10696,FGSG_10914,FGSG_11051,FGSG_11186,FGSG_11262,FGSG_11364,FGSG_11387,FGSG_11462,FGSG_11551,FGSG_11561,FGSG_11610,FGSG_11653,FGSG_11709,FGSG_11720,FGSG_11750,FGSG_11891,FGSG_12048,FGSG_12049,FGSG_12098,FGSG_12117,FGSG_12134,FGSG_12173,FGSG_12282,FGSG_12398,FGSG_12528,FGSG_12572,FGSG_12611,FGSG_12614,FGSG_12631,FGSG_12632,FGSG_12714,FGSG_12741,FGSG_12782,FGSG_12798,FGSG_12813,FGSG_12814,FGSG_12926,FGSG_13110,FGSG_13135,FGSG_13455,FGSG_13828"
low_light_vs_black_light,GO:0032259,methylation,BP,48,147,1307,6170,31.14,1.54,0.0007058543474161,0.0209403456400123,"FGSG_00657,FGSG_00735,FGSG_01744,FGSG_01745,FGSG_01767,FGSG_02118,FGSG_02326,FGSG_02419,FGSG_02615,FGSG_02843,FGSG_03189,FGSG_03260,FGSG_03568,FGSG_03787,FGSG_03821,FGSG_03833,FGSG_03835,FGSG_03951,FGSG_04092,FGSG_04160,FGSG_04589,FGSG_04596,FGSG_05593,FGSG_05740,FGSG_05792,FGSG_06199,FGSG_06290,FGSG_07660,FGSG_07880,FGSG_08350,FGSG_08391,FGSG_08624,FGSG_09239,FGSG_09351,FGSG_09383,FGSG_10190,FGSG_10236,FGSG_10741,FGSG_10843,FGSG_11074,FGSG_11478,FGSG_11864,FGSG_11988,FGSG_13004,FGSG_13006,FGSG_13459,FGSG_13708,FGSG_14015"
low_light_vs_black_light,GO:0006032,chitin catabolic process,BP,9,15,1307,6170,3.18,2.83,0.0012010812486909,0.030541780323855,"FGSG_03212,FGSG_03591,FGSG_04143,FGSG_07492,FGSG_07569,FGSG_10443,FGSG_10728,FGSG_11903,FGSG_11904"
low_light_vs_black_light,GO:0006351,DNA-templated transcription,BP,84,297,1307,6170,62.91,1.34,0.0018067075981961,0.0401992440598642,"FGSG_00052,FGSG_00147,FGSG_00404,FGSG_00657,FGSG_00713,FGSG_01638,FGSG_01724,FGSG_01795,FGSG_01808,FGSG_02368,FGSG_02825,FGSG_02835,FGSG_02969,FGSG_03225,FGSG_03272,FGSG_03649,FGSG_03727,FGSG_03873,FGSG_03878,FGSG_03892,FGSG_04643,FGSG_04666,FGSG_04683,FGSG_04725,FGSG_04727,FGSG_04782,FGSG_04830,FGSG_04974,FGSG_04987,FGSG_05157,FGSG_05242,FGSG_05309,FGSG_05772,FGSG_05827,FGSG_05926,FGSG_06380,FGSG_06448,FGSG_06503,FGSG_07192,FGSG_07368,FGSG_07505,FGSG_07575,FGSG_07638,FGSG_07674,FGSG_07889,FGSG_08064,FGSG_08070,FGSG_08341,FGSG_08828,FGSG_09064,FGSG_09111,FGSG_09123,FGSG_09178,FGSG_09318,FGSG_09333,FGSG_09368,FGSG_10166,FGSG_10536,FGSG_10696,FGSG_10914,FGSG_11051,FGSG_11364,FGSG_11387,FGSG_11388,FGSG_11462,FGSG_11520,FGSG_11551,FGSG_11552,FGSG_11624,FGSG_11653,FGSG_11709,FGSG_11750,FGSG_12117,FGSG_12398,FGSG_12631,FGSG_12714,FGSG_12741,FGSG_12798,FGSG_12813,FGSG_12814,FGSG_12926,FGSG_13135,FGSG_13455,FGSG_13828"
low_light_vs_black_light,GO:0008152,metabolic process,BP,60,211,1307,6170,44.7,1.34,0.0068173325234843,0.1348316876866913,"FGSG_01379,FGSG_01693,FGSG_01746,FGSG_01766,FGSG_01823,FGSG_02071,FGSG_02218,FGSG_02342,FGSG_02873,FGSG_02931,FGSG_02997,FGSG_03069,FGSG_03160,FGSG_03244,FGSG_03245,FGSG_03257,FGSG_03304,FGSG_03372,FGSG_03514,FGSG_03589,FGSG_03645,FGSG_03746,FGSG_03747,FGSG_03785,FGSG_03808,FGSG_03856,FGSG_03922,FGSG_03989,FGSG_04346,FGSG_04588,FGSG_04616,FGSG_04657,FGSG_04874,FGSG_04930,FGSG_05087,FGSG_05128,FGSG_06084,FGSG_06381,FGSG_06462,FGSG_07275,FGSG_08053,FGSG_09031,FGSG_09138,FGSG_09521,FGSG_10126,FGSG_10177,FGSG_10617,FGSG_10670,FGSG_10990,FGSG_11070,FGSG_11295,FGSG_12234,FGSG_12379,FGSG_12444,FGSG_12632,FGSG_13153,FGSG_13299,FGSG_13394,FGSG_13398,FGSG_13860"
low_light_vs_black_light,GO:0009395,phospholipid catabolic process,BP,6,10,1307,6170,2.12,2.83,0.0085150189161397,0.1515673367072881,"FGSG_02073,FGSG_02823,FGSG_02824,FGSG_05937,FGSG_08150,FGSG_10693"
