contrast,GO,go_term_name,namespace,n_study,n_bg,study_size,bg_size,expected,fold_enrichment,pvalue,padj,study_genes
low_light_vs_dark_light,GO:0055114,obsolete oxidation-reduction process,BP,106,951,272,6052,42.74,2.48,1.4372010931922001e-21,4.88648371685348e-20,"FGSG_00066,FGSG_00145,FGSG_00231,FGSG_00531,FGSG_00578,FGSG_00805,FGSG_00979,FGSG_01255,FGSG_01284,FGSG_01745,FGSG_01767,FGSG_02033,FGSG_02034,FGSG_02271,FGSG_02273,FGSG_02291,FGSG_02330,FGSG_02367,FGSG_02392,FGSG_02432,FGSG_02433,FGSG_02668,FGSG_02792,FGSG_02829,FGSG_02881,FGSG_02982,FGSG_03026,FGSG_03065,FGSG_03067,FGSG_03071,FGSG_03125,FGSG_03175,FGSG_03256,FGSG_03258,FGSG_03370,FGSG_03593,FGSG_03626,FGSG_03657,FGSG_03686,FGSG_03692,FGSG_03775,FGSG_03898,FGSG_03984,FGSG_04143,FGSG_04194,FGSG_04196,FGSG_04510,FGSG_04686,FGSG_04732,FGSG_04886,FGSG_04911,FGSG_04922,FGSG_05284,FGSG_05334,FGSG_05678,FGSG_05695,FGSG_05831,FGSG_06068,FGSG_06538,FGSG_06548,FGSG_06554,FGSG_06598,FGSG_06733,FGSG_07483,FGSG_07556,FGSG_07596,FGSG_07628,FGSG_07758,FGSG_07783,FGSG_08066,FGSG_08125,FGSG_08131,FGSG_08402,FGSG_08579,FGSG_08980,FGSG_09040,FGSG_09059,FGSG_09240,FGSG_09373,FGSG_09627,FGSG_09639,FGSG_10609,FGSG_10655,FGSG_10677,FGSG_10960,FGSG_10998,FGSG_11032,FGSG_11081,FGSG_11215,FGSG_11232,FGSG_11261,FGSG_11282,FGSG_11399,FGSG_11420,FGSG_11465,FGSG_11528,FGSG_11585,FGSG_12082,FGSG_12172,FGSG_12206,FGSG_12368,FGSG_12369,FGSG_12599,FGSG_13433,FGSG_13459,FGSG_13561"
low_light_vs_dark_light,GO:0042744,hydrogen peroxide catabolic process,BP,5,7,272,6052,0.31,15.89,3.4489321372252825e-06,5.86318463328298e-05,"FGSG_02881,FGSG_05695,FGSG_06554,FGSG_06733,FGSG_12369"
low_light_vs_dark_light,GO:0098869,cellular oxidant detoxification,BP,9,37,272,6052,1.66,5.41,2.6877808045081927e-05,0.0003046151578442,"FGSG_02668,FGSG_02881,FGSG_03708,FGSG_05695,FGSG_06554,FGSG_06733,FGSG_08911,FGSG_10960,FGSG_12369"
low_light_vs_dark_light,GO:0006979,response to oxidative stress,BP,6,17,272,6052,0.76,7.85,6.347068059933285e-05,0.0005395007850943,"FGSG_02668,FGSG_02881,FGSG_06554,FGSG_06733,FGSG_10960,FGSG_12369"
low_light_vs_dark_light,GO:0035434,copper ion transmembrane transport,BP,3,5,272,6052,0.22,13.35,0.0008394390643264,0.0057081856374197,"FGSG_00773,FGSG_03693,FGSG_08697"
low_light_vs_dark_light,GO:0042819,vitamin B6 biosynthetic process,BP,2,2,272,6052,0.09,22.25,0.002012853293819,0.0110452359026172,"FGSG_05035,FGSG_05036"
low_light_vs_dark_light,GO:0008152,metabolic process,BP,19,207,272,6052,9.3,2.04,0.0022740191564211,0.0110452359026172,"FGSG_01496,FGSG_01571,FGSG_01746,FGSG_02071,FGSG_03080,FGSG_03081,FGSG_03244,FGSG_03245,FGSG_03257,FGSG_03304,FGSG_03372,FGSG_03514,FGSG_03914,FGSG_03922,FGSG_05048,FGSG_09031,FGSG_11659,FGSG_11660,FGSG_13394"
low_light_vs_dark_light,GO:0006629,lipid metabolic process,BP,6,34,272,6052,1.53,3.93,0.0036218899098324,0.0153930321167878,"FGSG_02289,FGSG_03062,FGSG_07890,FGSG_10184,FGSG_11429,FGSG_12338"
low_light_vs_dark_light,GO:0045493,xylan catabolic process,BP,4,17,272,6052,0.76,5.24,0.0059715275327595,0.0209546484622981,"FGSG_05663,FGSG_06549,FGSG_11487,FGSG_12047"
low_light_vs_dark_light,GO:0006855,xenobiotic transmembrane transport,BP,3,9,272,6052,0.4,7.42,0.0061631319006759,0.0209546484622981,"FGSG_02207,FGSG_03080,FGSG_03081"
low_light_vs_dark_light,GO:0003333,amino acid transmembrane transport,BP,7,52,272,6052,2.34,3.0,0.0080913946687694,0.0250097653398327,"FGSG_02208,FGSG_02264,FGSG_05859,FGSG_06508,FGSG_08221,FGSG_09053,FGSG_12511"
low_light_vs_dark_light,GO:0000271,polysaccharide biosynthetic process,BP,2,5,272,6052,0.22,8.9,0.0183911497414324,0.0480999300929773,"FGSG_04143,FGSG_06548"
low_light_vs_dark_light,GO:0042823,pyridoxal 5'-phosphate biosynthetic process,BP,2,5,272,6052,0.22,8.9,0.0183911497414324,0.0480999300929773,"FGSG_05035,FGSG_05036"
low_light_vs_dark_light,GO:0006032,chitin catabolic process,BP,3,14,272,6052,0.63,4.77,0.022610218485826,0.0549105306084347,"FGSG_03212,FGSG_04143,FGSG_10443"
low_light_vs_dark_light,GO:0005975,carbohydrate metabolic process,BP,13,160,272,6052,7.19,1.81,0.0273293644203193,0.0619465593527239,"FGSG_02339,FGSG_03212,FGSG_03247,FGSG_03288,FGSG_03332,FGSG_03544,FGSG_04615,FGSG_05330,FGSG_05968,FGSG_06553,FGSG_07944,FGSG_09947,FGSG_10708"
low_light_vs_dark_light,GO:0009308,amine metabolic process,BP,2,7,272,6052,0.31,6.36,0.0363866825492258,0.0773217004171049,"FGSG_02271,FGSG_10677"
low_light_vs_dark_light,GO:0008643,carbohydrate transport,BP,4,33,272,6052,1.48,2.7,0.0587027695388487,0.1110578208388178,"FGSG_02641,FGSG_03083,FGSG_07543,FGSG_07582"
low_light_vs_dark_light,GO:0042026,protein refolding,BP,2,9,272,6052,0.4,4.94,0.0587953169146683,0.1110578208388178,"FGSG_01015,FGSG_08137"
low_light_vs_dark_light,GO:0009405,obsolete pathogenesis,BP,2,11,272,6052,0.49,4.05,0.0847081564545447,0.1515830168133958,"FGSG_00062,FGSG_11487"
low_light_vs_dark_light,GO:0009058,biosynthetic process,BP,4,38,272,6052,1.71,2.34,0.0892158702848347,0.151666979484219,"FGSG_03066,FGSG_03633,FGSG_03965,FGSG_03981"
low_light_vs_dark_light,GO:0055085,transmembrane transport,BP,25,436,272,6052,19.6,1.28,0.121473754228223,0.1899015393719007,"FGSG_02281,FGSG_02641,FGSG_02870,FGSG_02966,FGSG_03032,FGSG_03083,FGSG_03369,FGSG_03891,FGSG_04215,FGSG_04440,FGSG_05612,FGSG_07543,FGSG_07582,FGSG_07666,FGSG_07720,FGSG_08312,FGSG_08749,FGSG_09060,FGSG_09595,FGSG_09804,FGSG_11079,FGSG_12471,FGSG_12704,FGSG_13493,FGSG_13993"
low_light_vs_dark_light,GO:0006520,amino acid metabolic process,BP,2,14,272,6052,0.63,3.18,0.1284628060456975,0.1899015393719007,"FGSG_00805,FGSG_03981"
low_light_vs_dark_light,GO:0009116,nucleoside metabolic process,BP,2,14,272,6052,0.63,3.18,0.1284628060456975,0.1899015393719007,"FGSG_08155,FGSG_13788"
low_light_vs_dark_light,GO:0016311,dephosphorylation,BP,3,42,272,6052,1.89,1.59,0.2920361786184934,0.4137179197095323,"FGSG_02883,FGSG_06630,FGSG_07783"
low_light_vs_dark_light,GO:0032259,methylation,BP,8,144,272,6052,6.47,1.24,0.3202792000854987,0.4355797121162783,"FGSG_01744,FGSG_01745,FGSG_01767,FGSG_02984,FGSG_05740,FGSG_07660,FGSG_11729,FGSG_13459"
low_light_vs_dark_light,GO:0090502,"obsolete RNA phosphodiester bond hydrolysis, endonucleolytic",BP,2,29,272,6052,1.3,1.53,0.3770421298340761,0.4930550928599457,"FGSG_02686,FGSG_11190"
