gene_id,product,black,dark,low,black_dir,dark_dir,low_dir,n_treatments,region
FGSG_00006,uncharacterized protein,1,0,0,down,,,1,B
FGSG_00007,uncharacterized protein,1,0,0,down,,,1,B
FGSG_00012,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_00015,uncharacterized protein,1,1,1,down,down,down,3,BDL
FGSG_00036,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00043,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00044,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00047,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00048,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00049,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00052,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00053,aryl-alcohol dehydrogenase,0,1,1,,up,up,2,DL
FGSG_00054,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_00059,uncharacterized protein,0,1,0,,up,,1,D
FGSG_00060,uncharacterized protein,0,1,0,,up,,1,D
FGSG_00062,uncharacterized protein,0,1,0,,up,,1,D
FGSG_00065,uncharacterized protein,1,0,0,down,,,1,B
FGSG_00066,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00067,uncharacterized protein,0,1,0,,down,,1,D
FGSG_00068,alpha-galactosidase C precursor,1,1,1,down,up,up,3,BDL
FGSG_00070,uncharacterized protein,0,0,1,,,up,1,L
FGSG_00071,uncharacterized protein,1,0,0,down,,,1,B
FGSG_00076,uncharacterized protein,0,1,0,,up,,1,D
FGSG_00084,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00085,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00095,uncharacterized protein,0,1,1,,up,up,2,DL
FGSG_00097,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00108,uncharacterized protein,0,1,1,,down,down,2,DL
FGSG_00109,uncharacterized protein,0,0,1,,,down,1,L
FGSG_00136,uncharacterized protein,1,1,1,up,down,down,3,BDL
FGSG_00138,uncharacterized protein,1,0,0,down,,,1,B
