sample	condition	R1	R2
B10_S1	black_light	black_light/B10_S1_R1.fastq	black_light/B10_S1_R2.fastq
B11_S2	black_light	black_light/B11_S2_R1.fastq	black_light/B11_S2_R2.fastq
B12_S3	black_light	black_light/B12_S3_R1.fastq	black_light/B12_S3_R2.fastq
DARK1	dark_light	dark_light/DARK1_R1.fastq	dark_light/DARK1_R2.fastq
DARK2	dark_light	dark_light/DARK2_R1.fastq	dark_light/DARK2_R2.fastq
DARK3	dark_light	dark_light/DARK3_R1.fastq	dark_light/DARK3_R2.fastq
HIGH1	high_light	high_light/HIGH1_R1.fastq	high_light/HIGH1_R2.fastq
HIGH2	high_light	high_light/HIGH2_R1.fastq	high_light/HIGH2_R2.fastq
HIGH3	high_light	high_light/HIGH3_R1.fastq	high_light/HIGH3_R2.fastq
LOW1	low_light	low_light/LOW1_R1.fastq	low_light/LOW1_R2.fastq
LOW2	low_light	low_light/LOW2_R1.fastq	low_light/LOW2_R2.fastq
LOW3	low_light	low_light/LOW3_R1.fastq	low_light/LOW3_R2.fastq
