gene_id,FGSG_id,product,fgsg_shared_with_other_gene
FGRAM000v1_000001,,telomere-associated helicase [Fusarium mundagurra],False
FGRAM000v1_000002,,Mis12-Mtw1 protein family-domain-containing protein [Fusarium oxysporum],False
FGRAM000v1_000003,,Mis12-Mtw1 protein family-domain-containing protein [Fusarium oxysporum],False
FGRAM000v1_000004,FGSG_11582,hypothetical protein FGSG_11582 [Fusarium graminearum PH-1],False
FGRAM000v1_000005,,AAA-23 domain-containing protein [Fusarium keratoplasticum],False
FGRAM000v1_000006,,nucleoside phosphorylase domain-containing protein [Fusarium oxysporum Fo47],False
FGRAM000v1_000007,,Cytochrome P450 55A2 [Fusarium keratoplasticum],False
FGRAM000v1_000008,,general substrate transporter [Fusarium redolens],False
FGRAM000v1_000009,,ankyrin repeat-containing domain protein [Fusarium solani],False
FGRAM000v1_000010,,ankyrin unc44 [Fusarium albosuccineum],False
FGRAM000v1_000011,,putative phosphatase regulatory subunit-domain-containing protein [Fusarium oxysporum],False
FGRAM000v1_000012,,mitochondrial carrier domain-containing protein [Fusarium flagelliforme],False
FGRAM000v1_000013,FGSG_11642,hypothetical protein FGSG_11642 [Fusarium graminearum PH-1],False
FGRAM000v1_000014,,camp-regulated phosphoprotein family protein Igo1 [Fusarium oxysporum],False
FGRAM000v1_000015,,ribose-phosphate pyrophosphokinase [Fusarium mundagurra],False
FGRAM000v1_13347,FGSG_00001,hypothetical protein FGSG_00001 [Fusarium graminearum PH-1],False
FGRAM000v1_000016,,related to tenascin X precursor [Fusarium fujikuroi],False
FGRAM000v1_000017,,ankyrin repeat [Fusarium longipes],False
FGRAM000v1_000018,FGSG_00003,hypothetical protein FGSG_00003 [Fusarium graminearum PH-1],False
FGRAM000v1_000019,,"unnamed protein product, partial [Fusarium graminearum]",False
FGRAM000v1_000020,FGSG_00004,hypothetical protein FGSG_00004 [Fusarium graminearum PH-1],False
FGRAM000v1_000021,FGSG_00005,hypothetical protein FGSG_00005 [Fusarium graminearum PH-1],False
FGRAM000v1_000022,,related to gEgh 16 protein [Fusarium oxysporum],False
FGRAM000v1_000023,,cytochrome P450 [Ilyonectria robusta],False
FGRAM000v1_000024,FGSG_11645,hypothetical protein FGSG_11645 [Fusarium graminearum PH-1],False
FGRAM000v1_13348,FGSG_11646,hypothetical protein FGSG_11646 [Fusarium graminearum PH-1],False
FGRAM000v1_000025,,Ff.00g021360.m01.CDS01 [Fusarium sp. VM40],False
FGRAM000v1_000026,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000027,,short chain type dehydrogenase [Fusarium sporotrichioides],False
FGRAM000v1_000028,,Bypass of stop codon protein 6 [Fusarium oxysporum f. sp. albedinis],False
FGRAM000v1_000029,,cytochrome P450 [Fusarium tricinctum],False
FGRAM000v1_000030,,High-affinity glucose transporter [Fusarium culmorum],False
FGRAM000v1_000031,FGSG_11648,hypothetical protein FGSG_11648 [Fusarium graminearum PH-1],False
FGRAM000v1_000032,,kinase-like domain-containing protein [Fusarium flagelliforme],False
FGRAM000v1_000033,,polysaccharide synthase [Fusarium pseudoanthophilum],False
FGRAM000v1_000034,,mfs sugar transporter [Fusarium langsethiae],False
FGRAM000v1_13349,FGSG_11650,hypothetical protein FGSG_11650 [Fusarium graminearum PH-1],False
FGRAM000v1_000035,,ribonucleoside-diphosphate reductase large subunit [Fusarium tjaetaba],False
FGRAM000v1_000036,,Carboxypeptidase S [Fusarium culmorum],False
FGRAM000v1_000037,,alkanal monooxygenase [Fusarium langsethiae],False
FGRAM000v1_000038,,P-loop containing nucleoside triphosphate hydrolase protein [Ilyonectria robusta],False
FGRAM000v1_000039,,Ff.00g035840.m01.CDS01 [Fusarium sp. VM40],False
FGRAM000v1_000040,FGSG_11651,hypothetical protein FGSG_11651 [Fusarium graminearum PH-1],False
FGRAM000v1_000041,FGSG_11652,hypothetical protein FGSG_11652 [Fusarium graminearum PH-1],False
FGRAM000v1_000042,,Spherulin-1A [Fusarium culmorum],False
FGRAM000v1_000043,,beta-lactamase/transpeptidase-like protein [Fusarium flagelliforme],False
FGRAM000v1_000044,FGSG_00025,hypothetical protein FGSG_00025 [Fusarium graminearum PH-1],False
FGRAM000v1_000045,,Riboflavin transporter MCH5 [Fusarium culmorum],False
FGRAM000v1_000046,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000047,,metalloprotease MEP1 [Fusarium tjaetaba],False
FGRAM000v1_000048,,cfem domain-containing [Fusarium sporotrichioides],False
FGRAM000v1_000049,,hypothetical protein HG531_002871 [Fusarium graminearum],False
FGRAM000v1_000050,FGSG_00031,hypothetical protein FGSG_00031 [Fusarium graminearum PH-1],False
FGRAM000v1_000051,,AB hydrolase superfamily protein YdjP [Fusarium culmorum],False
FGRAM000v1_000052,,unnamed protein product [Fusarium graminearum],False
FGRAM000v1_000053,,General alpha-glucoside permease [Fusarium culmorum],False
FGRAM000v1_000054,,putative sulfatase PB10D8.02c [Fusarium culmorum],False
FGRAM000v1_000055,,alkaline-phosphatase-like protein [Fusarium venenatum],False
FGRAM000v1_000056,FGSG_00036,RecName: Full=Fatty acid synthase subunit alpha,False
FGRAM000v1_000057,FGSG_15680,RecName: Full=Cytochrome P450 monooxygenase FGSG_15680,False
FGRAM000v1_000058,FGSG_11656,RecName: Full=Fatty acid synthase subunit beta,False
FGRAM000v1_000059,FGSG_00038,RecName: Full=Gramillins biosynthetic cluster protein FGSG_00038 [Fusarium graminearum PH-1],False
FGRAM000v1_000060,FGSG_00039,RecName: Full=Gramillins biosynthetic cluster protein FGSG_00039 [Fusarium graminearum PH-1],False
FGRAM000v1_000061,,TPR domain protein [Fusarium subglutinans],False
FGRAM000v1_000062,,ankyrin repeat domain protein [Fusarium subglutinans],False
FGRAM000v1_000063,,RecName: Full=Transcription factor GRA2,False
FGRAM000v1_000064,,RecName: Full=Nonribosomal peptide synthetase GRA1,False
FGRAM000v1_000065,,RecName: Full=Nonribosomal peptide synthetase GRA1,False
FGRAM000v1_000066,FGSG_00043,RecName: Full=Thioredoxin reductase FGSG_00043,False
