XM_011317260.1	FGSG_11579
XM_011317261.1	FGSG_11580
XM_011317262.1	FGSG_11581
XM_011317263.1	FGSG_11582
XM_011317264.1	FGSG_14022
XM_011317265.1	FGSG_14023
XM_011317266.1	FGSG_11584
XM_011317267.1	FGSG_11585
XM_011317268.1	FGSG_11606
XM_011317269.1	FGSG_14029
XM_011317270.1	FGSG_14030
XM_011317271.1	FGSG_11641
XM_011317272.1	FGSG_11605
XM_011317273.1	FGSG_11642
XM_011317274.1	FGSG_11643
XM_011317275.1	FGSG_11600
XM_011317276.1	FGSG_11601
XM_011317277.1	FGSG_00001
XM_011317278.1	FGSG_00002
XM_011317279.1	FGSG_11644
XM_011317280.1	FGSG_00003
XM_011317281.1	FGSG_00004
XM_011317282.1	FGSG_00005
XM_011317283.1	FGSG_00006
XM_011317284.1	FGSG_00007
XM_011317285.1	FGSG_11645
XM_011317286.1	FGSG_11646
XM_011317287.1	FGSG_11647
XM_011317288.1	FGSG_00009
XM_011317289.1	FGSG_00010
XM_011317290.1	FGSG_00011
XM_011317291.1	FGSG_00012
XM_011317292.1	FGSG_00013
XM_011317293.1	FGSG_11648
XM_011317294.1	FGSG_11649
XM_011317295.1	FGSG_00014
XM_011317296.1	FGSG_00015
XM_011317297.1	FGSG_11650
XM_011317298.1	FGSG_00016
XM_011317299.1	FGSG_00017
XM_011317300.1	FGSG_00018
XM_011317301.1	FGSG_00019
XM_011317302.1	FGSG_00020
XM_011317303.1	FGSG_00021
XM_011317304.1	FGSG_11651
XM_011317305.1	FGSG_11652
XM_011317306.1	FGSG_00023
XM_011317307.1	FGSG_00024
XM_011317308.1	FGSG_00025
XM_011317309.1	FGSG_00026
XM_011317310.1	FGSG_00027
XM_011317311.1	FGSG_00028
XM_011317312.1	FGSG_00029
XM_011317313.1	FGSG_00030
XM_011317314.1	FGSG_00031
XM_011317315.1	FGSG_00032
XM_011317316.1	FGSG_00033
XM_011317317.1	FGSG_00034
XM_011317318.1	FGSG_11653
XM_011317319.1	FGSG_11654
XM_011317320.1	FGSG_00036
XM_011317321.1	FGSG_11655
XM_011317322.1	FGSG_11656
XM_011317323.1	FGSG_00038
XM_011317324.1	FGSG_00039
XM_011317325.1	FGSG_00040
XM_011317326.1	FGSG_11657
XM_011317327.1	FGSG_11658
XM_011317328.1	FGSG_11659
XM_011317329.1	FGSG_11660
XM_011317330.1	FGSG_00043
XM_011317331.1	FGSG_00044
XM_011317332.1	FGSG_00045
XM_011317333.1	FGSG_00046
XM_011317334.1	FGSG_00047
XM_011317335.1	FGSG_00048
XM_011317336.1	FGSG_00049
XM_011317337.1	FGSG_11661
XM_011317338.1	FGSG_00050
XM_011317339.1	FGSG_00051
XM_011317340.1	FGSG_00052
XM_011317341.1	FGSG_00053
XM_011317342.1	FGSG_00054
XM_011317343.1	FGSG_00055
XM_011317344.1	FGSG_00056
XM_011317345.1	FGSG_11662
XM_011317346.1	FGSG_11663
XM_011317347.1	FGSG_11664
XM_011317348.1	FGSG_11665
XM_011317349.1	FGSG_11666
XM_011317350.1	FGSG_11667
XM_011317351.1	FGSG_00058
XM_011317352.1	FGSG_00059
XM_011317353.1	FGSG_00060
XM_011317354.1	FGSG_00061
XM_011317355.1	FGSG_00062
XM_011317356.1	FGSG_00063
XM_011317357.1	FGSG_00064
XM_011317358.1	FGSG_11668
XM_011317359.1	FGSG_00065
XM_011317360.1	FGSG_00066
XM_011317361.1	FGSG_00067
XM_011317362.1	FGSG_00068
XM_011317363.1	FGSG_00069
XM_011317364.1	FGSG_00070
XM_011317365.1	FGSG_00071
XM_011317366.1	FGSG_00072
XM_011317367.1	FGSG_00073
XM_011317368.1	FGSG_00074
XM_011317369.1	FGSG_00075
XM_011317370.1	FGSG_00076
XM_011317371.1	FGSG_00077
XM_011317372.1	FGSG_00078
XM_011317373.1	FGSG_00079
XM_011317374.1	FGSG_00080
XM_011317375.1	FGSG_00081
XM_011317376.1	FGSG_00082
XM_011317377.1	FGSG_00083
XM_011317378.1	FGSG_00084
XM_011317379.1	FGSG_00085
XM_011317380.1	FGSG_11669
XM_011317381.1	FGSG_11670
XM_011317382.1	FGSG_00087
XM_011317383.1	FGSG_11671
XM_011317384.1	FGSG_11672
XM_011317385.1	FGSG_00089
XM_011317386.1	FGSG_00090
XM_011317387.1	FGSG_00091
XM_011317388.1	FGSG_11673
XM_011317389.1	FGSG_00092
XM_011317390.1	FGSG_00093
XM_011317391.1	FGSG_00094
XM_011317392.1	FGSG_00095
XM_011317393.1	FGSG_00096
XM_011317394.1	FGSG_00097
XM_011317395.1	FGSG_11674
XM_011317396.1	FGSG_11675
XM_011317397.1	FGSG_00099
XM_011317398.1	FGSG_00100
XM_011317399.1	FGSG_00101
XM_011317400.1	FGSG_00102
XM_011317401.1	FGSG_00103
XM_011317402.1	FGSG_00104
XM_011317403.1	FGSG_00105
XM_011317404.1	FGSG_11676
XM_011317405.1	FGSG_11677
XM_011317406.1	FGSG_11678
XM_011317407.1	FGSG_00107
XM_011317408.1	FGSG_00108
XM_011317409.1	FGSG_00109
XM_011317410.1	FGSG_00110
XM_011317411.1	FGSG_00111
XM_011317412.1	FGSG_00112
XM_011317413.1	FGSG_11679
XM_011317414.1	FGSG_00114
XM_011317415.1	FGSG_00115
XM_011317416.1	FGSG_00116
XM_011317417.1	FGSG_00117
XM_011317418.1	FGSG_00118
XM_011317419.1	FGSG_00119
XM_011317420.1	FGSG_00120
XM_011317421.1	FGSG_00121
XM_011317422.1	FGSG_00122
XM_011317423.1	FGSG_00123
XM_011317424.1	FGSG_00124
XM_011317425.1	FGSG_00125
XM_011317426.1	FGSG_00126
XM_011317427.1	FGSG_00127
XM_011317428.1	FGSG_00128
XM_011317429.1	FGSG_00129
XM_011317430.1	FGSG_00130
XM_011317431.1	FGSG_00131
XM_011317432.1	FGSG_00132
XM_011317433.1	FGSG_11680
XM_011317434.1	FGSG_11681
XM_011317435.1	FGSG_00134
XM_011317436.1	FGSG_00135
XM_011317437.1	FGSG_00136
