gene_id,chrom,start,end,strand,biotype,product
FGSG_11579,NC_026474.1,1517,2509,+,protein_coding,uncharacterized protein
FGSG_11580,NC_026474.1,3127,3716,-,protein_coding,uncharacterized protein
FGSG_11581,NC_026474.1,6045,8153,+,protein_coding,uncharacterized protein
FGSG_11582,NC_026474.1,8754,9110,+,protein_coding,uncharacterized protein
FGSG_14022,NC_026474.1,9663,10997,-,protein_coding,uncharacterized protein
FGSG_14023,NC_026474.1,11518,13070,-,protein_coding,uncharacterized protein
FGSG_11584,NC_026474.1,13800,14132,+,protein_coding,uncharacterized protein
FGSG_11585,NC_026474.1,15133,16722,+,protein_coding,cytochrome P450 55A2
FGSG_11606,NC_026474.1,23585,24359,+,protein_coding,uncharacterized protein
FGSG_14029,NC_026474.1,27560,28712,+,protein_coding,uncharacterized protein
FGSG_14030,NC_026474.1,29034,29606,+,protein_coding,uncharacterized protein
FGSG_11641,NC_026474.1,33093,33758,+,protein_coding,uncharacterized protein
FGSG_11605,NC_026474.1,37592,38903,-,protein_coding,uncharacterized protein
FGSG_11642,NC_026474.1,41794,42519,+,protein_coding,uncharacterized protein
FGSG_11643,NC_026474.1,43188,43647,+,protein_coding,uncharacterized protein
FGSG_11600,NC_026474.1,44730,46697,+,protein_coding,uncharacterized protein
FGSG_11601,NC_026474.1,48630,49480,-,protein_coding,uncharacterized protein
FGSG_00001,NC_026474.1,50001,50655,-,protein_coding,uncharacterized protein
FGSG_00002,NC_026474.1,51198,53396,+,protein_coding,uncharacterized protein
FGSG_11644,NC_026474.1,53538,55460,-,protein_coding,uncharacterized protein
FGSG_00003,NC_026474.1,57807,61189,+,protein_coding,uncharacterized protein
FGSG_00004,NC_026474.1,62695,63490,-,protein_coding,uncharacterized protein
FGSG_00005,NC_026474.1,64956,67145,+,protein_coding,uncharacterized protein
FGSG_00006,NC_026474.1,68474,69679,+,protein_coding,uncharacterized protein
FGSG_00007,NC_026474.1,70246,71768,-,protein_coding,uncharacterized protein
FGSG_11645,NC_026474.1,73688,75736,+,protein_coding,uncharacterized protein
FGSG_11646,NC_026474.1,75830,76343,+,protein_coding,uncharacterized protein
FGSG_11647,NC_026474.1,76814,77164,+,protein_coding,uncharacterized protein
FGSG_00009,NC_026474.1,77920,78683,-,protein_coding,uncharacterized protein
FGSG_00010,NC_026474.1,79384,80149,-,protein_coding,uncharacterized protein
FGSG_00011,NC_026474.1,80697,83796,+,protein_coding,uncharacterized protein
FGSG_00012,NC_026474.1,84152,85708,-,protein_coding,uncharacterized protein
FGSG_00013,NC_026474.1,86666,88324,+,protein_coding,uncharacterized protein
FGSG_11648,NC_026474.1,89257,90559,+,protein_coding,uncharacterized protein
FGSG_11649,NC_026474.1,91331,92529,+,protein_coding,uncharacterized protein
FGSG_00014,NC_026474.1,92766,94041,-,protein_coding,uncharacterized protein
FGSG_00015,NC_026474.1,94967,96859,+,protein_coding,uncharacterized protein
FGSG_11650,NC_026474.1,97229,97552,-,protein_coding,uncharacterized protein
FGSG_00016,NC_026474.1,98066,99280,+,protein_coding,uncharacterized protein
FGSG_00017,NC_026474.1,99853,101547,+,protein_coding,uncharacterized protein
FGSG_00018,NC_026474.1,102388,103447,+,protein_coding,uncharacterized protein
FGSG_00019,NC_026474.1,104442,106192,+,protein_coding,uncharacterized protein
FGSG_00020,NC_026474.1,106304,109569,-,protein_coding,uncharacterized protein
FGSG_00021,NC_026474.1,110826,111879,+,protein_coding,uncharacterized protein
FGSG_11651,NC_026474.1,112387,112837,-,protein_coding,uncharacterized protein
FGSG_11652,NC_026474.1,113290,114132,-,protein_coding,uncharacterized protein
FGSG_00023,NC_026474.1,114966,115757,+,protein_coding,uncharacterized protein
FGSG_00024,NC_026474.1,116295,117434,+,protein_coding,uncharacterized protein
FGSG_00025,NC_026474.1,117562,119546,-,protein_coding,uncharacterized protein
FGSG_00026,NC_026474.1,119708,121237,+,protein_coding,uncharacterized protein
FGSG_00027,NC_026474.1,121389,122906,-,protein_coding,uncharacterized protein
FGSG_00028,NC_026474.1,123521,124401,-,protein_coding,uncharacterized protein
FGSG_00029,NC_026474.1,126575,127641,-,protein_coding,uncharacterized protein
FGSG_00030,NC_026474.1,128646,129351,-,protein_coding,uncharacterized protein
FGSG_00031,NC_026474.1,130730,134954,+,protein_coding,uncharacterized protein
