gene_id	GO	aspect	name	namespace
FGSG_11579	GO:0016020	C	telomere-associated helicase	CC
FGSG_11580	GO:0003676	F	gag-pol poly	MF
FGSG_11580	GO:0008270	F	gag-pol poly	MF
FGSG_11581	GO:0000444	C	hypothetical protein FGSG_11581	CC
FGSG_11581	GO:0007059	P	hypothetical protein FGSG_11581	BP
FGSG_11581	GO:0051301	P	hypothetical protein FGSG_11581	BP
FGSG_11584	GO:0003824	F	g- beta wd-40 repeats containing	MF
FGSG_11584	GO:0005524	F	g- beta wd-40 repeats containing	MF
FGSG_11584	GO:0009116	P	g- beta wd-40 repeats containing	BP
FGSG_11585	GO:0004497	F	cytochrome P450 55A1	MF
FGSG_11585	GO:0005506	F	cytochrome P450 55A1	MF
FGSG_11585	GO:0016705	F	cytochrome P450 55A1	MF
FGSG_11585	GO:0020037	F	cytochrome P450 55A1	MF
FGSG_11585	GO:0055114	P	cytochrome P450 55A1	BP
FGSG_11606	GO:0016021	C	Lactose permease	CC
FGSG_11606	GO:0022891	F	Lactose permease	MF
FGSG_11606	GO:0055085	P	Lactose permease	BP
FGSG_11605	GO:0016021	C	Mitochondrial carrier	CC
FGSG_11605	GO:0006810	P	Mitochondrial carrier	BP
FGSG_11643	GO:0016020	C	mRNA stability	CC
FGSG_11600	GO:0016021	C	hypothetical protein FGSG_11600	CC
FGSG_00002	GO:0005576	C	related to tenascin X precursor	CC
FGSG_00002	GO:0008061	F	related to tenascin X precursor	MF
FGSG_00002	GO:0006030	P	related to tenascin X precursor	BP
FGSG_00003	GO:0016021	C	hypothetical protein FGSG_00003	CC
FGSG_00003	GO:0004252	F	hypothetical protein FGSG_00003	MF
FGSG_00003	GO:0016614	F	hypothetical protein FGSG_00003	MF
FGSG_00003	GO:0016628	F	hypothetical protein FGSG_00003	MF
FGSG_00003	GO:0050660	F	hypothetical protein FGSG_00003	MF
FGSG_00003	GO:0006508	P	hypothetical protein FGSG_00003	BP
FGSG_00003	GO:0055114	P	hypothetical protein FGSG_00003	BP
FGSG_00007	GO:0004497	F	O-methylsterigmatocystin oxidoreductase	MF
FGSG_00007	GO:0005506	F	O-methylsterigmatocystin oxidoreductase	MF
FGSG_00007	GO:0016705	F	O-methylsterigmatocystin oxidoreductase	MF
FGSG_00007	GO:0020037	F	O-methylsterigmatocystin oxidoreductase	MF
FGSG_00007	GO:0055114	P	O-methylsterigmatocystin oxidoreductase	BP
FGSG_11646	GO:0016021	C	hypothetical protein FGSG_11646	CC
FGSG_00011	GO:0005634	C	hypothetical protein FGSG_00011	CC
FGSG_00011	GO:0016021	C	hypothetical protein FGSG_00011	CC
FGSG_00011	GO:0000981	F	hypothetical protein FGSG_00011	MF
FGSG_00011	GO:0008270	F	hypothetical protein FGSG_00011	MF
FGSG_00011	GO:0006357	P	hypothetical protein FGSG_00011	BP
FGSG_00012	GO:0016021	C	cytochrome p450 oxidoreductase	CC
FGSG_00012	GO:0004497	F	cytochrome p450 oxidoreductase	MF
FGSG_00012	GO:0005506	F	cytochrome p450 oxidoreductase	MF
FGSG_00012	GO:0016705	F	cytochrome p450 oxidoreductase	MF
FGSG_00012	GO:0020037	F	cytochrome p450 oxidoreductase	MF
FGSG_00012	GO:0055114	P	cytochrome p450 oxidoreductase	BP
FGSG_00013	GO:0016021	C	related to quinate transport	CC
FGSG_00013	GO:0004672	F	related to quinate transport	MF
FGSG_00013	GO:0005524	F	related to quinate transport	MF
FGSG_00013	GO:0022891	F	related to quinate transport	MF
FGSG_00013	GO:0006468	P	related to quinate transport	BP
FGSG_00013	GO:0008643	P	related to quinate transport	BP
FGSG_00013	GO:0055085	P	related to quinate transport	BP
FGSG_11648	GO:0016021	C	hypothetical protein FGSG_11648	CC
FGSG_11648	GO:0008233	F	hypothetical protein FGSG_11648	MF
FGSG_11648	GO:0006508	P	hypothetical protein FGSG_11648	BP
FGSG_11649	GO:0016021	C	Nicotinate-nucleotide diphosphorylase	CC
FGSG_11649	GO:0004672	F	Nicotinate-nucleotide diphosphorylase	MF
FGSG_11649	GO:0005524	F	Nicotinate-nucleotide diphosphorylase	MF
FGSG_11649	GO:0022891	F	Nicotinate-nucleotide diphosphorylase	MF
FGSG_11649	GO:0006468	P	Nicotinate-nucleotide diphosphorylase	BP
FGSG_11649	GO:0055085	P	Nicotinate-nucleotide diphosphorylase	BP
FGSG_00014	GO:0016021	C	glycosyltransferase family 2	CC
FGSG_00015	GO:0016021	C	mfs sugar transporter	CC
FGSG_00015	GO:0022891	F	mfs sugar transporter	MF
FGSG_00015	GO:0008643	P	mfs sugar transporter	BP
FGSG_00015	GO:0055085	P	mfs sugar transporter	BP
FGSG_00017	GO:0016021	C	carboxypeptidase s	CC
FGSG_00017	GO:0004181	F	carboxypeptidase s	MF
FGSG_00017	GO:0006508	P	carboxypeptidase s	BP
FGSG_00018	GO:0016021	C	alkanal monooxygenase	CC
FGSG_00018	GO:0004497	F	alkanal monooxygenase	MF
FGSG_00018	GO:0006629	P	alkanal monooxygenase	BP
FGSG_00018	GO:0055114	P	alkanal monooxygenase	BP
FGSG_00019	GO:0005622	C	cell division control 42	CC
FGSG_00019	GO:0005525	F	cell division control 42	MF
FGSG_00019	GO:0007264	P	cell division control 42	BP
FGSG_00020	GO:0030246	F	hypothetical protein FGSG_00020	MF
FGSG_00020	GO:0007155	P	hypothetical protein FGSG_00020	BP
FGSG_11652	GO:0016021	C	hypothetical protein FGSG_11652	CC
FGSG_00023	GO:0005576	C	probable spherulin 1A precursor	CC
FGSG_00023	GO:0030145	F	probable spherulin 1A precursor	MF
FGSG_00023	GO:0045735	F	probable spherulin 1A precursor	MF
FGSG_00025	GO:0006355	P	hypothetical protein FGSG_00025	BP
FGSG_00026	GO:0016021	C	related to monocarboxylate transporter 2	CC
FGSG_00026	GO:0003676	F	related to monocarboxylate transporter 2	MF
FGSG_00026	GO:0055085	P	related to monocarboxylate transporter 2	BP
FGSG_00027	GO:0016021	C	hypothetical protein FGSG_00027	CC
FGSG_00028	GO:0008237	F	probable metalloprotease MEP1	MF
FGSG_00028	GO:0006508	P	probable metalloprotease MEP1	BP
FGSG_00032	GO:0003824	F	related to non-heme chloroperoxidase	MF
FGSG_00034	GO:0016021	C	MFS maltose permease	CC
FGSG_00034	GO:0022891	F	MFS maltose permease	MF
FGSG_00034	GO:0055085	P	MFS maltose permease	BP
FGSG_11653	GO:0005634	C	mucin-desulfating sulfatase (n-acetylglucosamine-6-sulfatase)	CC
FGSG_11653	GO:0000981	F	mucin-desulfating sulfatase (n-acetylglucosamine-6-sulfatase)	MF
FGSG_11653	GO:0003677	F	mucin-desulfating sulfatase (n-acetylglucosamine-6-sulfatase)	MF
FGSG_11653	GO:0008270	F	mucin-desulfating sulfatase (n-acetylglucosamine-6-sulfatase)	MF
FGSG_11653	GO:0008484	F	mucin-desulfating sulfatase (n-acetylglucosamine-6-sulfatase)	MF
FGSG_11653	GO:0006351	P	mucin-desulfating sulfatase (n-acetylglucosamine-6-sulfatase)	BP
FGSG_11653	GO:0006357	P	mucin-desulfating sulfatase (n-acetylglucosamine-6-sulfatase)	BP
FGSG_11654	GO:0005634	C	3-dehydroquinate dehydratase i	CC
FGSG_11654	GO:0000981	F	3-dehydroquinate dehydratase i	MF
FGSG_11654	GO:0003824	F	3-dehydroquinate dehydratase i	MF
FGSG_11654	GO:0008270	F	3-dehydroquinate dehydratase i	MF
FGSG_11654	GO:0006357	P	3-dehydroquinate dehydratase i	BP
FGSG_11654	GO:0008152	P	3-dehydroquinate dehydratase i	BP
FGSG_00036	GO:0016740	F	fatty acid synthase alpha subunit	MF
FGSG_00036	GO:0008152	P	fatty acid synthase alpha subunit	BP
FGSG_11655	GO:0005835	C	Cytochrome P450	CC
FGSG_11655	GO:0004318	F	Cytochrome P450	MF
FGSG_11655	GO:0004497	F	Cytochrome P450	MF
FGSG_11655	GO:0005506	F	Cytochrome P450	MF
FGSG_11655	GO:0016705	F	Cytochrome P450	MF
FGSG_11655	GO:0020037	F	Cytochrome P450	MF
FGSG_11655	GO:0006633	P	Cytochrome P450	BP
FGSG_11655	GO:0055114	P	Cytochrome P450	BP
FGSG_11656	GO:0005835	C	fatty acid synthase subunit fungi type	CC
FGSG_11656	GO:0004318	F	fatty acid synthase subunit fungi type	MF
FGSG_11656	GO:0005506	F	fatty acid synthase subunit fungi type	MF
FGSG_11656	GO:0016705	F	fatty acid synthase subunit fungi type	MF
FGSG_11656	GO:0020037	F	fatty acid synthase subunit fungi type	MF
FGSG_11656	GO:0006633	P	fatty acid synthase subunit fungi type	BP
FGSG_11656	GO:0055114	P	fatty acid synthase subunit fungi type	BP
FGSG_11657	GO:0003700	F	nitrogen regulatory area	MF
FGSG_11657	GO:0008270	F	nitrogen regulatory area	MF
FGSG_11657	GO:0043565	F	nitrogen regulatory area	MF
FGSG_11657	GO:0006355	P	nitrogen regulatory area	BP
FGSG_11658	GO:0046983	F	sterol regulatory element binding sre1	MF
FGSG_11658	GO:0009987	P	sterol regulatory element binding sre1	BP
FGSG_11658	GO:0045944	P	sterol regulatory element binding sre1	BP
FGSG_11659	GO:0003824	F	non-ribosomal peptide synthetase	MF
FGSG_11659	GO:0031177	F	non-ribosomal peptide synthetase	MF
FGSG_11659	GO:0008152	P	non-ribosomal peptide synthetase	BP
FGSG_11660	GO:0003824	F	nonribosomal peptide	MF
FGSG_11660	GO:0031177	F	nonribosomal peptide	MF
FGSG_11660	GO:0008152	P	nonribosomal peptide	BP
FGSG_00043	GO:0016491	F	thioredoxin reductase	MF
FGSG_00043	GO:0055114	P	thioredoxin reductase	BP
FGSG_00046	GO:0016021	C	ABC transporter	CC
FGSG_00046	GO:0005524	F	ABC transporter	MF
FGSG_00046	GO:0042626	F	ABC transporter	MF
FGSG_00046	GO:0055085	P	ABC transporter	BP
FGSG_00047	GO:0016788	F	Thioesterase domain containing	MF
FGSG_00047	GO:0009058	P	Thioesterase domain containing	BP
FGSG_00048	GO:0016491	F	2OG-Fe(II) oxygenase family	MF
FGSG_00048	GO:0046872	F	2OG-Fe(II) oxygenase family	MF
FGSG_00048	GO:0055114	P	2OG-Fe(II) oxygenase family	BP
FGSG_00049	GO:0004084	F	branched-chain amino acid aminotransferase II	MF
FGSG_00049	GO:0009081	P	branched-chain amino acid aminotransferase II	BP
FGSG_00050	GO:0016787	F	isoprenylcysteine alpha-carbonyl methylesterase ICMEL1	MF
FGSG_00050	GO:0008152	P	isoprenylcysteine alpha-carbonyl methylesterase ICMEL1	BP
FGSG_00051	GO:0016810	F	related to aliphatic nitrilase	MF
FGSG_00051	GO:0006807	P	related to aliphatic nitrilase	BP
FGSG_00052	GO:0005634	C	related to Zn(II)Cys6 transcriptional activator	CC
FGSG_00052	GO:0000981	F	related to Zn(II)Cys6 transcriptional activator	MF
FGSG_00052	GO:0003677	F	related to Zn(II)Cys6 transcriptional activator	MF
FGSG_00052	GO:0008270	F	related to Zn(II)Cys6 transcriptional activator	MF
FGSG_00052	GO:0006351	P	related to Zn(II)Cys6 transcriptional activator	BP
FGSG_00052	GO:0006357	P	related to Zn(II)Cys6 transcriptional activator	BP
FGSG_00054	GO:0005488	F	short chain oxidoreductase dehydrogenase	MF
FGSG_00054	GO:0006355	P	short chain oxidoreductase dehydrogenase	BP
FGSG_11662	GO:0016021	C	related to L-fucose permease	CC
FGSG_11663	GO:0016021	C	3-hydroxybenzoate 6-hydroxylase 1	CC
FGSG_11663	GO:0016491	F	3-hydroxybenzoate 6-hydroxylase 1	MF
FGSG_11663	GO:0071949	F	3-hydroxybenzoate 6-hydroxylase 1	MF
FGSG_11663	GO:0055114	P	3-hydroxybenzoate 6-hydroxylase 1	BP
FGSG_11665	GO:0016021	C	LOW QUALITY PROTEIN: hypothetical protein FGSG_11665	CC
FGSG_11667	GO:0016021	C	unnamed protein product	CC
FGSG_00058	GO:0016021	C	related to nicotinamide mononucleotide permease	CC
FGSG_00058	GO:0055085	P	related to nicotinamide mononucleotide permease	BP
FGSG_00059	GO:0016021	C	Cardiolipin synthase	CC
FGSG_00060	GO:0005576	C	Killer Kp4 SMK- core	CC
FGSG_00060	GO:0009405	P	Killer Kp4 SMK- core	BP
FGSG_00060	GO:0009987	P	Killer Kp4 SMK- core	BP
FGSG_00061	GO:0005576	C	killer kp4	CC
FGSG_00061	GO:0009405	P	killer kp4	BP
FGSG_00062	GO:0005576	C	killer Kp4 SMK- core	CC
FGSG_00062	GO:0009405	P	killer Kp4 SMK- core	BP
FGSG_00063	GO:0016021	C	DUF3433 domain-containing	CC
FGSG_00065	GO:0010181	F	probable NADPH2 dehydrogenase chain OYE2	MF
