gene_id,Gene Name,Reference,Strand,Start,End,B10_S1,B11_S2,B12_S3,D10_S4,D11_S5,D12_S6,H13_S7,H14_S8,H15_S9,L13_S10,L14_S11,L15_S12
FGRAM000v1_000001,.,chr1,+,1517,2509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010052,0.0,0.0
FGRAM000v1_000002,-,chr1,+,6045,6992,9.075558,7.496784,3.56256,9.531734,8.977858,7.950598,5.10228,9.294011,5.447034,12.108043,12.58087,10.151088
FGRAM000v1_000003,-,chr1,+,7169,7583,0.0,0.0,4.362289,3.213421,0.884531,1.415139,1.805527,1.464397,1.385545,0.494266,0.0,0.0
FGRAM000v1_000004,.,chr1,+,8754,9110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000005,-,chr1,-,9663,13253,0.645208,0.814116,1.018682,1.104813,1.155672,1.407221,1.13746,1.207175,0.854941,0.827537,0.849342,0.777083
FGRAM000v1_000006,.,chr1,+,13800,14132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000007,-,chr1,+,15007,16799,83.552869,85.470953,73.363618,25.923051,20.904621,20.811503,61.522651,71.016695,62.408589,9.66638,7.792848,10.721011
FGRAM000v1_000008,.,chr1,+,23585,24359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000009,-,chr1,+,24753,27122,0.33322,0.738738,0.283389,0.671331,0.780752,0.778156,0.195281,0.495605,0.961288,2.250469,3.104696,1.876079
FGRAM000v1_000010,-,chr1,+,27560,28926,0.0,0.0,0.0,2.337058,1.591495,2.929553,0.0,1.774618,1.453151,1.807473,3.606919,2.659109
FGRAM000v1_000011,.,chr1,+,33093,33758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189109,0.267038,0.0,0.0
FGRAM000v1_000012,-,chr1,-,37592,38903,1.251944,0.956237,1.104349,0.0,2.217226,2.509504,1.123772,3.110913,3.665097,1.585124,1.299322,1.221383
FGRAM000v1_000013,-,chr1,+,41794,42279,11.447061,15.379774,15.306604,18.915426,16.358152,23.817147,20.81541,23.84836,18.368741,20.879198,21.850877,22.936334
FGRAM000v1_000014,.,chr1,+,43188,43647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000015,-,chr1,+,44730,46697,4.367752,5.820491,6.531672,10.348867,12.022335,10.239636,6.532122,7.867344,10.002682,12.259089,12.753599,8.226949
FGRAM000v1_000016,.,chr1,+,50999,53483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000017,-,chr1,-,53538,55460,0.546252,0.744982,1.543192,2.244085,0.509539,1.530835,0.0,0.960823,0.757234,1.601807,1.649086,0.554571
FGRAM000v1_000018,.,chr1,+,57807,61189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000019,.,chr1,+,61679,61989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000020,.,chr1,-,62589,63630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000021,.,chr1,+,64737,67202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088867,0.0
FGRAM000v1_000022,.,chr1,+,68474,69679,0.0,0.0,0.0,0.0,0.87332,1.296172,1.680308,1.021814,1.727034,3.104562,2.037081,0.0
