gene_id,FGSG_id,Gene Name,Reference,Strand,Start,End,B10_S1,B11_S2,B12_S3,D10_S4,D11_S5,D12_S6,H13_S7,H14_S8,H15_S9,L13_S10,L14_S11,L15_S12
FGRAM000v1_000001,,.,chr1,+,1517,2509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00587,0.0,0.0
FGRAM000v1_000002,,-,chr1,+,6045,6992,5.459596,4.652237,2.194206,5.460274,5.233274,4.68962,2.946757,5.23751,3.313981,7.070243,7.404247,6.118503
FGRAM000v1_000003,,-,chr1,+,7169,7583,0.0,0.0,2.686765,1.840815,0.515601,0.834713,1.042759,0.82524,0.842967,0.288617,0.0,0.0
FGRAM000v1_000004,FGSG_11582,.,chr1,+,8754,9110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000005,,-,chr1,-,9663,13253,0.388139,0.505211,0.627413,0.632895,0.673651,0.830042,0.656926,0.680287,0.520147,0.483223,0.499865,0.468382
FGRAM000v1_000006,,.,chr1,+,13800,14132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000007,,-,chr1,+,15007,16799,50.263011,53.040229,45.185172,14.850075,12.185492,12.27556,35.531628,40.020469,37.969443,5.644484,4.586342,6.46202
FGRAM000v1_000008,,.,chr1,+,23585,24359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000009,,-,chr1,+,24753,27122,0.200455,0.458434,0.174541,0.384573,0.455107,0.458991,0.112782,0.279291,0.584848,1.314115,1.827213,1.130794
FGRAM000v1_000010,,-,chr1,+,27560,28926,0.0,0.0,0.0,1.338789,0.927697,1.727982,0.0,1.000061,0.884098,1.055436,2.122788,1.602761
FGRAM000v1_000011,,.,chr1,+,33093,33758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115054,0.155931,0.0,0.0
FGRAM000v1_000012,,-,chr1,-,37592,38903,0.753134,0.593406,0.680176,0.0,1.292441,1.480218,0.649021,1.753112,2.229848,0.925601,0.764693,0.736181
FGRAM000v1_000013,FGSG_11642,-,chr1,+,41794,42279,6.886224,9.54414,9.427446,10.835742,9.535314,14.048423,12.021677,13.439411,11.175559,12.191979,12.859945,13.824727
FGRAM000v1_000014,,.,chr1,+,43188,43647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000015,,-,chr1,+,44730,46697,2.627514,3.611989,4.022903,5.92837,7.007927,6.039797,3.772544,4.433532,6.085641,7.158443,7.505904,4.95874
FGRAM000v1_000016,,.,chr1,+,50999,53483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000017,,-,chr1,-,53538,55460,0.328609,0.462309,0.950463,1.285529,0.297015,0.902955,0.0,0.541459,0.460702,0.935342,0.97054,0.334264
FGRAM000v1_000018,FGSG_00003,.,chr1,+,57807,61189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000019,,.,chr1,+,61679,61989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000020,FGSG_00004,.,chr1,-,62589,63630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGRAM000v1_000021,FGSG_00005,.,chr1,+,64737,67202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052301,0.0
FGRAM000v1_000022,,.,chr1,+,68474,69679,0.0,0.0,0.0,0.0,0.509066,0.76454,0.970441,0.575829,1.050729,1.812845,1.198888,0.0
